premise,conclusion,item,category,blankpredicate,predicate_id,argument_id
Robins can dax.,All birds can dax.,robin,bird,can,1,1
Robins can wif.,All birds can wif.,robin,bird,can,1,2
Robins can blick.,All birds can blick.,robin,bird,can,1,3
Robins can gyre.,All birds can gyre.,robin,bird,can,1,4
Robins can gimble.,All birds can gimble.,robin,bird,can,1,5
Robins can be daxed.,All birds can be daxed.,robin,bird,can be,2,1
Robins can be wiffed.,All birds can be wiffed.,robin,bird,can be,2,2
Robins can be blicked.,All birds can be blicked.,robin,bird,can be,2,3
Robins can be gyred.,All birds can be gyred.,robin,bird,can be,2,4
Robins can be gimbled.,All birds can be gimbled.,robin,bird,can be,2,5
Robins are beamish.,All birds are beamish.,robin,bird,are,3,1
Robins are slithy.,All birds are slithy.,robin,bird,are,3,2
Robins are mimsy.,All birds are mimsy.,robin,bird,are,3,3
Robins are vorpal.,All birds are vorpal.,robin,bird,are,3,4
Robins are frabjous.,All birds are frabjous.,robin,bird,are,3,5
Robins use a wug.,All birds use a wug.,robin,bird,use a,4,1
Robins use a fep.,All birds use a fep.,robin,bird,use a,4,2
Robins use a blicket.,All birds use a blicket.,robin,bird,use a,4,3
Robins use a jabberwock.,All birds use a jabberwock.,robin,bird,use a,4,4
Robins use a tove.,All birds use a tove.,robin,bird,use a,4,5
Robins love wugs.,All birds love wugs.,robin,bird,love,5,1
Robins love feps.,All birds love feps.,robin,bird,love,5,2
Robins love blickets.,All birds love blickets.,robin,bird,love,5,3
Robins love jabberwocks.,All birds love jabberwocks.,robin,bird,love,5,4
Robins love toves.,All birds love toves.,robin,bird,love,5,5
Robins have wugs.,All birds have wugs.,robin,bird,have,6,1
Robins have feps.,All birds have feps.,robin,bird,have,6,2
Robins have blickets.,All birds have blickets.,robin,bird,have,6,3
Robins have jabberwocks.,All birds have jabberwocks.,robin,bird,have,6,4
Robins have toves.,All birds have toves.,robin,bird,have,6,5
Sparrows can dax.,All birds can dax.,sparrow,bird,can,1,1
Sparrows can wif.,All birds can wif.,sparrow,bird,can,1,2
Sparrows can blick.,All birds can blick.,sparrow,bird,can,1,3
Sparrows can gyre.,All birds can gyre.,sparrow,bird,can,1,4
Sparrows can gimble.,All birds can gimble.,sparrow,bird,can,1,5
Sparrows can be daxed.,All birds can be daxed.,sparrow,bird,can be,2,1
Sparrows can be wiffed.,All birds can be wiffed.,sparrow,bird,can be,2,2
Sparrows can be blicked.,All birds can be blicked.,sparrow,bird,can be,2,3
Sparrows can be gyred.,All birds can be gyred.,sparrow,bird,can be,2,4
Sparrows can be gimbled.,All birds can be gimbled.,sparrow,bird,can be,2,5
Sparrows are beamish.,All birds are beamish.,sparrow,bird,are,3,1
Sparrows are slithy.,All birds are slithy.,sparrow,bird,are,3,2
Sparrows are mimsy.,All birds are mimsy.,sparrow,bird,are,3,3
Sparrows are vorpal.,All birds are vorpal.,sparrow,bird,are,3,4
Sparrows are frabjous.,All birds are frabjous.,sparrow,bird,are,3,5
Sparrows use a wug.,All birds use a wug.,sparrow,bird,use a,4,1
Sparrows use a fep.,All birds use a fep.,sparrow,bird,use a,4,2
Sparrows use a blicket.,All birds use a blicket.,sparrow,bird,use a,4,3
Sparrows use a jabberwock.,All birds use a jabberwock.,sparrow,bird,use a,4,4
Sparrows use a tove.,All birds use a tove.,sparrow,bird,use a,4,5
Sparrows love wugs.,All birds love wugs.,sparrow,bird,love,5,1
Sparrows love feps.,All birds love feps.,sparrow,bird,love,5,2
Sparrows love blickets.,All birds love blickets.,sparrow,bird,love,5,3
Sparrows love jabberwocks.,All birds love jabberwocks.,sparrow,bird,love,5,4
Sparrows love toves.,All birds love toves.,sparrow,bird,love,5,5
Sparrows have wugs.,All birds have wugs.,sparrow,bird,have,6,1
Sparrows have feps.,All birds have feps.,sparrow,bird,have,6,2
Sparrows have blickets.,All birds have blickets.,sparrow,bird,have,6,3
Sparrows have jabberwocks.,All birds have jabberwocks.,sparrow,bird,have,6,4
Sparrows have toves.,All birds have toves.,sparrow,bird,have,6,5
Bluejays can dax.,All birds can dax.,bluejay,bird,can,1,1
Bluejays can wif.,All birds can wif.,bluejay,bird,can,1,2
Bluejays can blick.,All birds can blick.,bluejay,bird,can,1,3
Bluejays can gyre.,All birds can gyre.,bluejay,bird,can,1,4
Bluejays can gimble.,All birds can gimble.,bluejay,bird,can,1,5
Bluejays can be daxed.,All birds can be daxed.,bluejay,bird,can be,2,1
Bluejays can be wiffed.,All birds can be wiffed.,bluejay,bird,can be,2,2
Bluejays can be blicked.,All birds can be blicked.,bluejay,bird,can be,2,3
Bluejays can be gyred.,All birds can be gyred.,bluejay,bird,can be,2,4
Bluejays can be gimbled.,All birds can be gimbled.,bluejay,bird,can be,2,5
Bluejays are beamish.,All birds are beamish.,bluejay,bird,are,3,1
Bluejays are slithy.,All birds are slithy.,bluejay,bird,are,3,2
Bluejays are mimsy.,All birds are mimsy.,bluejay,bird,are,3,3
Bluejays are vorpal.,All birds are vorpal.,bluejay,bird,are,3,4
Bluejays are frabjous.,All birds are frabjous.,bluejay,bird,are,3,5
Bluejays use a wug.,All birds use a wug.,bluejay,bird,use a,4,1
Bluejays use a fep.,All birds use a fep.,bluejay,bird,use a,4,2
Bluejays use a blicket.,All birds use a blicket.,bluejay,bird,use a,4,3
Bluejays use a jabberwock.,All birds use a jabberwock.,bluejay,bird,use a,4,4
Bluejays use a tove.,All birds use a tove.,bluejay,bird,use a,4,5
Bluejays love wugs.,All birds love wugs.,bluejay,bird,love,5,1
Bluejays love feps.,All birds love feps.,bluejay,bird,love,5,2
Bluejays love blickets.,All birds love blickets.,bluejay,bird,love,5,3
Bluejays love jabberwocks.,All birds love jabberwocks.,bluejay,bird,love,5,4
Bluejays love toves.,All birds love toves.,bluejay,bird,love,5,5
Bluejays have wugs.,All birds have wugs.,bluejay,bird,have,6,1
Bluejays have feps.,All birds have feps.,bluejay,bird,have,6,2
Bluejays have blickets.,All birds have blickets.,bluejay,bird,have,6,3
Bluejays have jabberwocks.,All birds have jabberwocks.,bluejay,bird,have,6,4
Bluejays have toves.,All birds have toves.,bluejay,bird,have,6,5
Bluebirds can dax.,All birds can dax.,bluebird,bird,can,1,1
Bluebirds can wif.,All birds can wif.,bluebird,bird,can,1,2
Bluebirds can blick.,All birds can blick.,bluebird,bird,can,1,3
Bluebirds can gyre.,All birds can gyre.,bluebird,bird,can,1,4
Bluebirds can gimble.,All birds can gimble.,bluebird,bird,can,1,5
Bluebirds can be daxed.,All birds can be daxed.,bluebird,bird,can be,2,1
Bluebirds can be wiffed.,All birds can be wiffed.,bluebird,bird,can be,2,2
Bluebirds can be blicked.,All birds can be blicked.,bluebird,bird,can be,2,3
Bluebirds can be gyred.,All birds can be gyred.,bluebird,bird,can be,2,4
Bluebirds can be gimbled.,All birds can be gimbled.,bluebird,bird,can be,2,5
Bluebirds are beamish.,All birds are beamish.,bluebird,bird,are,3,1
Bluebirds are slithy.,All birds are slithy.,bluebird,bird,are,3,2
Bluebirds are mimsy.,All birds are mimsy.,bluebird,bird,are,3,3
Bluebirds are vorpal.,All birds are vorpal.,bluebird,bird,are,3,4
Bluebirds are frabjous.,All birds are frabjous.,bluebird,bird,are,3,5
Bluebirds use a wug.,All birds use a wug.,bluebird,bird,use a,4,1
Bluebirds use a fep.,All birds use a fep.,bluebird,bird,use a,4,2
Bluebirds use a blicket.,All birds use a blicket.,bluebird,bird,use a,4,3
Bluebirds use a jabberwock.,All birds use a jabberwock.,bluebird,bird,use a,4,4
Bluebirds use a tove.,All birds use a tove.,bluebird,bird,use a,4,5
Bluebirds love wugs.,All birds love wugs.,bluebird,bird,love,5,1
Bluebirds love feps.,All birds love feps.,bluebird,bird,love,5,2
Bluebirds love blickets.,All birds love blickets.,bluebird,bird,love,5,3
Bluebirds love jabberwocks.,All birds love jabberwocks.,bluebird,bird,love,5,4
Bluebirds love toves.,All birds love toves.,bluebird,bird,love,5,5
Bluebirds have wugs.,All birds have wugs.,bluebird,bird,have,6,1
Bluebirds have feps.,All birds have feps.,bluebird,bird,have,6,2
Bluebirds have blickets.,All birds have blickets.,bluebird,bird,have,6,3
Bluebirds have jabberwocks.,All birds have jabberwocks.,bluebird,bird,have,6,4
Bluebirds have toves.,All birds have toves.,bluebird,bird,have,6,5
Canaries can dax.,All birds can dax.,canary,bird,can,1,1
Canaries can wif.,All birds can wif.,canary,bird,can,1,2
Canaries can blick.,All birds can blick.,canary,bird,can,1,3
Canaries can gyre.,All birds can gyre.,canary,bird,can,1,4
Canaries can gimble.,All birds can gimble.,canary,bird,can,1,5
Canaries can be daxed.,All birds can be daxed.,canary,bird,can be,2,1
Canaries can be wiffed.,All birds can be wiffed.,canary,bird,can be,2,2
Canaries can be blicked.,All birds can be blicked.,canary,bird,can be,2,3
Canaries can be gyred.,All birds can be gyred.,canary,bird,can be,2,4
Canaries can be gimbled.,All birds can be gimbled.,canary,bird,can be,2,5
Canaries are beamish.,All birds are beamish.,canary,bird,are,3,1
Canaries are slithy.,All birds are slithy.,canary,bird,are,3,2
Canaries are mimsy.,All birds are mimsy.,canary,bird,are,3,3
Canaries are vorpal.,All birds are vorpal.,canary,bird,are,3,4
Canaries are frabjous.,All birds are frabjous.,canary,bird,are,3,5
Canaries use a wug.,All birds use a wug.,canary,bird,use a,4,1
Canaries use a fep.,All birds use a fep.,canary,bird,use a,4,2
Canaries use a blicket.,All birds use a blicket.,canary,bird,use a,4,3
Canaries use a jabberwock.,All birds use a jabberwock.,canary,bird,use a,4,4
Canaries use a tove.,All birds use a tove.,canary,bird,use a,4,5
Canaries love wugs.,All birds love wugs.,canary,bird,love,5,1
Canaries love feps.,All birds love feps.,canary,bird,love,5,2
Canaries love blickets.,All birds love blickets.,canary,bird,love,5,3
Canaries love jabberwocks.,All birds love jabberwocks.,canary,bird,love,5,4
Canaries love toves.,All birds love toves.,canary,bird,love,5,5
Canaries have wugs.,All birds have wugs.,canary,bird,have,6,1
Canaries have feps.,All birds have feps.,canary,bird,have,6,2
Canaries have blickets.,All birds have blickets.,canary,bird,have,6,3
Canaries have jabberwocks.,All birds have jabberwocks.,canary,bird,have,6,4
Canaries have toves.,All birds have toves.,canary,bird,have,6,5
Blackbirds can dax.,All birds can dax.,blackbird,bird,can,1,1
Blackbirds can wif.,All birds can wif.,blackbird,bird,can,1,2
Blackbirds can blick.,All birds can blick.,blackbird,bird,can,1,3
Blackbirds can gyre.,All birds can gyre.,blackbird,bird,can,1,4
Blackbirds can gimble.,All birds can gimble.,blackbird,bird,can,1,5
Blackbirds can be daxed.,All birds can be daxed.,blackbird,bird,can be,2,1
Blackbirds can be wiffed.,All birds can be wiffed.,blackbird,bird,can be,2,2
Blackbirds can be blicked.,All birds can be blicked.,blackbird,bird,can be,2,3
Blackbirds can be gyred.,All birds can be gyred.,blackbird,bird,can be,2,4
Blackbirds can be gimbled.,All birds can be gimbled.,blackbird,bird,can be,2,5
Blackbirds are beamish.,All birds are beamish.,blackbird,bird,are,3,1
