conclusion,category,blankpredicate,category_word,predicate_id,argument_id
All vegetables are vorpal.,All weapons are vorpal.,vegetable,are,vegetables,2,4
All vehicles are vorpal.,All birds are vorpal.,vehicle,are,vehicles,3,4
All vehicles are mimsy.,All birds are mimsy.,vehicle,are,vehicles,3,3
All toys can be daxed.,All birds can be daxed.,toy,can be,toys,1,1
All tools can be gyred.,All clothes can be gyred.,tool,can be,tools,2,4
All fruits have feps.,All furniture have feps.,fruit,have,fruits,3,2
All birds have feps.,All vegetables have feps.,bird,have,birds,6,2
All birds are mimsy.,All vegetables are mimsy.,bird,are,birds,3,3
All furniture have toves.,All fruits have toves.,furniture,have,furniture,5,5
All tools can gimble.,All clothes can gimble.,tool,can,tools,1,5
All toys are vorpal.,All birds are vorpal.,toy,are,toys,2,4
All furniture are slithy.,All fruits are slithy.,furniture,are,furniture,3,2
All toys are beamish.,All birds are beamish.,toy,are,toys,2,1
All clothes can be blicked.,All tools can be blicked.,clothing,can be,clothes,1,3
All toys use a fep.,All birds use a fep.,toy,use a,toys,4,2
All birds are beamish.,All vegetables are beamish.,bird,are,birds,3,1
All sports involve gyring.,All toys involve gyring.,sport,involves,sports,1,4
All weapons can be blicked.,All vehicles can be blicked.,weapon,can be,weapons,2,3
All sports include daxing.,All toys include daxing.,sport,includes,sports,3,1
All weapons are frabjous.,All vehicles are frabjous.,weapon,are,weapons,3,5
All vegetables can be gimbled.,All weapons can be gimbled.,vegetable,can be,vegetables,1,5
All tools use a wug.,All clothes use a wug.,tool,use a,tools,4,1
All clothes are vorpal.,All tools are vorpal.,clothing,are,clothes,2,4
All weapons use a blicket.,All vehicles use a blicket.,weapon,use a,weapons,4,3
All furniture can be blicked.,All fruits can be blicked.,furniture,can be,furniture,2,3
All toys have blickets.,All birds have blickets.,toy,have,toys,3,3
All vehicles can be gimbled.,All birds can be gimbled.,vehicle,can be,vehicles,2,5
All birds love blickets.,All vegetables love blickets.,bird,love,birds,5,3
All clothes have toves.,All tools have toves.,clothing,have,clothes,3,5
All vehicles have toves.,All birds have toves.,vehicle,have,vehicles,5,5
All vegetables can be blicked.,All weapons can be blicked.,vegetable,can be,vegetables,1,3
All vegetables are slithy.,All weapons are slithy.,vegetable,are,vegetables,2,2
All vegetables can be wiffed.,All weapons can be wiffed.,vegetable,can be,vegetables,1,2
All birds are frabjous.,All vegetables are frabjous.,bird,are,birds,3,5
All toys have wugs.,All birds have wugs.,toy,have,toys,3,1
All birds have blickets.,All vegetables have blickets.,bird,have,birds,6,3
All vegetables have blickets.,All weapons have blickets.,vegetable,have,vegetables,3,3
All vehicles have wugs.,All birds have wugs.,vehicle,have,vehicles,5,1
All sports are mimsy.,All toys are mimsy.,sport,is,sports,4,3
All vehicles can be gyred.,All birds can be gyred.,vehicle,can be,vehicles,2,4
All sports involve wiffing.,All toys involve wiffing.,sport,involves,sports,1,2
All tools use a jabberwock.,All clothes use a jabberwock.,tool,use a,tools,4,4
All birds use a fep.,All vegetables use a fep.,bird,use a,birds,4,2
All clothes have wugs.,All tools have wugs.,clothing,have,clothes,3,1
All fruits have blickets.,All furniture have blickets.,fruit,have,fruits,3,3
All vehicles are slithy.,All birds are slithy.,vehicle,are,vehicles,3,2
All birds love jabberwocks.,All vegetables love jabberwocks.,bird,love,birds,5,4
All vegetables have toves.,All weapons have toves.,vegetable,have,vegetables,3,5
All vehicles use a fep.,All birds use a fep.,vehicle,use a,vehicles,4,2
All furniture have jabberwocks.,All fruits have jabberwocks.,furniture,have,furniture,5,4
All vegetables have feps.,All weapons have feps.,vegetable,have,vegetables,3,2
All fruits can be daxed.,All furniture can be daxed.,fruit,can be,fruits,1,1
All toys have jabberwocks.,All birds have jabberwocks.,toy,have,toys,3,4
All toys are frabjous.,All birds are frabjous.,toy,are,toys,2,5
All weapons can blick.,All vehicles can blick.,weapon,can,weapons,1,3
All weapons use a wug.,All vehicles use a wug.,weapon,use a,weapons,4,1
All tools are beamish.,All clothes are beamish.,tool,are,tools,3,1
All fruits are frabjous.,All furniture are frabjous.,fruit,are,fruits,2,5
All tools have toves.,All clothes have toves.,tool,have,tools,5,5
All weapons are beamish.,All vehicles are beamish.,weapon,are,weapons,3,1
All tools are mimsy.,All clothes are mimsy.,tool,are,tools,3,3
All toys use a jabberwock.,All birds use a jabberwock.,toy,use a,toys,4,4
All toys are slithy.,All birds are slithy.,toy,are,toys,2,2
All fruits have wugs.,All furniture have wugs.,fruit,have,fruits,3,1
All vegetables are beamish.,All weapons are beamish.,vegetable,are,vegetables,2,1
All furniture can gimble.,All fruits can gimble.,furniture,can,furniture,1,5
All furniture can be gimbled.,All fruits can be gimbled.,furniture,can be,furniture,2,5
All tools can wif.,All clothes can wif.,tool,can,tools,1,2
All fruits have toves.,All furniture have toves.,fruit,have,fruits,3,5
All weapons have feps.,All vehicles have feps.,weapon,have,weapons,5,2
All fruits can be gyred.,All furniture can be gyred.,fruit,can be,fruits,1,4
All birds use a tove.,All vegetables use a tove.,bird,use a,birds,4,5
All weapons can be wiffed.,All vehicles can be wiffed.,weapon,can be,weapons,2,2
All weapons use a tove.,All vehicles use a tove.,weapon,use a,weapons,4,5
All vegetables can be daxed.,All weapons can be daxed.,vegetable,can be,vegetables,1,1
All furniture use a blicket.,All fruits use a blicket.,furniture,use a,furniture,4,3
All weapons can gimble.,All vehicles can gimble.,weapon,can,weapons,1,5
All weapons are vorpal.,All vehicles are vorpal.,weapon,are,weapons,3,4
All birds love toves.,All vegetables love toves.,bird,love,birds,5,5
All furniture can be gyred.,All fruits can be gyred.,furniture,can be,furniture,2,4
All vehicles are frabjous.,All birds are frabjous.,vehicle,are,vehicles,3,5
All clothes are beamish.,All tools are beamish.,clothing,are,clothes,2,1
All furniture use a tove.,All fruits use a tove.,furniture,use a,furniture,4,5
All furniture can dax.,All fruits can dax.,furniture,can,furniture,1,1
All weapons use a fep.,All vehicles use a fep.,weapon,use a,weapons,4,2
All toys use a tove.,All birds use a tove.,toy,use a,toys,4,5
All fruits are slithy.,All furniture are slithy.,fruit,are,fruits,2,2
All fruits have jabberwocks.,All furniture have jabberwocks.,fruit,have,fruits,3,4
All clothes can be gimbled.,All tools can be gimbled.,clothing,can be,clothes,1,5
All vehicles can dax.,All birds can dax.,vehicle,can,vehicles,1,1
All sports are frabjous.,All toys are frabjous.,sport,is,sports,4,5
All sports require wiffing.,All toys require wiffing.,sport,requires,sports,2,2
All birds love wugs.,All vegetables love wugs.,bird,love,birds,5,1
All weapons have wugs.,All vehicles have wugs.,weapon,have,weapons,5,1
All vegetables are frabjous.,All weapons are frabjous.,vegetable,are,vegetables,2,5
All toys have toves.,All birds have toves.,toy,have,toys,3,5
All tools can dax.,All clothes can dax.,tool,can,tools,1,1
All birds have wugs.,All vegetables have wugs.,bird,have,birds,6,1
