word1,word2,rel,determiner1,buffer,determiner2,plural1,bufferp,plural2,problem
competence,ability,hyp-1,competence,is,an ability,competences,are,abilities,
leadership,ability,hyp-1,leadership,is,an ability,leaderships,are,abilities,2
strength,ability,hyp-2,strength,is,an ability,strengths,are,abilities,
talent,ability,hyp-3,talent,is,an ability,talents,are,abilities,
goal,achievement,hyp-4,a goal,is,an achievement,goals,are,achievements,
vinegar,acid,hyp-3,a vinegar,is,an acid,vinegars,are,acids,
impression,act,hyp-4,an impression,is,an act,impressions,are,acts,
motion,action,hyp-2,a motion,is,an action,motions,are,actions,
basketball,activity,hyp-4,basketball,is,an activity,basketballs,are,activities,2
volleyball,activity,hyp-4,volleyball,is,an activity,volleyballs,are,activities,2
tennis,activity,hyp-4,tennis,is,an activity,tenniss,are,activities,2
hobby,activity,hyp-3,a hobby,is,an activity,hobbies,are,activities,
recreation,activity,hyp-1,recreation,is,an activity,recreations,are,activities,2
job,activity,hyp-1,job,is,an activity,jobs,are,activities,
movement,activity,hyp-4,movement,is,an activity,movements,are,activities,
exercise,activity,hyp-4,an exercise,is,an activity,exercises,are,activities,
sport,activity,hyp-2,a sport,is,an activity,sports,are,activities,
extension,addition,hyp-1,an extension,is,an addition,extensions,are,additions,
mother,adult,hyp-3,a mother,is,an adult,mothers,are,adults,
foe,adversary,hyp-1,a foe,is,an adversary,foes,are,adversaries,
commercial,advertisement,hyp-1,a commercial,is,an advertisement,commercials,are,advertisements,
spy,agent,hyp-2,a spy,is,an agent,spies,are,agents,
contract,agreement,hyp-2,a contract,is,an agreement,contracts,are,agreements,
airplane,aircraft,hyp-2,an airplane,is,an aircraft,airplanes,are,aircrafts,
anisette,alcohol,hyp-2,an anisette,is,an alcohol,anisettes,are,alcohols,
bourbon,alcohol,hyp-3,a bourbon,is,an alcohol,bourbons,are,alcohols,
rum,alcohol,hyp-2,a rum,is,an alcohol,rums,are,alcohols,
beer,alcohol,hyp-2,a beer,is,an alcohol,beers,are,alcohols,
barrier,wall,r-hyp-2,a barrier,is,a wall,barriers,are,walls,
hundred,amount,hyp-4,a hundred,is,an amount,hundreds,are,amounts,
quotient,amount,hyp-3,a quotient,is,an amount,quotients,are,amounts,
pint,amount,hyp-4,a pint,is,an amount,pints,are,amounts,
portion,amount,hyp-3,a portion,is,an amount,portions,are,amounts,
value,amount,hyp-1,a value,is,an amount,values,are,amounts,
beast,monster,r-hyp-4,a beast,is,a monster,beasts,are,monsters,
father,ancestor,hyp-4,a father,is,an ancestor,fathers,are,ancestors,2
parent,ancestor,hyp-3,a parent,is,an ancestor,parents,are,ancestors,
frustration,anger,hyp-2,a frustration,is,an anger,frustrations,are,angers,2
fury,anger,hyp-1,a fury,is,an anger,furies,are,angers,2
duck,animal,hyp-4,a duck,is,an animal,ducks,are,animals,
elephant,animal,hyp-4,an elephant,is,an animal,elephants,are,animals,
cow,animal,hyp-4,a cow,is,an animal,cows,are,animals,
snake,animal,hyp-4,a snake,is,an animal,snakes,are,animals,
human,animal,hyp-4,a human,is,an animal,humans,are,animals,
skunk,animal,hyp-4,a skunk,is,an animal,skunks,are,animals,
snail,animal,hyp-4,a snail,is,an animal,snails,are,animals,
monkey,animal,hyp-4,a monkey,is,an animal,monkeys,are,animals,
mongoose,animal,hyp-4,a mongoose,is,an animal,mongooses,are,animals,
doe,animal,hyp-4,a doe,is,an animal,does,are,animals,
reptile,animal,hyp-3,a reptile,is,an animal,reptiles,are,animals,
lizard,animal,hyp-4,a lizard,is,an animal,lizards,are,animals,
puppy,animal,hyp-3,a puppy,is,an animal,puppies,are,animals,
anteater,animal,hyp-4,an anteater,is,an animal,anteaters,are,animals,
goose,animal,hyp-4,a goose,is,an animal,geese,are,animals,
bat,animal,hyp-4,a bat,is,an animal,bats,are,animals,
dinosaur,animal,hyp-4,a dinosaur,is,an animal,dinosaurs,are,animals,
owl,animal,hyp-4,an owl,is,an animal,owls,are,animals,
calf,animal,hyp-3,a calf,is,an animal,calves,are,animals,
rat,animal,hyp-4,a rat,is,an animal,rats,are,animals,
frog,animal,hyp-4,a frog,is,an animal,frogs,are,animals,
fox,animal,hyp-4,a fox,is,an animal,foxes,are,animals,
mink,animal,hyp-4,a mink,is,an animal,minks,are,animals,
quail,animal,hyp-4,a quail,is,an animal,quails,are,animals,
cat,animal,hyp-4,a cat,is,an animal,cats,are,animals,
mouse,animal,hyp-4,a mouse,is,an animal,mice,are,animals,
tortoise,animal,hyp-4,a tortoise,is,an animal,tortoises,are,animals,
swan,animal,hyp-4,a swan,is,an animal,swans,are,animals,
kangaroo,animal,hyp-4,a kangaroo,is,an animal,kangaroos,are,animals,
mole,animal,hyp-4,a mole,is,an animal,moles,are,animals,
beaver,animal,hyp-4,a beaver,is,an animal,beavers,are,animals,
dog,animal,hyp-2,a dog,is,an animal,dogs,are,animals,
camel,animal,hyp-4,a camel,is,an animal,camels,are,animals,
lamb,animal,hyp-3,a lamb,is,an animal,lambs,are,animals,
primate,animal,hyp-4,a primate,is,an animal,primates,are,animals,
otter,animal,hyp-4,an otter,is,an animal,otters,are,animals,
seal,animal,hyp-4,a seal,is,an animal,seals,are,animals,
rabbit,animal,hyp-4,a rabbit,is,an animal,rabbits,are,animals,
penguin,animal,hyp-4,a penguin,is,an animal,penguins,are,animals,
crab,animal,hyp-4,a crab,is,an animal,crabs,are,animals,
alligator,animal,hyp-4,an alligator,is,an animal,alligators,are,animals,
aardvark,animal,hyp-4,an aardvark,is,an animal,aardvarks,are,animals,
mammal,animal,hyp-3,a mammal,is,an animal,mammals,are,animals,
possum,animal,hyp-4,a possum,is,an animal,possums,are,animals,
raccoon,animal,hyp-4,a raccoon,is,an animal,raccoons,are,animals,
wolf,animal,hyp-4,a wolf,is,an animal,wolves,are,animals,
cricket,animal,hyp-4,a cricket,is,an animal,crickets,are,animals,
crocodile,animal,hyp-4,a crocodile,is,an animal,crocodiles,are,animals,
belief,superstition,r-hyp-1,a belief,is,a superstition,beliefs,are,superstitions,
gorilla,ape,hyp-3,a gorilla,is,an ape,gorillas,are,apes,
beverage,beer,r-hyp-3,a beverage,is,a beer,beverages,are,beers,
washer,appliance,hyp-3,a washer,is,an appliance,washers,are,appliances,
dishwasher,appliance,hyp-3,a dishwasher,is,an appliance,dishwashers,are,appliances,
refrigerator,appliance,hyp-3,a refrigerator,is,an appliance,refrigerators,are,appliances,
toaster,appliance,hyp-3,a toaster,is,an appliance,toasters,are,appliances,
oven,appliance,hyp-3,an oven,is,an appliance,ovens,are,appliances,
microwave,appliance,hyp-3,a microwave,is,an appliance,microwaves,are,appliances,
praise,approval,hyp-1,a praise,is,an approval,praises,are,approvals,
beverage,soda,r-hyp-2,a beverage,is,a soda,beverages,are,sodas,
place,area,hyp-2,a place,is,an area,places,are,areas,
neighborhood,area,hyp-1,a neighborhood,is,an area,neighborhoods,are,areas,
shield,armor,hyp-1,a shield,is,an armor,shields,are,armor,
incense,aroma,hyp-1,an incense,is,an aroma,incenses,are,aromas,
painting,art,hyp-2,a painting,is,an art,paintings,are,arts,
statue,art,hyp-3,a statue,is,an art,statues,are,arts,
sculpture,art,hyp-2,a sculpture,is,an art,sculptures,are,arts,
painter,artist,hyp-1,a painter,is,an artist,painters,are,artists,
bird,gander,r-hyp-4,a bird,is,a gander,birds,are,ganders,
mission,assignment,hyp-1,a mission,is,an assignment,missions,are,assignments,
homework,assignment,hyp-2,a homework,is,an assignment,homeworks,are,assignments,
runner,athlete,hyp-1,a runner,is,an athlete,runners,are,athletes,
body,corpse,r-hyp-1,a body,is,a corpse,bodies,are,corpses,
focus,attention,hyp-2,focus,is,an attention,focuses,are,attentions,
bone,jaw,r-hyp-1,a bone,is,a jaw,bones,are,jaws,
police,authority,hyp-2,police,is,an authority,police,are,authorities,
book,atlas,r-hyp-2,a book,is,an atlas,books,are,atlases,
hatchet,ax,hyp-1,a hatchet,is,an ax,hatchets,are,axes,
football,ball,hyp-1,a football,is,a ball,footballs,are,balls,
book,encyclopedia,r-hyp-2,a book,is,an encyclopedia,books,are,encyclopedias,
wall,barrier,hyp-2,a wall,is,a barrier,walls,are,barriers,
building,cathedral,r-hyp-3,a building,is,a cathedral,buildings,are,cathedrals,
ape,beast,hyp-4,an ape,is,a beast,apes,are,beasts,
monster,beast,hyp-4,a monster,is,a beast,monsters,are,beasts,
hammock,bed,hyp-1,a hammock,is,a bed,hammocks,are,beds,
building,skyscraper,r-hyp-1,a building,is,a skyscraper,buildings,are,skyscrapers,
car,limousine,r-hyp-1,a car,is,a limousine,cars,are,limousines,
creation,beginning,hyp-1,a creation,is,a beginning,creations,are,beginnings,
god,being,hyp-4,a god,is,a being,gods,are,beings,
thought,belief,hyp-1,a thought,is,a belief,thoughts,are,beliefs,
religion,belief,hyp-1,a religion,is,a belief,religions,are,beliefs,
superstition,belief,hyp-1,a superstition,is,a belief,superstitions,are,beliefs,
blueberry,berry,hyp-1,a blueberry,is,a berry,blueberries,are,berries,
beer,beverage,hyp-3,a beer,is,a beverage,beers,are,beverages,
soda,beverage,hyp-2,a soda,is,a beverage,sodas,are,beverages,
crane,bird,hyp-3,a crane,is,a bird,cranes,are,birds,
robin,bird,hyp-4,a robin,is,a bird,robins,are,birds,
owl,bird,hyp-2,an owl,is,a bird,owls,are,birds,
goose,bird,hyp-4,a goose,is,a bird,geese,are,birds,
turkey,bird,hyp-3,a turkey,is,a bird,turkeys,are,birds,
penguin,bird,hyp-4,a penguin,is,a bird,penguins,are,birds,
seagull,bird,hyp-4,a seagull,is,a bird,seagulls,are,birds,
kite,bird,hyp-3,a kite,is,a bird,kites,are,birds,
dove,bird,hyp-4,a dove,is,a bird,doves,are,birds,
gull,bird,hyp-4,a gull,is,a bird,gulls,are,birds,
duck,bird,hyp-4,a duck,is,a bird,ducks,are,birds,
gander,bird,hyp-4,a gander,is,a bird,ganders,are,birds,
canary,bird,hyp-4,a canary,is,a bird,canaries,are,birds,
eagle,bird,hyp-2,an eagle,is,a bird,eagles,are,birds,
crow,bird,hyp-4,a crow,is,a bird,crows,are,birds,
canoe,boat,hyp-2,a canoe,is,a boat,canoes,are,boats,
corpse,body,hyp-1,a corpse,is,a body,corpses,are,bodies,
chain,bond,hyp-2,a chain,is,a bond,chains,are,bonds,
ceremony,funeral,r-hyp-1,a ceremony,is,a funeral,ceremonies,are,funerals,
jaw,bone,hyp-1,jaw,is,a bone,jaws,are,bones,
encyclopedia,book,hyp-2,an encyclopedia,is,a book,encyclopedias,are,books,
atlas,book,hyp-2,an atlas,is,a book,atlases,are,books,
almanac,book,hyp-3,an almanac,is,a book,almanacs,are,books,
guide,book,hyp-3,a guide,is,a book,guides,are,books,
journal,book,hyp-1,a journal,is,a book,journals,are,books,
thesaurus,book,hyp-3,a thesaurus,is,a book,thesauruses,are,books,
