preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-10.594764709472656,354824192,gpt2-medium
A top,is a toy.,top,toy,2,-21.361236572265625,354824192,gpt2-medium
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-14.198429107666016,354824192,gpt2-medium
A toy soldier,is a toy.,toy soldier,toy,4,-12.170166015625,354824192,gpt2-medium
A yo-yo,is a toy.,yo-yo,toy,5,-12.203651428222656,354824192,gpt2-medium
A block,is a toy.,block,toy,6,-19.059612274169922,354824192,gpt2-medium
Marbles,are toys.,marbles,toy,7,-12.940544128417969,354824192,gpt2-medium
A rattle,is a toy.,rattle,toy,8,-16.836315155029297,354824192,gpt2-medium
A stuffed animal,is a toy.,stuffed animal,toy,9,-12.785919189453125,354824192,gpt2-medium
A water pistol,is a toy.,water pistol,toy,10,-15.751258850097656,354824192,gpt2-medium
A teddy bear,is a toy.,teddy bear,toy,11,-12.006797790527344,354824192,gpt2-medium
A rocking horse,is a toy.,rocking horse,toy,12,-14.156173706054688,354824192,gpt2-medium
A doll house,is a toy.,doll house,toy,13,-15.18503189086914,354824192,gpt2-medium
A ball,is a toy.,ball,toy,14,-12.641212463378906,354824192,gpt2-medium
Jacks,are toys.,jacks,toy,15,-13.417583465576172,354824192,gpt2-medium
Paper dolls,are toys.,paper dolls,toy,16,-11.746009826660156,354824192,gpt2-medium
An erector set,is a toy.,erector set,toy,17,-15.48129653930664,354824192,gpt2-medium
A hula hoop,is a toy.,hula hoop,toy,18,-14.785640716552734,354824192,gpt2-medium
A jump rope,is a toy.,jump rope,toy,19,-15.578319549560547,354824192,gpt2-medium
A pogo stick,is a toy.,pogo stick,toy,20,-13.75516128540039,354824192,gpt2-medium
A clay,is a toy.,clay,toy,21,-19.347064971923828,354824192,gpt2-medium
A wagon,is a toy.,wagon,toy,22,-16.28044891357422,354824192,gpt2-medium
A kite,is a toy.,kite,toy,23,-15.034561157226562,354824192,gpt2-medium
A train,is a toy.,train,toy,24,-16.40463638305664,354824192,gpt2-medium
A tricycle,is a toy.,tricycle,toy,25,-15.389825820922852,354824192,gpt2-medium
A coloring book,is a toy.,coloring book,toy,26,-14.103378295898438,354824192,gpt2-medium
Crayons,are toys.,crayons,toy,27,-12.156009674072266,354824192,gpt2-medium
A truck,is a toy.,truck,toy,28,-20.298824310302734,354824192,gpt2-medium
A puzzle,is a toy.,puzzle,toy,29,-15.742462158203125,354824192,gpt2-medium
A fire engine,is a toy.,fire engine,toy,30,-18.45520782470703,354824192,gpt2-medium
A balloon,is a toy.,balloon,toy,31,-15.85955810546875,354824192,gpt2-medium
Skates,are toys.,skates,toy,32,-13.738353729248047,354824192,gpt2-medium
A baseball,is a toy.,baseball,toy,33,-12.59103012084961,354824192,gpt2-medium
A drum,is a toy.,drum,toy,34,-16.134593963623047,354824192,gpt2-medium
A football,is a toy.,football,toy,35,-12.737579345703125,354824192,gpt2-medium
A game,is a toy.,game,toy,36,-14.631965637207031,354824192,gpt2-medium
A swing,is a toy.,swing,toy,37,-19.084095001220703,354824192,gpt2-medium
A boat,is a toy.,boat,toy,38,-18.04840087890625,354824192,gpt2-medium
A monopoly,is a toy.,monopoly,toy,39,-17.899139404296875,354824192,gpt2-medium
A sled,is a toy.,sled,toy,40,-15.81026840209961,354824192,gpt2-medium
A seesaw,is a toy.,seesaw,toy,41,-16.988054275512695,354824192,gpt2-medium
Stilts,are toys.,stilts,toy,42,-16.387195587158203,354824192,gpt2-medium
Checkers,are toys.,checkers,toy,43,-18.35906982421875,354824192,gpt2-medium
A bat,is a toy.,bat,toy,44,-15.069866180419922,354824192,gpt2-medium
A car,is a toy.,car,toy,45,-14.872127532958984,354824192,gpt2-medium
An airplane,is a toy.,airplane,toy,46,-15.880973815917969,354824192,gpt2-medium
A bicycle,is a toy.,bicycle,toy,47,-11.44650650024414,354824192,gpt2-medium
A tractor,is a toy.,tractor,toy,48,-19.948373794555664,354824192,gpt2-medium
A sandbox,is a toy.,sandbox,toy,49,-14.54074478149414,354824192,gpt2-medium
A bike,is a toy.,bike,toy,50,-12.123462677001953,354824192,gpt2-medium
A bow and arrow,is a toy.,bow and arrow,toy,51,-14.604591369628906,354824192,gpt2-medium
A rope,is a toy.,rope,toy,52,-16.223777770996094,354824192,gpt2-medium
Dishes,are toys.,dishes,toy,53,-16.08106231689453,354824192,gpt2-medium
Cards,are toys.,cards,toy,54,-15.220462799072266,354824192,gpt2-medium
A mitt,is a toy.,mitt,toy,55,-15.895774841308594,354824192,gpt2-medium
A horse,is a toy.,horse,toy,56,-13.199951171875,354824192,gpt2-medium
A gun,is a toy.,gun,toy,57,-12.72216796875,354824192,gpt2-medium
Animals,are toys.,animals,toy,58,-13.842735290527344,354824192,gpt2-medium
A tennis racket,is a toy.,tennis racket,toy,59,-13.058570861816406,354824192,gpt2-medium
Books,are toys.,books,toy,60,-13.491615295410156,354824192,gpt2-medium
A robin,is a bird.,robin,bird,1,-9.191272735595703,354824192,gpt2-medium
A sparrow,is a bird.,sparrow,bird,2,-9.300857543945312,354824192,gpt2-medium
A bluejay,is a bird.,bluejay,bird,3,-11.391056060791016,354824192,gpt2-medium
A bluebird,is a bird.,bluebird,bird,4,-10.95773696899414,354824192,gpt2-medium
