stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-122.8014965057373,-20.46691608428955,82760793,distilroberta-base
a top is a toy.,top,toy,2,-115.9736213684082,-19.3289368947347,82760793,distilroberta-base
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-259.3370418548584,-21.611420154571533,82760793,distilroberta-base
a toy soldier is a toy.,toy soldier,toy,4,-142.97284603118896,-20.42469229016985,82760793,distilroberta-base
a yo-yo is a toy.,yo-yo,toy,5,-165.70182609558105,-20.712728261947632,82760793,distilroberta-base
a block is a toy.,block,toy,6,-119.7268762588501,-19.954479376475017,82760793,distilroberta-base
marbles are toys.,marbles,toy,7,-109.11671447753906,-21.823342895507814,82760793,distilroberta-base
a rattle is a toy.,rattle,toy,8,-141.59143257141113,-20.22734751020159,82760793,distilroberta-base
a stuffed animal is a toy.,stuffed animal,toy,9,-147.2148895263672,-21.03069850376674,82760793,distilroberta-base
a water pistol is a toy.,water pistol,toy,10,-142.45813941955566,-20.35116277422224,82760793,distilroberta-base
a teddy bear is a toy.,teddy bear,toy,11,-167.66192054748535,-20.95774006843567,82760793,distilroberta-base
a rocking horse is a toy.,rocking horse,toy,12,-145.29586601257324,-20.756552287510463,82760793,distilroberta-base
a doll house is a toy.,doll house,toy,13,-139.19269275665283,-19.884670393807546,82760793,distilroberta-base
a ball is a toy.,ball,toy,14,-121.6823959350586,-20.280399322509766,82760793,distilroberta-base
jacks are toys.,jacks,toy,15,-109.27752304077148,-21.8555046081543,82760793,distilroberta-base
paper dolls are toys.,paper dolls,toy,16,-112.28739929199219,-22.457479858398436,82760793,distilroberta-base
an erector set is a toy.,erector set,toy,17,-160.2358226776123,-20.029477834701538,82760793,distilroberta-base
a hula hoop is a toy.,hula hoop,toy,18,-162.094482421875,-20.261810302734375,82760793,distilroberta-base
a jump rope is a toy.,jump rope,toy,19,-135.55081748962402,-19.364402498517716,82760793,distilroberta-base
a pogo stick is a toy.,pogo stick,toy,20,-158.51303482055664,-19.81412935256958,82760793,distilroberta-base
a clay is a toy.,clay,toy,21,-118.49605655670166,-19.749342759450276,82760793,distilroberta-base
a wagon is a toy.,wagon,toy,22,-119.68525886535645,-19.947543144226074,82760793,distilroberta-base
a kite is a toy.,kite,toy,23,-135.30634784698486,-19.32947826385498,82760793,distilroberta-base
a train is a toy.,train,toy,24,-119.57070636749268,-19.92845106124878,82760793,distilroberta-base
a tricycle is a toy.,tricycle,toy,25,-144.6460132598877,-20.663716179983957,82760793,distilroberta-base
a coloring book is a toy.,coloring book,toy,26,-140.4408721923828,-20.062981741768972,82760793,distilroberta-base
crayons are toys.,crayons,toy,27,-131.87767887115479,-21.979613145192463,82760793,distilroberta-base
a truck is a toy.,truck,toy,28,-118.4986572265625,-19.749776204427082,82760793,distilroberta-base
a puzzle is a toy.,puzzle,toy,29,-122.11639213562012,-20.35273202260335,82760793,distilroberta-base
a fire engine is a toy.,fire engine,toy,30,-137.8221492767334,-19.68887846810477,82760793,distilroberta-base
a balloon is a toy.,balloon,toy,31,-121.5742826461792,-20.262380441029865,82760793,distilroberta-base
skates are toys.,skates,toy,32,-106.1004467010498,-21.22008934020996,82760793,distilroberta-base
a baseball is a toy.,baseball,toy,33,-124.85748672485352,-20.809581120808918,82760793,distilroberta-base
a drum is a toy.,drum,toy,34,-121.6699333190918,-20.278322219848633,82760793,distilroberta-base
a football is a toy.,football,toy,35,-123.13204193115234,-20.52200698852539,82760793,distilroberta-base
a game is a toy.,game,toy,36,-120.85437870025635,-20.142396450042725,82760793,distilroberta-base
a swing is a toy.,swing,toy,37,-123.9989242553711,-20.666487375895183,82760793,distilroberta-base
a boat is a toy.,boat,toy,38,-117.50193786621094,-19.583656311035156,82760793,distilroberta-base
