stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-189.20830154418945,-31.534716924031574,13546682,google_electra-small-generator
a top is a toy.,top,toy,2,-189.80335807800293,-31.63389301300049,13546682,google_electra-small-generator
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-340.49901580810547,-28.37491798400879,13546682,google_electra-small-generator
a toy soldier is a toy.,toy soldier,toy,4,-214.71070289611816,-30.672957556588308,13546682,google_electra-small-generator
a yo-yo is a toy.,yo-yo,toy,5,-240.11629676818848,-30.01453709602356,13546682,google_electra-small-generator
a block is a toy.,block,toy,6,-185.30067443847656,-30.883445739746094,13546682,google_electra-small-generator
marbles are toys.,marbles,toy,7,-156.5818977355957,-31.31637954711914,13546682,google_electra-small-generator
a rattle is a toy.,rattle,toy,8,-194.10463047027588,-32.35077174504598,13546682,google_electra-small-generator
a stuffed animal is a toy.,stuffed animal,toy,9,-218.5276927947998,-31.218241827828543,13546682,google_electra-small-generator
a water pistol is a toy.,water pistol,toy,10,-224.79204082489014,-32.11314868927002,13546682,google_electra-small-generator
a teddy bear is a toy.,teddy bear,toy,11,-216.52725219726562,-30.932464599609375,13546682,google_electra-small-generator
a rocking horse is a toy.,rocking horse,toy,12,-229.21954822540283,-32.745649746486116,13546682,google_electra-small-generator
a doll house is a toy.,doll house,toy,13,-218.4334135055542,-31.204773357936315,13546682,google_electra-small-generator
a ball is a toy.,ball,toy,14,-184.93719100952148,-30.822865168253582,13546682,google_electra-small-generator
jacks are toys.,jacks,toy,15,-153.5041446685791,-30.70082893371582,13546682,google_electra-small-generator
paper dolls are toys.,paper dolls,toy,16,-170.1934585571289,-34.038691711425784,13546682,google_electra-small-generator
an erector set is a toy.,erector set,toy,17,-273.7150421142578,-34.21438026428223,13546682,google_electra-small-generator
a hula hoop is a toy.,hula hoop,toy,18,-272.5184202194214,-34.06480252742767,13546682,google_electra-small-generator
a jump rope is a toy.,jump rope,toy,19,-223.3502368927002,-31.90717669895717,13546682,google_electra-small-generator
a pogo stick is a toy.,pogo stick,toy,20,-259.9208641052246,-32.490108013153076,13546682,google_electra-small-generator
a clay is a toy.,clay,toy,21,-197.8348159790039,-32.972469329833984,13546682,google_electra-small-generator
a wagon is a toy.,wagon,toy,22,-198.65313339233398,-33.108855565389,13546682,google_electra-small-generator
a kite is a toy.,kite,toy,23,-204.20360660552979,-34.03393443425497,13546682,google_electra-small-generator
a train is a toy.,train,toy,24,-193.10525131225586,-32.18420855204264,13546682,google_electra-small-generator
a tricycle is a toy.,tricycle,toy,25,-233.94389152526855,-33.42055593218122,13546682,google_electra-small-generator
a coloring book is a toy.,coloring book,toy,26,-221.71368026733398,-31.673382895333425,13546682,google_electra-small-generator
crayons are toys.,crayons,toy,27,-194.6216163635254,-32.43693606058756,13546682,google_electra-small-generator
a truck is a toy.,truck,toy,28,-181.7561264038086,-30.292687733968098,13546682,google_electra-small-generator
a puzzle is a toy.,puzzle,toy,29,-195.6517391204834,-32.60862318674723,13546682,google_electra-small-generator
a fire engine is a toy.,fire engine,toy,30,-215.91019248962402,-30.84431321280343,13546682,google_electra-small-generator
a balloon is a toy.,balloon,toy,31,-182.79605674743652,-30.466009457906086,13546682,google_electra-small-generator
skates are toys.,skates,toy,32,-161.4299087524414,-32.28598175048828,13546682,google_electra-small-generator
a baseball is a toy.,baseball,toy,33,-188.5661220550537,-31.427687009175617,13546682,google_electra-small-generator
a drum is a toy.,drum,toy,34,-184.6889820098877,-30.78149700164795,13546682,google_electra-small-generator
a football is a toy.,football,toy,35,-184.75444984436035,-30.79240830739339,13546682,google_electra-small-generator
a game is a toy.,game,toy,36,-178.8862533569336,-29.814375559488933,13546682,google_electra-small-generator
a swing is a toy.,swing,toy,37,-190.7338924407959,-31.788982073465984,13546682,google_electra-small-generator
a boat is a toy.,boat,toy,38,-178.07705688476562,-29.67950948079427,13546682,google_electra-small-generator
a monopoly is a toy.,monopoly,toy,39,-199.8286361694336,-33.3047726949056,13546682,google_electra-small-generator
a sled is a toy.,sled,toy,40,-212.79745769500732,-30.399636813572474,13546682,google_electra-small-generator
a seesaw is a toy.,seesaw,toy,41,-237.66655158996582,-33.95236451285226,13546682,google_electra-small-generator
stilts are toys.,stilts,toy,42,-172.3824863433838,-34.47649726867676,13546682,google_electra-small-generator
checkers are toys.,checkers,toy,43,-159.32506561279297,-31.865013122558594,13546682,google_electra-small-generator
a bat is a toy.,bat,toy,44,-194.88889408111572,-32.48148234685262,13546682,google_electra-small-generator
a car is a toy.,car,toy,45,-175.6054925918579,-29.267582098642986,13546682,google_electra-small-generator
an airplane is a toy.,airplane,toy,46,-189.41530227661133,-31.569217046101887,13546682,google_electra-small-generator
a bicycle is a toy.,bicycle,toy,47,-182.19623184204102,-30.366038640340168,13546682,google_electra-small-generator
a tractor is a toy.,tractor,toy,48,-191.23358154296875,-31.872263590494793,13546682,google_electra-small-generator
a sandbox is a toy.,sandbox,toy,49,-232.70794582366943,-33.2439922605242,13546682,google_electra-small-generator
a bike is a toy.,bike,toy,50,-184.68922233581543,-30.78153705596924,13546682,google_electra-small-generator
a bow and arrow is a toy.,bow and arrow,toy,51,-272.6401844024658,-34.08002305030823,13546682,google_electra-small-generator
a rope is a toy.,rope,toy,52,-201.01433944702148,-33.502389907836914,13546682,google_electra-small-generator
dishes are toys.,dishes,toy,53,-121.21921348571777,-30.304803371429443,13546682,google_electra-small-generator
cards are toys.,cards,toy,54,-111.65105247497559,-27.912763118743896,13546682,google_electra-small-generator
a mitt is a toy.,mitt,toy,55,-216.36503219604492,-30.909290313720703,13546682,google_electra-small-generator
a horse is a toy.,horse,toy,56,-185.52073097229004,-30.920121828715008,13546682,google_electra-small-generator
a gun is a toy.,gun,toy,57,-180.8519468307495,-30.141991138458252,13546682,google_electra-small-generator
animals are toys.,animals,toy,58,-111.18334197998047,-27.795835494995117,13546682,google_electra-small-generator
a tennis racket is a toy.,tennis racket,toy,59,-266.91560554504395,-33.36445069313049,13546682,google_electra-small-generator
