stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-141.35173988342285,-23.55862331390381,33740602,google_electra-base-generator
a top is a toy.,top,toy,2,-135.34053134918213,-22.55675522486369,33740602,google_electra-base-generator
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-276.9082326889038,-23.07568605740865,33740602,google_electra-base-generator
a toy soldier is a toy.,toy soldier,toy,4,-152.7970323562622,-21.82814747946603,33740602,google_electra-base-generator
a yo-yo is a toy.,yo-yo,toy,5,-167.55361366271973,-20.944201707839966,33740602,google_electra-base-generator
a block is a toy.,block,toy,6,-151.25140190124512,-25.20856698354085,33740602,google_electra-base-generator
marbles are toys.,marbles,toy,7,-148.943115234375,-29.788623046875,33740602,google_electra-base-generator
a rattle is a toy.,rattle,toy,8,-154.08768463134766,-25.681280771891277,33740602,google_electra-base-generator
a stuffed animal is a toy.,stuffed animal,toy,9,-184.17015647888184,-26.310022354125977,33740602,google_electra-base-generator
a water pistol is a toy.,water pistol,toy,10,-165.73042964935303,-23.67577566419329,33740602,google_electra-base-generator
a teddy bear is a toy.,teddy bear,toy,11,-168.27545166015625,-24.039350237165177,33740602,google_electra-base-generator
a rocking horse is a toy.,rocking horse,toy,12,-170.5045166015625,-24.3577880859375,33740602,google_electra-base-generator
a doll house is a toy.,doll house,toy,13,-158.2724084854126,-22.610344069344656,33740602,google_electra-base-generator
a ball is a toy.,ball,toy,14,-136.19354820251465,-22.69892470041911,33740602,google_electra-base-generator
jacks are toys.,jacks,toy,15,-141.7873249053955,-28.3574649810791,33740602,google_electra-base-generator
paper dolls are toys.,paper dolls,toy,16,-134.74268913269043,-26.948537826538086,33740602,google_electra-base-generator
an erector set is a toy.,erector set,toy,17,-216.76860809326172,-27.096076011657715,33740602,google_electra-base-generator
a hula hoop is a toy.,hula hoop,toy,18,-207.40756607055664,-25.92594575881958,33740602,google_electra-base-generator
a jump rope is a toy.,jump rope,toy,19,-160.2834062576294,-22.897629465375626,33740602,google_electra-base-generator
a pogo stick is a toy.,pogo stick,toy,20,-199.99773693084717,-24.999717116355896,33740602,google_electra-base-generator
a clay is a toy.,clay,toy,21,-150.98649501800537,-25.16441583633423,33740602,google_electra-base-generator
a wagon is a toy.,wagon,toy,22,-150.901593208313,-25.15026553471883,33740602,google_electra-base-generator
a kite is a toy.,kite,toy,23,-160.2941770553589,-26.715696175893147,33740602,google_electra-base-generator
a train is a toy.,train,toy,24,-146.59516048431396,-24.432526747385662,33740602,google_electra-base-generator
a tricycle is a toy.,tricycle,toy,25,-179.984055519104,-25.712007931300572,33740602,google_electra-base-generator
a coloring book is a toy.,coloring book,toy,26,-172.94654846191406,-24.706649780273438,33740602,google_electra-base-generator
crayons are toys.,crayons,toy,27,-182.73160934448242,-30.455268224080402,33740602,google_electra-base-generator
a truck is a toy.,truck,toy,28,-154.369065284729,-25.728177547454834,33740602,google_electra-base-generator
a puzzle is a toy.,puzzle,toy,29,-146.08392333984375,-24.347320556640625,33740602,google_electra-base-generator
