stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-33.467166900634766,-4.781023842947824,81913344,distilgpt2
a top is a toy.,top,toy,2,-36.81105041503906,-5.258721487862723,81913344,distilgpt2
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-45.00038146972656,-3.4615678053635817,81913344,distilgpt2
a toy soldier is a toy.,toy soldier,toy,4,-44.6796760559082,-5.584959506988525,81913344,distilgpt2
a yo-yo is a toy.,yo-yo,toy,5,-36.3055419921875,-4.033949110243055,81913344,distilgpt2
a block is a toy.,block,toy,6,-36.85664749145508,-5.265235355922154,81913344,distilgpt2
marbles are toys.,marbles,toy,7,-37.018280029296875,-6.1697133382161455,81913344,distilgpt2
a rattle is a toy.,rattle,toy,8,-39.124122619628906,-4.890515327453613,81913344,distilgpt2
a stuffed animal is a toy.,stuffed animal,toy,9,-38.01525115966797,-4.751906394958496,81913344,distilgpt2
a water pistol is a toy.,water pistol,toy,10,-39.14802551269531,-4.893503189086914,81913344,distilgpt2
a teddy bear is a toy.,teddy bear,toy,11,-34.167781829833984,-3.796420203314887,81913344,distilgpt2
a rocking horse is a toy.,rocking horse,toy,12,-42.567588806152344,-5.320948600769043,81913344,distilgpt2
a doll house is a toy.,doll house,toy,13,-42.29808807373047,-5.287261009216309,81913344,distilgpt2
a ball is a toy.,ball,toy,14,-33.3704833984375,-4.7672119140625,81913344,distilgpt2
jacks are toys.,jacks,toy,15,-35.07963562011719,-5.846605936686198,81913344,distilgpt2
paper dolls are toys.,paper dolls,toy,16,-37.637020111083984,-6.272836685180664,81913344,distilgpt2
an erector set is a toy.,erector set,toy,17,-47.92154312133789,-5.324615902370876,81913344,distilgpt2
a hula hoop is a toy.,hula hoop,toy,18,-42.34096908569336,-4.704552120632595,81913344,distilgpt2
a jump rope is a toy.,jump rope,toy,19,-42.89555740356445,-5.361944675445557,81913344,distilgpt2
a pogo stick is a toy.,pogo stick,toy,20,-43.42911911010742,-4.8254576789008246,81913344,distilgpt2
a clay is a toy.,clay,toy,21,-39.67231750488281,-5.667473929268973,81913344,distilgpt2
a wagon is a toy.,wagon,toy,22,-36.00153350830078,-5.14307621547154,81913344,distilgpt2
a kite is a toy.,kite,toy,23,-38.68025588989258,-4.835031986236572,81913344,distilgpt2
a train is a toy.,train,toy,24,-35.277992248535156,-5.039713178362165,81913344,distilgpt2
a tricycle is a toy.,tricycle,toy,25,-38.7307243347168,-4.8413405418396,81913344,distilgpt2
a coloring book is a toy.,coloring book,toy,26,-40.40171813964844,-5.050214767456055,81913344,distilgpt2
crayons are toys.,crayons,toy,27,-38.10453414916992,-5.443504878452846,81913344,distilgpt2
a truck is a toy.,truck,toy,28,-34.97443389892578,-4.99634769984654,81913344,distilgpt2
a puzzle is a toy.,puzzle,toy,29,-36.08029556274414,-5.154327937534878,81913344,distilgpt2
a fire engine is a toy.,fire engine,toy,30,-38.61695098876953,-4.827118873596191,81913344,distilgpt2
a balloon is a toy.,balloon,toy,31,-35.00383758544922,-5.000548226492746,81913344,distilgpt2
skates are toys.,skates,toy,32,-36.051109313964844,-6.008518218994141,81913344,distilgpt2
a baseball is a toy.,baseball,toy,33,-37.0450553894043,-5.292150769914899,81913344,distilgpt2
a drum is a toy.,drum,toy,34,-37.32994842529297,-5.332849775041852,81913344,distilgpt2
a football is a toy.,football,toy,35,-37.32883834838867,-5.332691192626953,81913344,distilgpt2
a game is a toy.,game,toy,36,-33.6512565612793,-4.8073223658970425,81913344,distilgpt2
a swing is a toy.,swing,toy,37,-39.24110412597656,-5.605872017996652,81913344,distilgpt2
a boat is a toy.,boat,toy,38,-34.12562942504883,-4.875089917864118,81913344,distilgpt2
a monopoly is a toy.,monopoly,toy,39,-39.040164947509766,-5.577166421072824,81913344,distilgpt2
a sled is a toy.,sled,toy,40,-37.69546890258789,-5.385066986083984,81913344,distilgpt2
a seesaw is a toy.,seesaw,toy,41,-48.10591125488281,-6.013238906860352,81913344,distilgpt2
stilts are toys.,stilts,toy,42,-36.313758850097656,-6.052293141682942,81913344,distilgpt2
checkers are toys.,checkers,toy,43,-35.8356819152832,-5.9726136525472,81913344,distilgpt2
a bat is a toy.,bat,toy,44,-33.957923889160156,-4.851131984165737,81913344,distilgpt2
a car is a toy.,car,toy,45,-32.23415756225586,-4.604879651750837,81913344,distilgpt2
an airplane is a toy.,airplane,toy,46,-33.8494987487793,-4.8356426783970425,81913344,distilgpt2
a bicycle is a toy.,bicycle,toy,47,-34.415950775146484,-4.916564396449497,81913344,distilgpt2
a tractor is a toy.,tractor,toy,48,-37.70580291748047,-5.386543273925781,81913344,distilgpt2
a sandbox is a toy.,sandbox,toy,49,-38.53443145751953,-5.504918779645648,81913344,distilgpt2
a bike is a toy.,bike,toy,50,-34.04055404663086,-4.862936292375837,81913344,distilgpt2
a bow and arrow is a toy.,bow and arrow,toy,51,-40.42107391357422,-4.4912304348415795,81913344,distilgpt2
a rope is a toy.,rope,toy,52,-36.27968978881836,-5.182812826974051,81913344,distilgpt2
dishes are toys.,dishes,toy,53,-35.589385986328125,-5.9315643310546875,81913344,distilgpt2
cards are toys.,cards,toy,54,-31.534366607666016,-6.306873321533203,81913344,distilgpt2
a mitt is a toy.,mitt,toy,55,-38.28596496582031,-4.785745620727539,81913344,distilgpt2
a horse is a toy.,horse,toy,56,-33.36503219604492,-4.76643317086356,81913344,distilgpt2
a gun is a toy.,gun,toy,57,-31.632835388183594,-4.518976484026227,81913344,distilgpt2
animals are toys.,animals,toy,58,-31.523910522460938,-5.253985087076823,81913344,distilgpt2
a tennis racket is a toy.,tennis racket,toy,59,-41.046142578125,-5.130767822265625,81913344,distilgpt2
books are toys.,books,toy,60,-30.802783966064453,-6.160556793212891,81913344,distilgpt2
a robin is a bird.,robin,bird,1,-36.72478485107422,-4.590598106384277,81913344,distilgpt2
a sparrow is a bird.,sparrow,bird,2,-34.61440658569336,-4.32680082321167,81913344,distilgpt2
a bluejay is a bird.,bluejay,bird,3,-41.45643615722656,-5.18205451965332,81913344,distilgpt2
a bluebird is a bird.,bluebird,bird,4,-36.27352523803711,-4.534190654754639,81913344,distilgpt2
a canary is a bird.,canary,bird,5,-39.57036209106445,-4.946295261383057,81913344,distilgpt2
a blackbird is a bird.,blackbird,bird,6,-34.68871307373047,-4.336089134216309,81913344,distilgpt2
a dove is a bird.,dove,bird,7,-34.18338394165039,-4.883340563092913,81913344,distilgpt2
a lark is a bird.,lark,bird,8,-37.611934661865234,-4.701491832733154,81913344,distilgpt2
a swallow is a bird.,swallow,bird,9,-36.73481750488281,-5.247831072126116,81913344,distilgpt2
a parakeet is a bird.,parakeet,bird,10,-40.31443977355957,-4.479382197062175,81913344,distilgpt2
an oriole is a bird.,oriole,bird,11,-38.55474853515625,-4.819343566894531,81913344,distilgpt2
a mockingbird is a bird.,mockingbird,bird,12,-42.52260971069336,-5.31532621383667,81913344,distilgpt2
a redbird is a bird.,redbird,bird,13,-36.9459342956543,-4.618241786956787,81913344,distilgpt2
a wren is a bird.,wren,bird,14,-42.386749267578125,-5.298343658447266,81913344,distilgpt2
a finch is a bird.,finch,bird,15,-41.748416900634766,-5.218552112579346,81913344,distilgpt2
a starling is a bird.,starling,bird,16,-40.544273376464844,-5.0680341720581055,81913344,distilgpt2
a cardinal is a bird.,cardinal,bird,17,-36.55129623413086,-5.22161374773298,81913344,distilgpt2
an eagle is a bird.,eagle,bird,18,-29.881038665771484,-4.268719809395926,81913344,distilgpt2
a hummingbird is a bird.,hummingbird,bird,19,-34.1810302734375,-4.2726287841796875,81913344,distilgpt2
a seagull is a bird.,seagull,bird,20,-36.95423889160156,-4.106026543511285,81913344,distilgpt2
a woodpecker is a bird.,woodpecker,bird,21,-37.16688537597656,-4.1296539306640625,81913344,distilgpt2
a pigeon is a bird.,pigeon,bird,22,-32.4427375793457,-4.634676797049386,81913344,distilgpt2
a thrush is a bird.,thrush,bird,23,-41.19058609008789,-5.148823261260986,81913344,distilgpt2
a falcon is a bird.,falcon,bird,24,-33.616546630859375,-4.202068328857422,81913344,distilgpt2
a crow is a bird.,crow,bird,25,-32.14531707763672,-4.592188153948102,81913344,distilgpt2
a hawk is a bird.,hawk,bird,26,-32.674503326416016,-4.667786189488003,81913344,distilgpt2
a raven is a bird.,raven,bird,27,-33.479373931884766,-4.782767704554966,81913344,distilgpt2
a goldfinch is a bird.,goldfinch,bird,28,-44.601043701171875,-4.95567152235243,81913344,distilgpt2
a parrot is a bird.,parrot,bird,29,-31.95777702331543,-3.9947221279144287,81913344,distilgpt2
a sandpiper is a bird.,sandpiper,bird,30,-39.54515075683594,-4.3939056396484375,81913344,distilgpt2
a pheasant is a bird.,pheasant,bird,31,-35.86050796508789,-3.9845008850097656,81913344,distilgpt2
a catbird is a bird.,catbird,bird,32,-37.57430648803711,-4.696788311004639,81913344,distilgpt2
a crane is a bird.,crane,bird,33,-36.78767776489258,-5.255382537841797,81913344,distilgpt2
an albatross is a bird.,albatross,bird,34,-34.135154724121094,-3.7927949693467884,81913344,distilgpt2
a condor is a bird.,condor,bird,35,-41.43379211425781,-5.179224014282227,81913344,distilgpt2
a toucan is a bird.,toucan,bird,36,-37.29117965698242,-4.661397457122803,81913344,distilgpt2
an owl is a bird.,owl,bird,37,-30.86664581298828,-4.409520830426898,81913344,distilgpt2
a pelican is a bird.,pelican,bird,38,-37.18098068237305,-4.647622585296631,81913344,distilgpt2
geese are birds.,geese,bird,39,-36.9524040222168,-6.1587340037028,81913344,distilgpt2
a vulture is a bird.,vulture,bird,40,-37.37948989868164,-4.672436237335205,81913344,distilgpt2
a stork is a bird.,stork,bird,41,-36.7890510559082,-4.598631381988525,81913344,distilgpt2
a buzzard is a bird.,buzzard,bird,42,-39.90899658203125,-4.988624572753906,81913344,distilgpt2
a swan is a bird.,swan,bird,43,-36.79283142089844,-4.599103927612305,81913344,distilgpt2
a flamingo is a bird.,flamingo,bird,44,-37.067752838134766,-4.633469104766846,81913344,distilgpt2
a duck is a bird.,duck,bird,45,-31.67589569091797,-4.5251279558454245,81913344,distilgpt2
a peacock is a bird.,peacock,bird,46,-35.63808059692383,-4.4547600746154785,81913344,distilgpt2
an egret is a bird.,egret,bird,47,-44.335533142089844,-5.5419416427612305,81913344,distilgpt2
a chicken is a bird.,chicken,bird,48,-33.10551834106445,-4.7293597630092075,81913344,distilgpt2
a turkey is a bird.,turkey,bird,49,-33.77055358886719,-4.824364798409598,81913344,distilgpt2
an ostrich is a bird.,ostrich,bird,50,-33.022918701171875,-4.127864837646484,81913344,distilgpt2
a titmouse is a bird.,titmouse,bird,51,-41.10051727294922,-5.137564659118652,81913344,distilgpt2
an emu is a bird.,emu,bird,52,-39.4678840637207,-4.933485507965088,81913344,distilgpt2
a penguin is a bird.,penguin,bird,53,-33.41654968261719,-4.177068710327148,81913344,distilgpt2
a bat is a bird.,bat,bird,54,-32.43257522583008,-4.63322503226144,81913344,distilgpt2
football is a sport.,football,sport,1,-27.35082244873047,-4.558470408121745,81913344,distilgpt2
baseball is a sport.,baseball,sport,2,-29.43783187866211,-4.205404554094587,81913344,distilgpt2
basketball is a sport.,basketball,sport,3,-27.731361389160156,-4.621893564860026,81913344,distilgpt2
tennis is a sport.,tennis,sport,4,-35.340118408203125,-5.048588344029018,81913344,distilgpt2
softball is a sport.,softball,sport,5,-34.49852752685547,-4.928361075265067,81913344,distilgpt2
canoeing is a sport.,canoeing,sport,6,-41.80533981323242,-5.225667476654053,81913344,distilgpt2
handball is a sport.,handball,sport,7,-33.19120407104492,-4.741600581577846,81913344,distilgpt2
rugby is a sport.,rugby,sport,8,-36.170101165771484,-5.167157309395926,81913344,distilgpt2
hockey is a sport.,hockey,sport,9,-28.726791381835938,-4.103827340262277,81913344,distilgpt2
ice hockey is a sport.,ice hockey,sport,10,-35.030677795410156,-5.0043825422014505,81913344,distilgpt2
swimming is a sport.,swimming,sport,11,-32.51546859741211,-4.6450669424874445,81913344,distilgpt2
track is a sport.,track,sport,12,-33.60214614868164,-5.60035769144694,81913344,distilgpt2
boxing is a sport.,boxing,sport,13,-31.932315826416016,-5.322052637736003,81913344,distilgpt2
volleyball is a sport.,volleyball,sport,14,-38.52985763549805,-4.816232204437256,81913344,distilgpt2
lacrosse is a sport.,lacrosse,sport,15,-34.1579704284668,-4.26974630355835,81913344,distilgpt2
skiing is a sport.,skiing,sport,16,-38.0248908996582,-5.432127271379743,81913344,distilgpt2
golf is a sport.,golf,sport,17,-31.123146057128906,-4.446163722446987,81913344,distilgpt2
polo is a sport.,polo,sport,18,-36.14641189575195,-5.163773127964565,81913344,distilgpt2
surfing is a sport.,surfing,sport,19,-32.77108383178711,-4.681583404541016,81913344,distilgpt2
wrestling is a sport.,wrestling,sport,20,-31.096424102783203,-4.442346300397601,81913344,distilgpt2
gymnastics is a sport.,gymnastics,sport,21,-41.408111572265625,-5.176013946533203,81913344,distilgpt2
cricket is a sport.,cricket,sport,22,-33.77886199951172,-4.222357749938965,81913344,distilgpt2
squash is a sport.,squash,sport,23,-38.142539978027344,-5.448934282575335,81913344,distilgpt2
badminton is a sport.,badminton,sport,24,-37.738590240478516,-4.7173237800598145,81913344,distilgpt2
racing is a sport.,racing,sport,25,-34.166847229003906,-4.880978175571987,81913344,distilgpt2
pole vault is a sport.,pole vault,sport,26,-46.31147003173828,-6.6159242902483255,81913344,distilgpt2
fencing is a sport.,fencing,sport,27,-35.5084114074707,-5.072630201067243,81913344,distilgpt2
bowling is a sport.,bowling,sport,28,-34.669002532958984,-4.9527146475655695,81913344,distilgpt2
water skiing is a sport.,water skiing,sport,29,-35.748565673828125,-5.106937953404018,81913344,distilgpt2
ice skating is a sport.,ice skating,sport,30,-35.745418548583984,-5.106488364083426,81913344,distilgpt2
jai alai is a sport.,jai alai,sport,31,-49.93387985229492,-5.548208872477214,81913344,distilgpt2
skating is a sport.,skating,sport,32,-35.15957260131836,-5.022796085902622,81913344,distilgpt2
skindiving is a sport.,skindiving,sport,33,-46.193580627441406,-5.774197578430176,81913344,distilgpt2
sailing is a sport.,sailing,sport,34,-35.11147880554199,-5.015925543648856,81913344,distilgpt2
diving is a sport.,diving,sport,35,-34.922035217285156,-4.988862173897879,81913344,distilgpt2
archery is a sport.,archery,sport,36,-35.12159729003906,-5.017371041434152,81913344,distilgpt2
judo is a sport.,judo,sport,37,-38.63147735595703,-5.518782479422433,81913344,distilgpt2
car racing is a sport.,car racing,sport,38,-34.890438079833984,-4.984348297119141,81913344,distilgpt2
ping pong is a sport.,ping pong,sport,39,-40.125370025634766,-5.015671253204346,81913344,distilgpt2
rowing is a sport.,rowing,sport,40,-35.41320037841797,-5.902200063069661,81913344,distilgpt2
fishing is a sport.,fishing,sport,41,-33.11643600463867,-4.730919429234096,81913344,distilgpt2
horseback riding is a sport.,horseback riding,sport,42,-39.39191436767578,-4.923989295959473,81913344,distilgpt2
running is a sport.,running,sport,43,-32.9590950012207,-5.49318250020345,81913344,distilgpt2
horse racing is a sport.,horse racing,sport,44,-33.80839538574219,-4.829770769391741,81913344,distilgpt2
hiking is a sport.,hiking,sport,45,-32.20305633544922,-4.600436619349888,81913344,distilgpt2
weight lifting is a sport.,weight lifting,sport,46,-36.456016540527344,-5.208002362932477,81913344,distilgpt2
croquet is a sport.,croquet,sport,47,-38.73521041870117,-5.533601488385882,81913344,distilgpt2
horseshoes is a sport.,horseshoes,sport,48,-41.16886520385742,-4.574318355984158,81913344,distilgpt2
boating is a sport.,boating,sport,49,-34.608882904052734,-4.944126129150391,81913344,distilgpt2
pool is a sport.,pool,sport,50,-33.460628509521484,-5.576771418253581,81913344,distilgpt2
billiards is a sport.,billiards,sport,51,-38.978057861328125,-4.872257232666016,81913344,distilgpt2
hunting is a sport.,hunting,sport,52,-31.8017578125,-4.543108258928571,81913344,distilgpt2
jump rope is a sport.,jump rope,sport,53,-40.765438079833984,-5.823634011404855,81913344,distilgpt2
camping is a sport.,camping,sport,54,-36.11277389526367,-5.158967699323382,81913344,distilgpt2
chess is a sport.,chess,sport,55,-34.008201599121094,-4.858314514160156,81913344,distilgpt2
dancing is a sport.,dancing,sport,56,-33.28531265258789,-4.755044664655413,81913344,distilgpt2
checkers is a sport.,checkers,sport,57,-36.95357131958008,-5.279081617082868,81913344,distilgpt2
cards is a sport.,cards,sport,58,-34.42009735107422,-5.736682891845703,81913344,distilgpt2
sunbathing is a sport.,sunbathing,sport,59,-38.689292907714844,-4.8361616134643555,81913344,distilgpt2
pea is a vegetable.,pea,vegetable,1,-34.209651947021484,-4.887093135288784,81913344,distilgpt2
carrot is a vegetable.,carrot,vegetable,2,-35.905643463134766,-5.1293776375906805,81913344,distilgpt2
green beans are vegetables.,green beans,vegetable,3,-35.731117248535156,-5.955186208089192,81913344,distilgpt2
string beans are vegetables.,string beans,vegetable,4,-41.064308166503906,-6.844051361083984,81913344,distilgpt2
spinach is a vegetable.,spinach,vegetable,5,-34.23460388183594,-4.890657697405134,81913344,distilgpt2
broccoli is a vegetable.,broccoli,vegetable,6,-33.85989761352539,-4.837128230503628,81913344,distilgpt2
asparagus are vegetables.,asparagus,vegetable,7,-34.835994720458984,-4.976570674351284,81913344,distilgpt2
corn is a vegetable.,corn,vegetable,8,-32.49213409423828,-5.415355682373047,81913344,distilgpt2
cauliflower is a vegetable.,cauliflower,vegetable,9,-33.71074295043945,-4.213842868804932,81913344,distilgpt2
brussels sprouts are vegetables.,brussels sprouts,vegetable,10,-39.048160552978516,-4.338684505886501,81913344,distilgpt2
squash is a vegetable.,squash,vegetable,12,-40.13713455200195,-5.7338763645717075,81913344,distilgpt2
