stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-33.00368881225586,-4.714812687465122,124440576,gpt2
a top is a toy.,top,toy,2,-37.5123405456543,-5.358905792236328,124440576,gpt2
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-42.66342544555664,-3.2818019573505106,124440576,gpt2
a toy soldier is a toy.,toy soldier,toy,4,-43.19236373901367,-5.399045467376709,124440576,gpt2
a yo-yo is a toy.,yo-yo,toy,5,-36.093509674072266,-4.010389963785808,124440576,gpt2
a block is a toy.,block,toy,6,-39.70891571044922,-5.672702244349888,124440576,gpt2
marbles are toys.,marbles,toy,7,-39.43158721923828,-6.57193120320638,124440576,gpt2
a rattle is a toy.,rattle,toy,8,-40.72941970825195,-5.091177463531494,124440576,gpt2
a stuffed animal is a toy.,stuffed animal,toy,9,-36.436275482177734,-4.554534435272217,124440576,gpt2
a water pistol is a toy.,water pistol,toy,10,-41.7653923034668,-5.22067403793335,124440576,gpt2
a teddy bear is a toy.,teddy bear,toy,11,-35.63529586791992,-3.959477318657769,124440576,gpt2
a rocking horse is a toy.,rocking horse,toy,12,-44.67478561401367,-5.584348201751709,124440576,gpt2
a doll house is a toy.,doll house,toy,13,-43.27408218383789,-5.409260272979736,124440576,gpt2
a ball is a toy.,ball,toy,14,-35.36471176147461,-5.052101680210659,124440576,gpt2
jacks are toys.,jacks,toy,15,-37.0527458190918,-6.1754576365153,124440576,gpt2
paper dolls are toys.,paper dolls,toy,16,-38.38303756713867,-6.397172927856445,124440576,gpt2
an erector set is a toy.,erector set,toy,17,-47.83315658569336,-5.314795176188151,124440576,gpt2
a hula hoop is a toy.,hula hoop,toy,18,-41.12361145019531,-4.5692901611328125,124440576,gpt2
a jump rope is a toy.,jump rope,toy,19,-45.1062126159668,-5.63827657699585,124440576,gpt2
a pogo stick is a toy.,pogo stick,toy,20,-38.490562438964844,-4.276729159884983,124440576,gpt2
a clay is a toy.,clay,toy,21,-41.79642868041992,-5.970918382917132,124440576,gpt2
a wagon is a toy.,wagon,toy,22,-38.59672927856445,-5.513818468366351,124440576,gpt2
a kite is a toy.,kite,toy,23,-37.708335876464844,-4.7135419845581055,124440576,gpt2
a train is a toy.,train,toy,24,-37.081424713134766,-5.2973463875906805,124440576,gpt2
a tricycle is a toy.,tricycle,toy,25,-39.72076416015625,-4.965095520019531,124440576,gpt2
a coloring book is a toy.,coloring book,toy,26,-39.46372604370117,-4.9329657554626465,124440576,gpt2
crayons are toys.,crayons,toy,27,-37.95652389526367,-5.422360556466239,124440576,gpt2
a truck is a toy.,truck,toy,28,-38.561344146728516,-5.508763449532645,124440576,gpt2
a puzzle is a toy.,puzzle,toy,29,-37.373294830322266,-5.339042118617466,124440576,gpt2
a fire engine is a toy.,fire engine,toy,30,-41.44717788696289,-5.180897235870361,124440576,gpt2
a balloon is a toy.,balloon,toy,31,-37.62343978881836,-5.374777112688337,124440576,gpt2
skates are toys.,skates,toy,32,-37.5404167175293,-6.256736119588216,124440576,gpt2
a baseball is a toy.,baseball,toy,33,-37.475955963134766,-5.353707994733538,124440576,gpt2
a drum is a toy.,drum,toy,34,-39.06928253173828,-5.581326075962612,124440576,gpt2
a football is a toy.,football,toy,35,-37.581546783447266,-5.368792397635324,124440576,gpt2
a game is a toy.,game,toy,36,-34.476871490478516,-4.925267355782645,124440576,gpt2
a swing is a toy.,swing,toy,37,-41.769893646240234,-5.967127663748605,124440576,gpt2
a boat is a toy.,boat,toy,38,-36.739078521728516,-5.248439788818359,124440576,gpt2
a monopoly is a toy.,monopoly,toy,39,-42.51057815551758,-6.072939736502511,124440576,gpt2
a sled is a toy.,sled,toy,40,-39.692291259765625,-5.670327322823661,124440576,gpt2
a seesaw is a toy.,seesaw,toy,41,-46.139827728271484,-5.7674784660339355,124440576,gpt2
stilts are toys.,stilts,toy,42,-36.072628021240234,-6.012104670206706,124440576,gpt2
checkers are toys.,checkers,toy,43,-38.56105422973633,-6.426842371622722,124440576,gpt2
a bat is a toy.,bat,toy,44,-34.50507736206055,-4.929296766008649,124440576,gpt2
a car is a toy.,car,toy,45,-34.42719268798828,-4.9181703839983255,124440576,gpt2
an airplane is a toy.,airplane,toy,46,-36.04549789428711,-5.149356842041016,124440576,gpt2
a bicycle is a toy.,bicycle,toy,47,-36.581844329833984,-5.225977761404855,124440576,gpt2
a tractor is a toy.,tractor,toy,48,-42.8564567565918,-6.122350965227399,124440576,gpt2
a sandbox is a toy.,sandbox,toy,49,-40.69905471801758,-5.814150674002511,124440576,gpt2
a bike is a toy.,bike,toy,50,-35.47085952758789,-5.06726564679827,124440576,gpt2
a bow and arrow is a toy.,bow and arrow,toy,51,-38.276248931884766,-4.252916547987196,124440576,gpt2
a rope is a toy.,rope,toy,52,-38.47530746459961,-5.496472494942801,124440576,gpt2
dishes are toys.,dishes,toy,53,-36.345489501953125,-6.0575815836588545,124440576,gpt2
cards are toys.,cards,toy,54,-32.89417266845703,-6.578834533691406,124440576,gpt2
a mitt is a toy.,mitt,toy,55,-39.32353591918945,-4.915441989898682,124440576,gpt2
a horse is a toy.,horse,toy,56,-34.126033782958984,-4.875147683279855,124440576,gpt2
a gun is a toy.,gun,toy,57,-33.361087799072266,-4.765869685581753,124440576,gpt2
animals are toys.,animals,toy,58,-32.46662521362305,-5.411104202270508,124440576,gpt2
a tennis racket is a toy.,tennis racket,toy,59,-41.32709884643555,-5.165887355804443,124440576,gpt2
books are toys.,books,toy,60,-41.99150466918945,-8.398300933837891,124440576,gpt2
a robin is a bird.,robin,bird,1,-36.55780792236328,-4.56972599029541,124440576,gpt2
a sparrow is a bird.,sparrow,bird,2,-33.85066223144531,-4.231332778930664,124440576,gpt2
a bluejay is a bird.,bluejay,bird,3,-42.771507263183594,-5.346438407897949,124440576,gpt2
a bluebird is a bird.,bluebird,bird,4,-36.84477615356445,-4.605597019195557,124440576,gpt2
a canary is a bird.,canary,bird,5,-38.68806076049805,-4.836007595062256,124440576,gpt2
a blackbird is a bird.,blackbird,bird,6,-36.735050201416016,-4.591881275177002,124440576,gpt2
a dove is a bird.,dove,bird,7,-33.75741195678711,-4.822487422398159,124440576,gpt2
a lark is a bird.,lark,bird,8,-37.384849548339844,-4.6731061935424805,124440576,gpt2
a swallow is a bird.,swallow,bird,9,-38.19388961791992,-5.456269945417132,124440576,gpt2
a parakeet is a bird.,parakeet,bird,10,-35.06657791137695,-3.8962864345974393,124440576,gpt2
an oriole is a bird.,oriole,bird,11,-41.320281982421875,-5.165035247802734,124440576,gpt2
a mockingbird is a bird.,mockingbird,bird,12,-41.520565032958984,-5.190070629119873,124440576,gpt2
a redbird is a bird.,redbird,bird,13,-38.15301513671875,-4.769126892089844,124440576,gpt2
a wren is a bird.,wren,bird,14,-41.08650588989258,-5.135813236236572,124440576,gpt2
a finch is a bird.,finch,bird,15,-38.85274887084961,-4.856593608856201,124440576,gpt2
a starling is a bird.,starling,bird,16,-39.24441909790039,-4.905552387237549,124440576,gpt2
a cardinal is a bird.,cardinal,bird,17,-40.01218032836914,-5.716025761195591,124440576,gpt2
an eagle is a bird.,eagle,bird,18,-31.67316436767578,-4.5247377668108255,124440576,gpt2
a hummingbird is a bird.,hummingbird,bird,19,-35.979164123535156,-4.4973955154418945,124440576,gpt2
a seagull is a bird.,seagull,bird,20,-37.22771072387695,-4.136412302652995,124440576,gpt2
a woodpecker is a bird.,woodpecker,bird,21,-37.13954162597656,-4.126615736219618,124440576,gpt2
