stimulus,item,category,feature
a robin is alive.,robin,bird,1
a sparrow is alive.,sparrow,bird,1
a bluejay is alive.,bluejay,bird,1
a bluebird is alive.,bluebird,bird,1
a canary is alive.,canary,bird,1
a blackbird is alive.,blackbird,bird,1
a dove is alive.,dove,bird,1
a lark is alive.,lark,bird,1
a swallow is alive.,swallow,bird,1
a parakeet is alive.,parakeet,bird,1
an oriole is alive.,oriole,bird,1
a mockingbird is alive.,mockingbird,bird,1
a redbird is alive.,redbird,bird,1
a wren is alive.,wren,bird,1
a finch is alive.,finch,bird,1
a starling is alive.,starling,bird,1
a cardinal is alive.,cardinal,bird,1
an eagle is alive.,eagle,bird,1
a hummingbird is alive.,hummingbird,bird,1
a seagull is alive.,seagull,bird,1
a woodpecker is alive.,woodpecker,bird,1
a pigeon is alive.,pigeon,bird,1
a thrush is alive.,thrush,bird,1
a falcon is alive.,falcon,bird,1
a crow is alive.,crow,bird,1
a hawk is alive.,hawk,bird,1
a raven is alive.,raven,bird,1
a goldfinch is alive.,goldfinch,bird,1
a parrot is alive.,parrot,bird,1
a sandpiper is alive.,sandpiper,bird,1
a pheasant is alive.,pheasant,bird,1
a catbird is alive.,catbird,bird,1
a crane is alive.,crane,bird,1
an albatross is alive.,albatross,bird,1
a condor is alive.,condor,bird,1
a toucan is alive.,toucan,bird,1
an owl is alive.,owl,bird,1
a pelican is alive.,pelican,bird,1
a goose is alive.,geese,bird,1
a vulture is alive.,vulture,bird,1
a stork is alive.,stork,bird,1
a buzzard is alive.,buzzard,bird,1
a swan is alive.,swan,bird,1
a flamingo is alive.,flamingo,bird,1
a duck is alive.,duck,bird,1
a peacock is alive.,peacock,bird,1
an egret is alive.,egret,bird,1
a chicken is alive.,chicken,bird,1
a turkey is alive.,turkey,bird,1
an ostrich is alive.,ostrich,bird,1
a titmouse is alive.,titmouse,bird,1
an emu is alive.,emu,bird,1
a penguin is alive.,penguin,bird,1
a bat is alive.,bat,bird,1
a robin flies.,robin,bird,2
a sparrow flies.,sparrow,bird,2
a bluejay flies.,bluejay,bird,2
a bluebird flies.,bluebird,bird,2
a canary flies.,canary,bird,2
a blackbird flies.,blackbird,bird,2
a dove flies.,dove,bird,2
a lark flies.,lark,bird,2
a swallow flies.,swallow,bird,2
a parakeet flies.,parakeet,bird,2
an oriole flies.,oriole,bird,2
a mockingbird flies.,mockingbird,bird,2
a redbird flies.,redbird,bird,2
a wren flies.,wren,bird,2
a finch flies.,finch,bird,2
a starling flies.,starling,bird,2
a cardinal flies.,cardinal,bird,2
an eagle flies.,eagle,bird,2
a hummingbird flies.,hummingbird,bird,2
a seagull flies.,seagull,bird,2
a woodpecker flies.,woodpecker,bird,2
a pigeon flies.,pigeon,bird,2
a thrush flies.,thrush,bird,2
a falcon flies.,falcon,bird,2
a crow flies.,crow,bird,2
a hawk flies.,hawk,bird,2
a raven flies.,raven,bird,2
a goldfinch flies.,goldfinch,bird,2
a parrot flies.,parrot,bird,2
a sandpiper flies.,sandpiper,bird,2
a pheasant flies.,pheasant,bird,2
a catbird flies.,catbird,bird,2
a crane flies.,crane,bird,2
an albatross flies.,albatross,bird,2
a condor flies.,condor,bird,2
a toucan flies.,toucan,bird,2
an owl flies.,owl,bird,2
a pelican flies.,pelican,bird,2
a goose flies.,geese,bird,2
a vulture flies.,vulture,bird,2
a stork flies.,stork,bird,2
a buzzard flies.,buzzard,bird,2
a swan flies.,swan,bird,2
a flamingo flies.,flamingo,bird,2
a duck flies.,duck,bird,2
a peacock flies.,peacock,bird,2
an egret flies.,egret,bird,2
a chicken flies.,chicken,bird,2
a turkey flies.,turkey,bird,2
an ostrich flies.,ostrich,bird,2
a titmouse flies.,titmouse,bird,2
an emu flies.,emu,bird,2
a penguin flies.,penguin,bird,2
a bat flies.,bat,bird,2
a robin has feathers.,robin,bird,3
a sparrow has feathers.,sparrow,bird,3
a bluejay has feathers.,bluejay,bird,3
a bluebird has feathers.,bluebird,bird,3
a canary has feathers.,canary,bird,3
a blackbird has feathers.,blackbird,bird,3
a dove has feathers.,dove,bird,3
a lark has feathers.,lark,bird,3
a swallow has feathers.,swallow,bird,3
a parakeet has feathers.,parakeet,bird,3
an oriole has feathers.,oriole,bird,3
a mockingbird has feathers.,mockingbird,bird,3
a redbird has feathers.,redbird,bird,3
a wren has feathers.,wren,bird,3
a finch has feathers.,finch,bird,3
a starling has feathers.,starling,bird,3
a cardinal has feathers.,cardinal,bird,3
an eagle has feathers.,eagle,bird,3
a hummingbird has feathers.,hummingbird,bird,3
a seagull has feathers.,seagull,bird,3
a woodpecker has feathers.,woodpecker,bird,3
a pigeon has feathers.,pigeon,bird,3
a thrush has feathers.,thrush,bird,3
a falcon has feathers.,falcon,bird,3
a crow has feathers.,crow,bird,3
a hawk has feathers.,hawk,bird,3
a raven has feathers.,raven,bird,3
a goldfinch has feathers.,goldfinch,bird,3
a parrot has feathers.,parrot,bird,3
a sandpiper has feathers.,sandpiper,bird,3
a pheasant has feathers.,pheasant,bird,3
a catbird has feathers.,catbird,bird,3
a crane has feathers.,crane,bird,3
an albatross has feathers.,albatross,bird,3
a condor has feathers.,condor,bird,3
a toucan has feathers.,toucan,bird,3
an owl has feathers.,owl,bird,3
a pelican has feathers.,pelican,bird,3
geese have feathers.,geese,bird,3
a vulture has feathers.,vulture,bird,3
a stork has feathers.,stork,bird,3
a buzzard has feathers.,buzzard,bird,3
a swan has feathers.,swan,bird,3
a flamingo has feathers.,flamingo,bird,3
a duck has feathers.,duck,bird,3
a peacock has feathers.,peacock,bird,3
an egret has feathers.,egret,bird,3
a chicken has feathers.,chicken,bird,3
a turkey has feathers.,turkey,bird,3
an ostrich has feathers.,ostrich,bird,3
a titmouse has feathers.,titmouse,bird,3
an emu has feathers.,emu,bird,3
a penguin has feathers.,penguin,bird,3
a bat has feathers.,bat,bird,3
a robin has a beak.,robin,bird,4
a sparrow has a beak.,sparrow,bird,4
a bluejay has a beak.,bluejay,bird,4
a bluebird has a beak.,bluebird,bird,4
a canary has a beak.,canary,bird,4
a blackbird has a beak.,blackbird,bird,4
a dove has a beak.,dove,bird,4
a lark has a beak.,lark,bird,4
a swallow has a beak.,swallow,bird,4
a parakeet has a beak.,parakeet,bird,4
an oriole has a beak.,oriole,bird,4
a mockingbird has a beak.,mockingbird,bird,4
a redbird has a beak.,redbird,bird,4
a wren has a beak.,wren,bird,4
a finch has a beak.,finch,bird,4
a starling has a beak.,starling,bird,4
a cardinal has a beak.,cardinal,bird,4
an eagle has a beak.,eagle,bird,4
a hummingbird has a beak.,hummingbird,bird,4
a seagull has a beak.,seagull,bird,4
a woodpecker has a beak.,woodpecker,bird,4
a pigeon has a beak.,pigeon,bird,4
a thrush has a beak.,thrush,bird,4
a falcon has a beak.,falcon,bird,4
a crow has a beak.,crow,bird,4
a hawk has a beak.,hawk,bird,4
a raven has a beak.,raven,bird,4
a goldfinch has a beak.,goldfinch,bird,4
a parrot has a beak.,parrot,bird,4
a sandpiper has a beak.,sandpiper,bird,4
a pheasant has a beak.,pheasant,bird,4
a catbird has a beak.,catbird,bird,4
a crane has a beak.,crane,bird,4
an albatross has a beak.,albatross,bird,4
a condor has a beak.,condor,bird,4
a toucan has a beak.,toucan,bird,4
an owl has a beak.,owl,bird,4
a pelican has a beak.,pelican,bird,4
geese have a beak.,geese,bird,4
a vulture has a beak.,vulture,bird,4
a stork has a beak.,stork,bird,4
a buzzard has a beak.,buzzard,bird,4
a swan has a beak.,swan,bird,4
a flamingo has a beak.,flamingo,bird,4
a duck has a beak.,duck,bird,4
a peacock has a beak.,peacock,bird,4
an egret has a beak.,egret,bird,4
a chicken has a beak.,chicken,bird,4
a turkey has a beak.,turkey,bird,4
an ostrich has a beak.,ostrich,bird,4
a titmouse has a beak.,titmouse,bird,4
an emu has a beak.,emu,bird,4
a penguin has a beak.,penguin,bird,4
a bat has a beak.,bat,bird,4
a robin has a bill.,robin,bird,5
a sparrow has a bill.,sparrow,bird,5
a bluejay has a bill.,bluejay,bird,5
a bluebird has a bill.,bluebird,bird,5
a canary has a bill.,canary,bird,5
a blackbird has a bill.,blackbird,bird,5
a dove has a bill.,dove,bird,5
a lark has a bill.,lark,bird,5
a swallow has a bill.,swallow,bird,5
a parakeet has a bill.,parakeet,bird,5
an oriole has a bill.,oriole,bird,5
a mockingbird has a bill.,mockingbird,bird,5
a redbird has a bill.,redbird,bird,5
a wren has a bill.,wren,bird,5
a finch has a bill.,finch,bird,5
a starling has a bill.,starling,bird,5
a cardinal has a bill.,cardinal,bird,5
an eagle has a bill.,eagle,bird,5
a hummingbird has a bill.,hummingbird,bird,5
a seagull has a bill.,seagull,bird,5
a woodpecker has a bill.,woodpecker,bird,5
a pigeon has a bill.,pigeon,bird,5
a thrush has a bill.,thrush,bird,5
a falcon has a bill.,falcon,bird,5
a crow has a bill.,crow,bird,5
a hawk has a bill.,hawk,bird,5
a raven has a bill.,raven,bird,5
a goldfinch has a bill.,goldfinch,bird,5
a parrot has a bill.,parrot,bird,5
a sandpiper has a bill.,sandpiper,bird,5
a pheasant has a bill.,pheasant,bird,5
a catbird has a bill.,catbird,bird,5
a crane has a bill.,crane,bird,5
an albatross has a bill.,albatross,bird,5
a condor has a bill.,condor,bird,5
a toucan has a bill.,toucan,bird,5
an owl has a bill.,owl,bird,5
a pelican has a bill.,pelican,bird,5
geese have a bill.,geese,bird,5
a vulture has a bill.,vulture,bird,5
a stork has a bill.,stork,bird,5
a buzzard has a bill.,buzzard,bird,5
a swan has a bill.,swan,bird,5
a flamingo has a bill.,flamingo,bird,5
a duck has a bill.,duck,bird,5
a peacock has a bill.,peacock,bird,5
an egret has a bill.,egret,bird,5
a chicken has a bill.,chicken,bird,5
a turkey has a bill.,turkey,bird,5
an ostrich has a bill.,ostrich,bird,5
a titmouse has a bill.,titmouse,bird,5
an emu has a bill.,emu,bird,5
a penguin has a bill.,penguin,bird,5
a bat has a bill.,bat,bird,5
a robin has wings.,robin,bird,6
a sparrow has wings.,sparrow,bird,6
a bluejay has wings.,bluejay,bird,6
a bluebird has wings.,bluebird,bird,6
a canary has wings.,canary,bird,6
a blackbird has wings.,blackbird,bird,6
a dove has wings.,dove,bird,6
a lark has wings.,lark,bird,6
a swallow has wings.,swallow,bird,6
a parakeet has wings.,parakeet,bird,6
an oriole has wings.,oriole,bird,6
a mockingbird has wings.,mockingbird,bird,6
a redbird has wings.,redbird,bird,6
a wren has wings.,wren,bird,6
a finch has wings.,finch,bird,6
a starling has wings.,starling,bird,6
a cardinal has wings.,cardinal,bird,6
an eagle has wings.,eagle,bird,6
a hummingbird has wings.,hummingbird,bird,6
a seagull has wings.,seagull,bird,6
a woodpecker has wings.,woodpecker,bird,6
a pigeon has wings.,pigeon,bird,6
a thrush has wings.,thrush,bird,6
a falcon has wings.,falcon,bird,6
a crow has wings.,crow,bird,6
a hawk has wings.,hawk,bird,6
a raven has wings.,raven,bird,6
a goldfinch has wings.,goldfinch,bird,6
a parrot has wings.,parrot,bird,6
a sandpiper has wings.,sandpiper,bird,6
a pheasant has wings.,pheasant,bird,6
a catbird has wings.,catbird,bird,6
a crane has wings.,crane,bird,6
an albatross has wings.,albatross,bird,6
a condor has wings.,condor,bird,6
a toucan has wings.,toucan,bird,6
an owl has wings.,owl,bird,6
a pelican has wings.,pelican,bird,6
geese have wings.,geese,bird,6
a vulture has wings.,vulture,bird,6
a stork has wings.,stork,bird,6
a buzzard has wings.,buzzard,bird,6
a swan has wings.,swan,bird,6
a flamingo has wings.,flamingo,bird,6
a duck has wings.,duck,bird,6
a peacock has wings.,peacock,bird,6
an egret has wings.,egret,bird,6
a chicken has wings.,chicken,bird,6
a turkey has wings.,turkey,bird,6
an ostrich has wings.,ostrich,bird,6
a titmouse has wings.,titmouse,bird,6
an emu has wings.,emu,bird,6
a penguin has wings.,penguin,bird,6
a bat has wings.,bat,bird,6
a robin has legs and feet.,robin,bird,7
a sparrow has legs and feet.,sparrow,bird,7
a bluejay has legs and feet.,bluejay,bird,7
a bluebird has legs and feet.,bluebird,bird,7
a canary has legs and feet.,canary,bird,7
a blackbird has legs and feet.,blackbird,bird,7
a dove has legs and feet.,dove,bird,7
a lark has legs and feet.,lark,bird,7
a swallow has legs and feet.,swallow,bird,7
a parakeet has legs and feet.,parakeet,bird,7
an oriole has legs and feet.,oriole,bird,7
a mockingbird has legs and feet.,mockingbird,bird,7
a redbird has legs and feet.,redbird,bird,7
a wren has legs and feet.,wren,bird,7
a finch has legs and feet.,finch,bird,7
a starling has legs and feet.,starling,bird,7
a cardinal has legs and feet.,cardinal,bird,7
an eagle has legs and feet.,eagle,bird,7
a hummingbird has legs and feet.,hummingbird,bird,7
a seagull has legs and feet.,seagull,bird,7
a woodpecker has legs and feet.,woodpecker,bird,7
a pigeon has legs and feet.,pigeon,bird,7
a thrush has legs and feet.,thrush,bird,7
a falcon has legs and feet.,falcon,bird,7
a crow has legs and feet.,crow,bird,7
a hawk has legs and feet.,hawk,bird,7
a raven has legs and feet.,raven,bird,7
a goldfinch has legs and feet.,goldfinch,bird,7
a parrot has legs and feet.,parrot,bird,7
a sandpiper has legs and feet.,sandpiper,bird,7
a pheasant has legs and feet.,pheasant,bird,7
a catbird has legs and feet.,catbird,bird,7
a crane has legs and feet.,crane,bird,7
an albatross has legs and feet.,albatross,bird,7
a condor has legs and feet.,condor,bird,7
a toucan has legs and feet.,toucan,bird,7
an owl has legs and feet.,owl,bird,7
a pelican has legs and feet.,pelican,bird,7
geese have legs and feet.,geese,bird,7
a vulture has legs and feet.,vulture,bird,7
a stork has legs and feet.,stork,bird,7
a buzzard has legs and feet.,buzzard,bird,7
a swan has legs and feet.,swan,bird,7
a flamingo has legs and feet.,flamingo,bird,7
a duck has legs and feet.,duck,bird,7
a peacock has legs and feet.,peacock,bird,7
an egret has legs and feet.,egret,bird,7
a chicken has legs and feet.,chicken,bird,7
a turkey has legs and feet.,turkey,bird,7
an ostrich has legs and feet.,ostrich,bird,7
a titmouse has legs and feet.,titmouse,bird,7
an emu has legs and feet.,emu,bird,7
a penguin has legs and feet.,penguin,bird,7
a bat has legs and feet.,bat,bird,7
a robin lays eggs.,robin,bird,8
a sparrow lays eggs.,sparrow,bird,8
a bluejay lays eggs.,bluejay,bird,8
a bluebird lays eggs.,bluebird,bird,8
a canary lays eggs.,canary,bird,8
a blackbird lays eggs.,blackbird,bird,8
a dove lays eggs.,dove,bird,8
a lark lays eggs.,lark,bird,8
a swallow lays eggs.,swallow,bird,8
a parakeet lays eggs.,parakeet,bird,8
an oriole lays eggs.,oriole,bird,8
a mockingbird lays eggs.,mockingbird,bird,8
a redbird lays eggs.,redbird,bird,8
a wren lays eggs.,wren,bird,8
a finch lays eggs.,finch,bird,8
a starling lays eggs.,starling,bird,8
a cardinal lays eggs.,cardinal,bird,8
an eagle lays eggs.,eagle,bird,8
a hummingbird lays eggs.,hummingbird,bird,8
a seagull lays eggs.,seagull,bird,8
a woodpecker lays eggs.,woodpecker,bird,8
a pigeon lays eggs.,pigeon,bird,8
a thrush lays eggs.,thrush,bird,8
a falcon lays eggs.,falcon,bird,8
a crow lays eggs.,crow,bird,8
a hawk lays eggs.,hawk,bird,8
a raven lays eggs.,raven,bird,8
a goldfinch lays eggs.,goldfinch,bird,8
a parrot lays eggs.,parrot,bird,8
a sandpiper lays eggs.,sandpiper,bird,8
a pheasant lays eggs.,pheasant,bird,8
a catbird lays eggs.,catbird,bird,8
a crane lays eggs.,crane,bird,8
an albatross lays eggs.,albatross,bird,8
a condor lays eggs.,condor,bird,8
a toucan lays eggs.,toucan,bird,8
an owl lays eggs.,owl,bird,8
a pelican lays eggs.,pelican,bird,8
geese lay eggs.,geese,bird,8
