idx,logprob,params
0,-2.6942358016967773,1557611200
1,-4.023910999298096,1557611200
2,-4.392927646636963,1557611200
3,-4.417496681213379,1557611200
4,-3.662841320037842,1557611200
5,-4.975371360778809,1557611200
6,-3.107830047607422,1557611200
7,-3.6829633712768555,1557611200
8,-4.570867538452148,1557611200
9,-2.6049461364746094,1557611200
10,-4.370560646057129,1557611200
11,-4.763600826263428,1557611200
12,-4.750324249267578,1557611200
13,-4.6164021492004395,1557611200
14,-3.6931257247924805,1557611200
15,-4.346153259277344,1557611200
16,-4.565222263336182,1557611200
17,-3.9214799404144287,1557611200
18,-6.162765026092529,1557611200
19,-3.7761404514312744,1557611200
20,-4.083970069885254,1557611200
21,-4.172336578369141,1557611200
22,-4.701923370361328,1557611200
23,-4.999467849731445,1557611200
24,-3.495637893676758,1557611200
25,-7.103569984436035,1557611200
26,-5.390778541564941,1557611200
27,-5.16184139251709,1557611200
28,-3.905965805053711,1557611200
29,-3.709995746612549,1557611200
30,-4.3997955322265625,1557611200
31,-3.9412293434143066,1557611200
32,-4.102790832519531,1557611200
33,-3.1753950119018555,1557611200
34,-3.5666019916534424,1557611200
35,-3.9703140258789062,1557611200
36,-4.573533058166504,1557611200
37,-4.791097640991211,1557611200
38,-4.498471260070801,1557611200
39,-5.074453353881836,1557611200
40,-3.785416603088379,1557611200
41,-4.338113307952881,1557611200
42,-5.216198921203613,1557611200
43,-4.1484527587890625,1557611200
44,-5.056911945343018,1557611200
45,-5.972654342651367,1557611200
46,-4.800411224365234,1557611200
47,-5.56136417388916,1557611200
48,-4.526403427124023,1557611200
49,-3.924691677093506,1557611200
50,-5.410064697265625,1557611200
51,-3.361880302429199,1557611200
52,-5.137705326080322,1557611200
53,-4.900974273681641,1557611200
54,-4.444972991943359,1557611200
55,-5.248441219329834,1557611200
56,-4.014802932739258,1557611200
57,-5.077190399169922,1557611200
58,-6.032872676849365,1557611200
59,-4.544116020202637,1557611200
60,-4.84804105758667,1557611200
61,-6.153628349304199,1557611200
62,-2.8546175956726074,1557611200
63,-4.156075954437256,1557611200
64,-5.793605327606201,1557611200
65,-3.7580275535583496,1557611200
66,-5.540339469909668,1557611200
67,-4.615652084350586,1557611200
68,-3.3830394744873047,1557611200
69,-3.3577966690063477,1557611200
70,-3.4365715980529785,1557611200
71,-2.7580723762512207,1557611200
72,-5.108705997467041,1557611200
73,-5.046414375305176,1557611200
74,-3.3444268703460693,1557611200
75,-5.455108642578125,1557611200
76,-5.316031455993652,1557611200
77,-3.7354683876037598,1557611200
78,-5.504891395568848,1557611200
79,-4.095189094543457,1557611200
80,-4.237550258636475,1557611200
81,-4.903155326843262,1557611200
82,-2.825852870941162,1557611200
83,-2.5411009788513184,1557611200
84,-4.97402811050415,1557611200
85,-6.363998889923096,1557611200
86,-3.045166015625,1557611200
87,-4.395449638366699,1557611200
88,-6.730071544647217,1557611200
89,-3.551792860031128,1557611200
90,-3.202167510986328,1557611200
91,-3.6793429851531982,1557611200
92,-3.617748975753784,1557611200
93,-3.44921612739563,1557611200
94,-6.303519248962402,1557611200
