stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-64.06488418579102,-12.812976837158203,110104890,bert-base-uncased
a sparrow is alive.,sparrow,bird,1,-68.0141716003418,-13.602834320068359,110104890,bert-base-uncased
a bluejay is alive.,bluejay,bird,1,-95.91946458816528,-13.702780655452184,110104890,bert-base-uncased
a bluebird is alive.,bluebird,bird,1,-84.37064743041992,-14.061774571736654,110104890,bert-base-uncased
a canary is alive.,canary,bird,1,-62.55723476409912,-12.511446952819824,110104890,bert-base-uncased
a blackbird is alive.,blackbird,bird,1,-85.92336797714233,-14.320561329523722,110104890,bert-base-uncased
a dove is alive.,dove,bird,1,-72.2099986076355,-14.4419997215271,110104890,bert-base-uncased
a lark is alive.,lark,bird,1,-73.14871740341187,-14.629743480682373,110104890,bert-base-uncased
a swallow is alive.,swallow,bird,1,-75.22155523300171,-15.044311046600342,110104890,bert-base-uncased
a parakeet is alive.,parakeet,bird,1,-95.20071315765381,-13.60010187966483,110104890,bert-base-uncased
an oriole is alive.,oriole,bird,1,-92.00501155853271,-13.143573079790388,110104890,bert-base-uncased
a mockingbird is alive.,mockingbird,bird,1,-84.64043188095093,-14.106738646825155,110104890,bert-base-uncased
a redbird is alive.,redbird,bird,1,-84.64629554748535,-14.107715924580893,110104890,bert-base-uncased
a wren is alive.,wren,bird,1,-73.58064842224121,-14.716129684448243,110104890,bert-base-uncased
a finch is alive.,finch,bird,1,-69.17463779449463,-13.834927558898926,110104890,bert-base-uncased
a starling is alive.,starling,bird,1,-86.10088014602661,-14.350146691004435,110104890,bert-base-uncased
a cardinal is alive.,cardinal,bird,1,-72.7112135887146,-14.54224271774292,110104890,bert-base-uncased
an eagle is alive.,eagle,bird,1,-67.33545780181885,-13.46709156036377,110104890,bert-base-uncased
a hummingbird is alive.,hummingbird,bird,1,-85.48367309570312,-14.247278849283854,110104890,bert-base-uncased
a seagull is alive.,seagull,bird,1,-90.05112028121948,-12.864445754459926,110104890,bert-base-uncased
a woodpecker is alive.,woodpecker,bird,1,-98.88697242736816,-14.126710346766881,110104890,bert-base-uncased
a pigeon is alive.,pigeon,bird,1,-61.68708038330078,-12.337416076660157,110104890,bert-base-uncased
a thrush is alive.,thrush,bird,1,-74.54558944702148,-12.424264907836914,110104890,bert-base-uncased
a falcon is alive.,falcon,bird,1,-68.64943218231201,-13.729886436462403,110104890,bert-base-uncased
a crow is alive.,crow,bird,1,-72.98631572723389,-14.597263145446778,110104890,bert-base-uncased
a hawk is alive.,hawk,bird,1,-67.61496067047119,-13.522992134094238,110104890,bert-base-uncased
a raven is alive.,raven,bird,1,-70.4852499961853,-14.097049999237061,110104890,bert-base-uncased
a goldfinch is alive.,goldfinch,bird,1,-100.0718183517456,-14.295974050249372,110104890,bert-base-uncased
a parrot is alive.,parrot,bird,1,-63.00931692123413,-12.601863384246826,110104890,bert-base-uncased
a sandpiper is alive.,sandpiper,bird,1,-105.90683603286743,-15.129548004695348,110104890,bert-base-uncased
a pheasant is alive.,pheasant,bird,1,-104.732421875,-14.961774553571429,110104890,bert-base-uncased
a catbird is alive.,catbird,bird,1,-82.92752838134766,-13.82125473022461,110104890,bert-base-uncased
a crane is alive.,crane,bird,1,-71.96856880187988,-14.393713760375977,110104890,bert-base-uncased
an albatross is alive.,albatross,bird,1,-91.54866647720337,-13.078380925314766,110104890,bert-base-uncased
a condor is alive.,condor,bird,1,-61.65374946594238,-12.330749893188477,110104890,bert-base-uncased
a toucan is alive.,toucan,bird,1,-86.51684951782227,-12.359549931117467,110104890,bert-base-uncased
an owl is alive.,owl,bird,1,-64.12294006347656,-12.824588012695312,110104890,bert-base-uncased
a pelican is alive.,pelican,bird,1,-94.23944091796875,-13.462777273995536,110104890,bert-base-uncased
a goose is alive.,geese,bird,1,-73.07724523544312,-14.615449047088623,110104890,bert-base-uncased
a vulture is alive.,vulture,bird,1,-64.15008640289307,-12.830017280578613,110104890,bert-base-uncased
a stork is alive.,stork,bird,1,-94.83972358703613,-13.548531941005162,110104890,bert-base-uncased
a buzzard is alive.,buzzard,bird,1,-79.5194296836853,-13.253238280614218,110104890,bert-base-uncased
a swan is alive.,swan,bird,1,-77.24077129364014,-15.448154258728028,110104890,bert-base-uncased
a flamingo is alive.,flamingo,bird,1,-68.77816867828369,-11.463028113047281,110104890,bert-base-uncased
a duck is alive.,duck,bird,1,-69.09864902496338,-13.819729804992676,110104890,bert-base-uncased
a peacock is alive.,peacock,bird,1,-67.26648759841919,-13.453297519683838,110104890,bert-base-uncased
an egret is alive.,egret,bird,1,-96.14907741546631,-13.73558248792376,110104890,bert-base-uncased
a chicken is alive.,chicken,bird,1,-72.46465635299683,-14.492931270599366,110104890,bert-base-uncased
a turkey is alive.,turkey,bird,1,-67.58161687850952,-13.516323375701905,110104890,bert-base-uncased
an ostrich is alive.,ostrich,bird,1,-95.96335744857788,-13.709051064082555,110104890,bert-base-uncased
a titmouse is alive.,titmouse,bird,1,-109.73363208770752,-15.676233155386788,110104890,bert-base-uncased
an emu is alive.,emu,bird,1,-78.29005575180054,-13.048342625300089,110104890,bert-base-uncased
a penguin is alive.,penguin,bird,1,-64.66564750671387,-12.933129501342773,110104890,bert-base-uncased
a bat is alive.,bat,bird,1,-68.32170248031616,-13.664340496063232,110104890,bert-base-uncased
a robin flies.,robin,bird,2,-42.06234884262085,-10.515587210655212,110104890,bert-base-uncased
a sparrow flies.,sparrow,bird,2,-39.034438133239746,-9.758609533309937,110104890,bert-base-uncased
a bluejay flies.,bluejay,bird,2,-81.35841846466064,-13.559736410776773,110104890,bert-base-uncased
a bluebird flies.,bluebird,bird,2,-56.48725652694702,-11.297451305389405,110104890,bert-base-uncased
a canary flies.,canary,bird,2,-49.43509292602539,-12.358773231506348,110104890,bert-base-uncased
a blackbird flies.,blackbird,bird,2,-57.25369644165039,-11.450739288330078,110104890,bert-base-uncased
a dove flies.,dove,bird,2,-44.03795909881592,-11.00948977470398,110104890,bert-base-uncased
a lark flies.,lark,bird,2,-42.693458557128906,-10.673364639282227,110104890,bert-base-uncased
a swallow flies.,swallow,bird,2,-51.887285232543945,-12.971821308135986,110104890,bert-base-uncased
