stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-63.363125801086426,-12.672625160217285,66985530,distilbert-base-uncased
a sparrow is alive.,sparrow,bird,1,-66.82051706314087,-13.364103412628173,66985530,distilbert-base-uncased
a bluejay is alive.,bluejay,bird,1,-100.36032390594482,-14.33718912942069,66985530,distilbert-base-uncased
a bluebird is alive.,bluebird,bird,1,-82.25912952423096,-13.70985492070516,66985530,distilbert-base-uncased
a canary is alive.,canary,bird,1,-65.59956550598145,-13.119913101196289,66985530,distilbert-base-uncased
a blackbird is alive.,blackbird,bird,1,-78.99479484558105,-13.165799140930176,66985530,distilbert-base-uncased
a dove is alive.,dove,bird,1,-68.46447038650513,-13.692894077301025,66985530,distilbert-base-uncased
a lark is alive.,lark,bird,1,-69.64847183227539,-13.929694366455077,66985530,distilbert-base-uncased
a swallow is alive.,swallow,bird,1,-67.59557056427002,-13.519114112854004,66985530,distilbert-base-uncased
a parakeet is alive.,parakeet,bird,1,-97.17528963088989,-13.88218423298427,66985530,distilbert-base-uncased
an oriole is alive.,oriole,bird,1,-94.91885805130005,-13.559836864471436,66985530,distilbert-base-uncased
a mockingbird is alive.,mockingbird,bird,1,-80.37844371795654,-13.39640728632609,66985530,distilbert-base-uncased
a redbird is alive.,redbird,bird,1,-80.28450202941895,-13.38075033823649,66985530,distilbert-base-uncased
a wren is alive.,wren,bird,1,-69.16178226470947,-13.832356452941895,66985530,distilbert-base-uncased
a finch is alive.,finch,bird,1,-64.60164403915405,-12.92032880783081,66985530,distilbert-base-uncased
a starling is alive.,starling,bird,1,-82.59199953079224,-13.76533325513204,66985530,distilbert-base-uncased
a cardinal is alive.,cardinal,bird,1,-69.01389455795288,-13.802778911590575,66985530,distilbert-base-uncased
an eagle is alive.,eagle,bird,1,-64.74888849258423,-12.949777698516845,66985530,distilbert-base-uncased
a hummingbird is alive.,hummingbird,bird,1,-77.84628200531006,-12.974380334218344,66985530,distilbert-base-uncased
a seagull is alive.,seagull,bird,1,-91.22634887695312,-13.032335553850446,66985530,distilbert-base-uncased
a woodpecker is alive.,woodpecker,bird,1,-97.36773204803467,-13.909676006862096,66985530,distilbert-base-uncased
a pigeon is alive.,pigeon,bird,1,-66.53896379470825,-13.30779275894165,66985530,distilbert-base-uncased
a thrush is alive.,thrush,bird,1,-77.07393503189087,-12.845655838648478,66985530,distilbert-base-uncased
a falcon is alive.,falcon,bird,1,-66.32379150390625,-13.26475830078125,66985530,distilbert-base-uncased
a crow is alive.,crow,bird,1,-68.77962112426758,-13.755924224853516,66985530,distilbert-base-uncased
a hawk is alive.,hawk,bird,1,-67.26289319992065,-13.45257863998413,66985530,distilbert-base-uncased
a raven is alive.,raven,bird,1,-68.3911919593811,-13.67823839187622,66985530,distilbert-base-uncased
a goldfinch is alive.,goldfinch,bird,1,-100.28095960617065,-14.325851372310094,66985530,distilbert-base-uncased
a parrot is alive.,parrot,bird,1,-65.03161239624023,-13.006322479248047,66985530,distilbert-base-uncased
a sandpiper is alive.,sandpiper,bird,1,-104.10613012313843,-14.872304303305489,66985530,distilbert-base-uncased
a pheasant is alive.,pheasant,bird,1,-106.96119117736816,-15.280170168195452,66985530,distilbert-base-uncased
a catbird is alive.,catbird,bird,1,-80.80556869506836,-13.467594782511393,66985530,distilbert-base-uncased
a crane is alive.,crane,bird,1,-71.18007469177246,-14.236014938354492,66985530,distilbert-base-uncased
an albatross is alive.,albatross,bird,1,-97.67051029205322,-13.952930041721888,66985530,distilbert-base-uncased
a condor is alive.,condor,bird,1,-65.8180685043335,-13.1636137008667,66985530,distilbert-base-uncased
a toucan is alive.,toucan,bird,1,-91.97962665557861,-13.13994666508266,66985530,distilbert-base-uncased
an owl is alive.,owl,bird,1,-64.21324062347412,-12.842648124694824,66985530,distilbert-base-uncased
a pelican is alive.,pelican,bird,1,-101.61047649383545,-14.515782356262207,66985530,distilbert-base-uncased
a goose is alive.,geese,bird,1,-67.23937177658081,-13.447874355316163,66985530,distilbert-base-uncased
a vulture is alive.,vulture,bird,1,-67.15880966186523,-13.431761932373046,66985530,distilbert-base-uncased
a stork is alive.,stork,bird,1,-93.30221748352051,-13.3288882119315,66985530,distilbert-base-uncased
a buzzard is alive.,buzzard,bird,1,-81.7573299407959,-13.626221656799316,66985530,distilbert-base-uncased
a swan is alive.,swan,bird,1,-69.31053829193115,-13.86210765838623,66985530,distilbert-base-uncased
a flamingo is alive.,flamingo,bird,1,-77.1645097732544,-12.860751628875732,66985530,distilbert-base-uncased
a duck is alive.,duck,bird,1,-67.7587022781372,-13.551740455627442,66985530,distilbert-base-uncased
a peacock is alive.,peacock,bird,1,-66.90656280517578,-13.381312561035156,66985530,distilbert-base-uncased
an egret is alive.,egret,bird,1,-94.4565896987915,-13.493798528398786,66985530,distilbert-base-uncased
a chicken is alive.,chicken,bird,1,-67.2817177772522,-13.45634355545044,66985530,distilbert-base-uncased
a turkey is alive.,turkey,bird,1,-65.6602053642273,-13.132041072845459,66985530,distilbert-base-uncased
an ostrich is alive.,ostrich,bird,1,-89.29768943786621,-12.75681277683803,66985530,distilbert-base-uncased
a titmouse is alive.,titmouse,bird,1,-106.96502494812012,-15.280717849731445,66985530,distilbert-base-uncased
an emu is alive.,emu,bird,1,-81.17702913284302,-13.529504855473837,66985530,distilbert-base-uncased
a penguin is alive.,penguin,bird,1,-66.74915981292725,-13.34983196258545,66985530,distilbert-base-uncased
a bat is alive.,bat,bird,1,-67.54565191268921,-13.509130382537842,66985530,distilbert-base-uncased
a robin flies.,robin,bird,2,-39.05938959121704,-9.76484739780426,66985530,distilbert-base-uncased
a sparrow flies.,sparrow,bird,2,-41.52043628692627,-10.380109071731567,66985530,distilbert-base-uncased
a bluejay flies.,bluejay,bird,2,-84.50346946716309,-14.083911577860514,66985530,distilbert-base-uncased
a bluebird flies.,bluebird,bird,2,-61.149985790252686,-12.229997158050537,66985530,distilbert-base-uncased
a canary flies.,canary,bird,2,-44.06136417388916,-11.01534104347229,66985530,distilbert-base-uncased
a blackbird flies.,blackbird,bird,2,-56.36706256866455,-11.27341251373291,66985530,distilbert-base-uncased
a dove flies.,dove,bird,2,-46.335819721221924,-11.583954930305481,66985530,distilbert-base-uncased
a lark flies.,lark,bird,2,-42.043582916259766,-10.510895729064941,66985530,distilbert-base-uncased
a swallow flies.,swallow,bird,2,-42.76335430145264,-10.69083857536316,66985530,distilbert-base-uncased
a parakeet flies.,parakeet,bird,2,-82.13664150238037,-13.689440250396729,66985530,distilbert-base-uncased
an oriole flies.,oriole,bird,2,-76.66770553588867,-12.777950922648111,66985530,distilbert-base-uncased
a mockingbird flies.,mockingbird,bird,2,-59.79789447784424,-11.959578895568848,66985530,distilbert-base-uncased
a redbird flies.,redbird,bird,2,-59.45156764984131,-11.890313529968262,66985530,distilbert-base-uncased
a wren flies.,wren,bird,2,-47.241825103759766,-11.810456275939941,66985530,distilbert-base-uncased
a finch flies.,finch,bird,2,-40.080881118774414,-10.020220279693604,66985530,distilbert-base-uncased
a starling flies.,starling,bird,2,-69.45616436004639,-13.891232872009278,66985530,distilbert-base-uncased
a cardinal flies.,cardinal,bird,2,-54.76482057571411,-13.691205143928528,66985530,distilbert-base-uncased
