stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-69.08508777618408,-13.817017555236816,223150256,albert-xxlarge-v1
a sparrow is alive.,sparrow,bird,1,-68.49942016601562,-13.699884033203125,223150256,albert-xxlarge-v1
a bluejay is alive.,bluejay,bird,1,-79.91974639892578,-13.319957733154297,223150256,albert-xxlarge-v1
a bluebird is alive.,bluebird,bird,1,-84.76017570495605,-14.12669595082601,223150256,albert-xxlarge-v1
a canary is alive.,canary,bird,1,-70.08292198181152,-14.016584396362305,223150256,albert-xxlarge-v1
a blackbird is alive.,blackbird,bird,1,-83.37820243835449,-13.896367073059082,223150256,albert-xxlarge-v1
a dove is alive.,dove,bird,1,-78.16588497161865,-15.63317699432373,223150256,albert-xxlarge-v1
a lark is alive.,lark,bird,1,-73.3964490890503,-14.679289817810059,223150256,albert-xxlarge-v1
a swallow is alive.,swallow,bird,1,-72.11869812011719,-14.423739624023437,223150256,albert-xxlarge-v1
a parakeet is alive.,parakeet,bird,1,-97.73897743225098,-13.96271106175014,223150256,albert-xxlarge-v1
an oriole is alive.,oriole,bird,1,-91.3855504989624,-13.055078642708915,223150256,albert-xxlarge-v1
a mockingbird is alive.,mockingbird,bird,1,-87.7915210723877,-14.631920178731283,223150256,albert-xxlarge-v1
a redbird is alive.,redbird,bird,1,-84.68781185150146,-14.114635308583578,223150256,albert-xxlarge-v1
a wren is alive.,wren,bird,1,-70.32231616973877,-14.064463233947754,223150256,albert-xxlarge-v1
a finch is alive.,finch,bird,1,-70.48847961425781,-14.097695922851562,223150256,albert-xxlarge-v1
a starling is alive.,starling,bird,1,-82.97876071929932,-13.829793453216553,223150256,albert-xxlarge-v1
a cardinal is alive.,cardinal,bird,1,-71.21262264251709,-14.242524528503418,223150256,albert-xxlarge-v1
an eagle is alive.,eagle,bird,1,-69.88319396972656,-13.976638793945312,223150256,albert-xxlarge-v1
a hummingbird is alive.,hummingbird,bird,1,-92.8116979598999,-15.468616326649984,223150256,albert-xxlarge-v1
a seagull is alive.,seagull,bird,1,-72.93756008148193,-14.587512016296387,223150256,albert-xxlarge-v1
a woodpecker is alive.,woodpecker,bird,1,-69.95923709869385,-13.99184741973877,223150256,albert-xxlarge-v1
a pigeon is alive.,pigeon,bird,1,-73.07606792449951,-14.615213584899902,223150256,albert-xxlarge-v1
a thrush is alive.,thrush,bird,1,-98.03754329681396,-14.00536332811628,223150256,albert-xxlarge-v1
a falcon is alive.,falcon,bird,1,-67.87076950073242,-13.574153900146484,223150256,albert-xxlarge-v1
a crow is alive.,crow,bird,1,-77.67226123809814,-15.53445224761963,223150256,albert-xxlarge-v1
a hawk is alive.,hawk,bird,1,-68.37946224212646,-13.675892448425293,223150256,albert-xxlarge-v1
a raven is alive.,raven,bird,1,-71.75763607025146,-14.351527214050293,223150256,albert-xxlarge-v1
a goldfinch is alive.,goldfinch,bird,1,-96.9111852645874,-13.8444550377982,223150256,albert-xxlarge-v1
a parrot is alive.,parrot,bird,1,-73.16585350036621,-14.633170700073242,223150256,albert-xxlarge-v1
a sandpiper is alive.,sandpiper,bird,1,-106.99437713623047,-15.284911019461495,223150256,albert-xxlarge-v1
a pheasant is alive.,pheasant,bird,1,-121.81094646453857,-15.226368308067322,223150256,albert-xxlarge-v1
a catbird is alive.,catbird,bird,1,-80.06047344207764,-13.343412240346273,223150256,albert-xxlarge-v1
a crane is alive.,crane,bird,1,-73.46790027618408,-14.693580055236817,223150256,albert-xxlarge-v1
an albatross is alive.,albatross,bird,1,-90.44089317321777,-15.073482195536295,223150256,albert-xxlarge-v1
a condor is alive.,condor,bird,1,-68.95129489898682,-13.790258979797363,223150256,albert-xxlarge-v1
a toucan is alive.,toucan,bird,1,-85.59835863113403,-12.228336947304863,223150256,albert-xxlarge-v1
an owl is alive.,owl,bird,1,-70.01253890991211,-14.002507781982422,223150256,albert-xxlarge-v1
a pelican is alive.,pelican,bird,1,-67.93009948730469,-13.586019897460938,223150256,albert-xxlarge-v1
