stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-79.61270713806152,-15.922541427612305,17845424,albert-large-v1
a sparrow is alive.,sparrow,bird,1,-86.78537559509277,-17.357075119018553,17845424,albert-large-v1
a bluejay is alive.,bluejay,bird,1,-91.84876775741577,-15.308127959569296,17845424,albert-large-v1
a bluebird is alive.,bluebird,bird,1,-104.45938014984131,-17.409896691640217,17845424,albert-large-v1
a canary is alive.,canary,bird,1,-90.18613719940186,-18.037227439880372,17845424,albert-large-v1
a blackbird is alive.,blackbird,bird,1,-104.6595287322998,-17.443254788716633,17845424,albert-large-v1
a dove is alive.,dove,bird,1,-85.83915519714355,-17.167831039428712,17845424,albert-large-v1
a lark is alive.,lark,bird,1,-86.40219211578369,-17.28043842315674,17845424,albert-large-v1
a swallow is alive.,swallow,bird,1,-79.23994827270508,-15.847989654541015,17845424,albert-large-v1
a parakeet is alive.,parakeet,bird,1,-106.09949111938477,-15.15707015991211,17845424,albert-large-v1
an oriole is alive.,oriole,bird,1,-92.4455451965332,-13.2065064566476,17845424,albert-large-v1
a mockingbird is alive.,mockingbird,bird,1,-94.02794170379639,-15.671323617299398,17845424,albert-large-v1
a redbird is alive.,redbird,bird,1,-106.59428215026855,-17.765713691711426,17845424,albert-large-v1
a wren is alive.,wren,bird,1,-85.95779228210449,-17.1915584564209,17845424,albert-large-v1
a finch is alive.,finch,bird,1,-83.5367488861084,-16.70734977722168,17845424,albert-large-v1
a starling is alive.,starling,bird,1,-87.58284616470337,-14.597141027450562,17845424,albert-large-v1
a cardinal is alive.,cardinal,bird,1,-85.55722904205322,-17.111445808410643,17845424,albert-large-v1
an eagle is alive.,eagle,bird,1,-80.98117351531982,-16.196234703063965,17845424,albert-large-v1
a hummingbird is alive.,hummingbird,bird,1,-103.14670181274414,-17.19111696879069,17845424,albert-large-v1
a seagull is alive.,seagull,bird,1,-82.0397424697876,-16.40794849395752,17845424,albert-large-v1
a woodpecker is alive.,woodpecker,bird,1,-85.80377197265625,-17.16075439453125,17845424,albert-large-v1
a pigeon is alive.,pigeon,bird,1,-80.02031993865967,-16.004063987731932,17845424,albert-large-v1
a thrush is alive.,thrush,bird,1,-101.56062936782837,-14.508661338261195,17845424,albert-large-v1
a falcon is alive.,falcon,bird,1,-83.90719413757324,-16.78143882751465,17845424,albert-large-v1
a crow is alive.,crow,bird,1,-84.71943283081055,-16.94388656616211,17845424,albert-large-v1
a hawk is alive.,hawk,bird,1,-89.31256771087646,-17.862513542175293,17845424,albert-large-v1
a raven is alive.,raven,bird,1,-84.53537940979004,-16.907075881958008,17845424,albert-large-v1
a goldfinch is alive.,goldfinch,bird,1,-99.80188274383545,-14.25741182054792,17845424,albert-large-v1
a parrot is alive.,parrot,bird,1,-85.06019401550293,-17.012038803100587,17845424,albert-large-v1
a sandpiper is alive.,sandpiper,bird,1,-105.88548278808594,-15.126497541155134,17845424,albert-large-v1
a pheasant is alive.,pheasant,bird,1,-114.19772529602051,-14.274715662002563,17845424,albert-large-v1
a catbird is alive.,catbird,bird,1,-97.62797832489014,-16.27132972081502,17845424,albert-large-v1
a crane is alive.,crane,bird,1,-80.2280855178833,-16.04561710357666,17845424,albert-large-v1
an albatross is alive.,albatross,bird,1,-91.44944190979004,-15.241573651631674,17845424,albert-large-v1
a condor is alive.,condor,bird,1,-86.08554363250732,-17.217108726501465,17845424,albert-large-v1
a toucan is alive.,toucan,bird,1,-102.03022480010986,-14.575746400015694,17845424,albert-large-v1
an owl is alive.,owl,bird,1,-84.95226573944092,-16.990453147888182,17845424,albert-large-v1
a pelican is alive.,pelican,bird,1,-83.08935832977295,-16.61787166595459,17845424,albert-large-v1
a goose is alive.,geese,bird,1,-82.75318717956543,-16.550637435913085,17845424,albert-large-v1
a vulture is alive.,vulture,bird,1,-85.3436279296875,-17.0687255859375,17845424,albert-large-v1
a stork is alive.,stork,bird,1,-96.18670654296875,-16.031117757161457,17845424,albert-large-v1
a buzzard is alive.,buzzard,bird,1,-96.3680157661438,-16.061335961023968,17845424,albert-large-v1
a swan is alive.,swan,bird,1,-84.9257640838623,-16.985152816772462,17845424,albert-large-v1
a flamingo is alive.,flamingo,bird,1,-94.59596061706543,-15.765993436177572,17845424,albert-large-v1
a duck is alive.,duck,bird,1,-85.97231197357178,-17.194462394714357,17845424,albert-large-v1
a peacock is alive.,peacock,bird,1,-88.7051887512207,-17.74103775024414,17845424,albert-large-v1
an egret is alive.,egret,bird,1,-102.06767320632935,-14.581096172332764,17845424,albert-large-v1
a chicken is alive.,chicken,bird,1,-82.63133716583252,-16.526267433166502,17845424,albert-large-v1
a turkey is alive.,turkey,bird,1,-73.64716911315918,-14.729433822631837,17845424,albert-large-v1
an ostrich is alive.,ostrich,bird,1,-89.79644632339478,-14.966074387232462,17845424,albert-large-v1
a titmouse is alive.,titmouse,bird,1,-97.22828722000122,-13.889755317143031,17845424,albert-large-v1
an emu is alive.,emu,bird,1,-94.44309329986572,-15.740515549977621,17845424,albert-large-v1
a penguin is alive.,penguin,bird,1,-85.45228099822998,-17.090456199645995,17845424,albert-large-v1
a bat is alive.,bat,bird,1,-78.58207416534424,-15.716414833068848,17845424,albert-large-v1
a robin flies.,robin,bird,2,-56.53354740142822,-14.133386850357056,17845424,albert-large-v1
a sparrow flies.,sparrow,bird,2,-55.14393711090088,-13.78598427772522,17845424,albert-large-v1
a bluejay flies.,bluejay,bird,2,-75.80466938018799,-15.160933876037598,17845424,albert-large-v1
a bluebird flies.,bluebird,bird,2,-81.4694275856018,-16.293885517120362,17845424,albert-large-v1
a canary flies.,canary,bird,2,-60.35066318511963,-15.087665796279907,17845424,albert-large-v1
a blackbird flies.,blackbird,bird,2,-78.00285482406616,-15.600570964813233,17845424,albert-large-v1
a dove flies.,dove,bird,2,-57.059120655059814,-14.264780163764954,17845424,albert-large-v1
a lark flies.,lark,bird,2,-59.885690689086914,-14.971422672271729,17845424,albert-large-v1
a swallow flies.,swallow,bird,2,-53.61595344543457,-13.403988361358643,17845424,albert-large-v1
a parakeet flies.,parakeet,bird,2,-88.61214351654053,-14.768690586090088,17845424,albert-large-v1
an oriole flies.,oriole,bird,2,-73.45416259765625,-12.242360432942709,17845424,albert-large-v1
a mockingbird flies.,mockingbird,bird,2,-71.01454257965088,-14.202908515930176,17845424,albert-large-v1
a redbird flies.,redbird,bird,2,-80.62942695617676,-16.12588539123535,17845424,albert-large-v1
a wren flies.,wren,bird,2,-58.029311656951904,-14.507327914237976,17845424,albert-large-v1
a finch flies.,finch,bird,2,-58.66452884674072,-14.66613221168518,17845424,albert-large-v1
a starling flies.,starling,bird,2,-72.95555305480957,-14.591110610961914,17845424,albert-large-v1
a cardinal flies.,cardinal,bird,2,-64.9599962234497,-16.239999055862427,17845424,albert-large-v1
an eagle flies.,eagle,bird,2,-57.00352096557617,-14.250880241394043,17845424,albert-large-v1
a hummingbird flies.,hummingbird,bird,2,-83.83270168304443,-16.766540336608887,17845424,albert-large-v1
a seagull flies.,seagull,bird,2,-47.94310283660889,-11.985775709152222,17845424,albert-large-v1
a woodpecker flies.,woodpecker,bird,2,-56.164963722229004,-14.041240930557251,17845424,albert-large-v1
a pigeon flies.,pigeon,bird,2,-54.26227951049805,-13.565569877624512,17845424,albert-large-v1
a thrush flies.,thrush,bird,2,-80.49122285842896,-13.41520380973816,17845424,albert-large-v1
a falcon flies.,falcon,bird,2,-61.07103872299194,-15.267759680747986,17845424,albert-large-v1
a crow flies.,crow,bird,2,-58.29508638381958,-14.573771595954895,17845424,albert-large-v1
a hawk flies.,hawk,bird,2,-61.65720176696777,-15.414300441741943,17845424,albert-large-v1
a raven flies.,raven,bird,2,-56.07478380203247,-14.018695950508118,17845424,albert-large-v1
a goldfinch flies.,goldfinch,bird,2,-94.220290184021,-15.703381697336832,17845424,albert-large-v1
a parrot flies.,parrot,bird,2,-57.133681297302246,-14.283420324325562,17845424,albert-large-v1
a sandpiper flies.,sandpiper,bird,2,-85.00696325302124,-14.167827208836874,17845424,albert-large-v1
a pheasant flies.,pheasant,bird,2,-99.32782459259033,-14.189689227512904,17845424,albert-large-v1
a catbird flies.,catbird,bird,2,-76.88550758361816,-15.377101516723632,17845424,albert-large-v1
a crane flies.,crane,bird,2,-54.5130500793457,-13.628262519836426,17845424,albert-large-v1
an albatross flies.,albatross,bird,2,-70.65695285797119,-14.131390571594238,17845424,albert-large-v1
a condor flies.,condor,bird,2,-57.05929231643677,-14.264823079109192,17845424,albert-large-v1
a toucan flies.,toucan,bird,2,-87.83653163909912,-14.639421939849854,17845424,albert-large-v1
an owl flies.,owl,bird,2,-57.8334264755249,-14.458356618881226,17845424,albert-large-v1
a pelican flies.,pelican,bird,2,-57.44255018234253,-14.360637545585632,17845424,albert-large-v1
a goose flies.,geese,bird,2,-52.78695631027222,-13.196739077568054,17845424,albert-large-v1
a vulture flies.,vulture,bird,2,-51.15110111236572,-12.78777527809143,17845424,albert-large-v1
a stork flies.,stork,bird,2,-77.94362592697144,-15.588725185394287,17845424,albert-large-v1
a buzzard flies.,buzzard,bird,2,-77.61595964431763,-15.523191928863525,17845424,albert-large-v1
a swan flies.,swan,bird,2,-56.89522933959961,-14.223807334899902,17845424,albert-large-v1
a flamingo flies.,flamingo,bird,2,-76.24159145355225,-15.248318290710449,17845424,albert-large-v1
a duck flies.,duck,bird,2,-56.67191457748413,-14.167978644371033,17845424,albert-large-v1
a peacock flies.,peacock,bird,2,-56.761550426483154,-14.190387606620789,17845424,albert-large-v1
an egret flies.,egret,bird,2,-85.611083984375,-14.268513997395834,17845424,albert-large-v1
a chicken flies.,chicken,bird,2,-51.85137701034546,-12.962844252586365,17845424,albert-large-v1
a turkey flies.,turkey,bird,2,-49.1040244102478,-12.27600610256195,17845424,albert-large-v1
an ostrich flies.,ostrich,bird,2,-71.08858680725098,-14.217717361450195,17845424,albert-large-v1
a titmouse flies.,titmouse,bird,2,-78.59997940063477,-13.099996566772461,17845424,albert-large-v1
an emu flies.,emu,bird,2,-74.02070617675781,-14.804141235351562,17845424,albert-large-v1
a penguin flies.,penguin,bird,2,-59.3902382850647,-14.847559571266174,17845424,albert-large-v1
a bat flies.,bat,bird,2,-54.4074969291687,-13.601874232292175,17845424,albert-large-v1
a robin has feathers.,robin,bird,3,-67.15354204177856,-13.430708408355713,17845424,albert-large-v1
a sparrow has feathers.,sparrow,bird,3,-69.87337017059326,-13.974674034118653,17845424,albert-large-v1
a bluejay has feathers.,bluejay,bird,3,-92.07526588439941,-15.345877647399902,17845424,albert-large-v1
a bluebird has feathers.,bluebird,bird,3,-93.55883693695068,-15.593139489491781,17845424,albert-large-v1
a canary has feathers.,canary,bird,3,-80.90860509872437,-16.181721019744874,17845424,albert-large-v1
a blackbird has feathers.,blackbird,bird,3,-92.91223812103271,-15.48537302017212,17845424,albert-large-v1
a dove has feathers.,dove,bird,3,-80.58588695526123,-16.117177391052245,17845424,albert-large-v1
a lark has feathers.,lark,bird,3,-73.25443267822266,-14.650886535644531,17845424,albert-large-v1
a swallow has feathers.,swallow,bird,3,-73.84925079345703,-14.769850158691407,17845424,albert-large-v1
a parakeet has feathers.,parakeet,bird,3,-92.17602491378784,-13.168003559112549,17845424,albert-large-v1
an oriole has feathers.,oriole,bird,3,-80.46758794784546,-11.495369706835065,17845424,albert-large-v1
a mockingbird has feathers.,mockingbird,bird,3,-89.97414350509644,-14.99569058418274,17845424,albert-large-v1
a redbird has feathers.,redbird,bird,3,-92.17898416519165,-15.363164027531942,17845424,albert-large-v1
a wren has feathers.,wren,bird,3,-71.70727825164795,-14.34145565032959,17845424,albert-large-v1
a finch has feathers.,finch,bird,3,-68.22874164581299,-13.645748329162597,17845424,albert-large-v1
a starling has feathers.,starling,bird,3,-83.96965742111206,-13.994942903518677,17845424,albert-large-v1
a cardinal has feathers.,cardinal,bird,3,-70.19455003738403,-14.038910007476806,17845424,albert-large-v1
an eagle has feathers.,eagle,bird,3,-69.30374431610107,-13.860748863220214,17845424,albert-large-v1
a hummingbird has feathers.,hummingbird,bird,3,-98.39010858535767,-16.398351430892944,17845424,albert-large-v1
a seagull has feathers.,seagull,bird,3,-82.69569110870361,-16.53913822174072,17845424,albert-large-v1
a woodpecker has feathers.,woodpecker,bird,3,-72.83779430389404,-14.567558860778808,17845424,albert-large-v1
a pigeon has feathers.,pigeon,bird,3,-72.2044677734375,-14.4408935546875,17845424,albert-large-v1
a thrush has feathers.,thrush,bird,3,-96.56987619400024,-13.795696599142891,17845424,albert-large-v1
a falcon has feathers.,falcon,bird,3,-69.7966423034668,-13.95932846069336,17845424,albert-large-v1
a crow has feathers.,crow,bird,3,-77.77382040023804,-15.554764080047608,17845424,albert-large-v1
a hawk has feathers.,hawk,bird,3,-77.37342405319214,-15.474684810638427,17845424,albert-large-v1
a raven has feathers.,raven,bird,3,-78.52172422409058,-15.704344844818115,17845424,albert-large-v1
