stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-154.8618040084839,-30.972360801696777,51295290,google_electra-large-generator
a sparrow is alive.,sparrow,bird,1,-175.0301866531372,-35.00603733062744,51295290,google_electra-large-generator
a bluejay is alive.,bluejay,bird,1,-212.99946308135986,-30.428494725908553,51295290,google_electra-large-generator
a bluebird is alive.,bluebird,bird,1,-201.35988569259644,-33.559980948766075,51295290,google_electra-large-generator
a canary is alive.,canary,bird,1,-174.90384101867676,-34.98076820373535,51295290,google_electra-large-generator
a blackbird is alive.,blackbird,bird,1,-205.23343133926392,-34.20557188987732,51295290,google_electra-large-generator
a dove is alive.,dove,bird,1,-163.40013647079468,-32.68002729415893,51295290,google_electra-large-generator
a lark is alive.,lark,bird,1,-180.88731384277344,-36.17746276855469,51295290,google_electra-large-generator
a swallow is alive.,swallow,bird,1,-149.12819290161133,-29.825638580322266,51295290,google_electra-large-generator
a parakeet is alive.,parakeet,bird,1,-242.87935209274292,-34.697050298963276,51295290,google_electra-large-generator
an oriole is alive.,oriole,bird,1,-221.44696760177612,-31.635281085968018,51295290,google_electra-large-generator
a mockingbird is alive.,mockingbird,bird,1,-196.8141369819641,-32.80235616366068,51295290,google_electra-large-generator
a redbird is alive.,redbird,bird,1,-194.36221408843994,-32.393702348073326,51295290,google_electra-large-generator
a wren is alive.,wren,bird,1,-172.33719730377197,-34.46743946075439,51295290,google_electra-large-generator
a finch is alive.,finch,bird,1,-174.37965488433838,-34.87593097686768,51295290,google_electra-large-generator
a starling is alive.,starling,bird,1,-196.46600246429443,-32.74433374404907,51295290,google_electra-large-generator
a cardinal is alive.,cardinal,bird,1,-177.371817111969,-35.4743634223938,51295290,google_electra-large-generator
an eagle is alive.,eagle,bird,1,-158.9716601371765,-31.794332027435303,51295290,google_electra-large-generator
a hummingbird is alive.,hummingbird,bird,1,-185.10114288330078,-30.85019048055013,51295290,google_electra-large-generator
a seagull is alive.,seagull,bird,1,-219.50850820541382,-31.358358315059117,51295290,google_electra-large-generator
a woodpecker is alive.,woodpecker,bird,1,-221.32700109481812,-31.618143013545446,51295290,google_electra-large-generator
