premise,conclusion,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,params,model
Robins can dax.,All birds can dax.,robin,bird,can,Robins,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Robins can wif.,All birds can wif.,robin,bird,can,Robins,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Robins can blick.,All birds can blick.,robin,bird,can,Robins,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Robins can gyre.,All birds can gyre.,robin,bird,can,Robins,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Robins can gimble.,All birds can gimble.,robin,bird,can,Robins,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Robins can be daxed.,All birds can be daxed.,robin,bird,can be,Robins,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Robins can be wiffed.,All birds can be wiffed.,robin,bird,can be,Robins,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Robins can be blicked.,All birds can be blicked.,robin,bird,can be,Robins,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Robins can be gyred.,All birds can be gyred.,robin,bird,can be,Robins,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Robins can be gimbled.,All birds can be gimbled.,robin,bird,can be,Robins,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Robins are beamish.,All birds are beamish.,robin,bird,are,Robins,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Robins are slithy.,All birds are slithy.,robin,bird,are,Robins,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Robins are mimsy.,All birds are mimsy.,robin,bird,are,Robins,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Robins are vorpal.,All birds are vorpal.,robin,bird,are,Robins,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Robins are frabjous.,All birds are frabjous.,robin,bird,are,Robins,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Robins use a wug.,All birds use a wug.,robin,bird,use a,Robins,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Robins use a fep.,All birds use a fep.,robin,bird,use a,Robins,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Robins use a blicket.,All birds use a blicket.,robin,bird,use a,Robins,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Robins use a jabberwock.,All birds use a jabberwock.,robin,bird,use a,Robins,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Robins use a tove.,All birds use a tove.,robin,bird,use a,Robins,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Robins love wugs.,All birds love wugs.,robin,bird,love,Robins,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Robins love feps.,All birds love feps.,robin,bird,love,Robins,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Robins love blickets.,All birds love blickets.,robin,bird,love,Robins,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Robins love jabberwocks.,All birds love jabberwocks.,robin,bird,love,Robins,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Robins love toves.,All birds love toves.,robin,bird,love,Robins,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Robins have wugs.,All birds have wugs.,robin,bird,have,Robins,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Robins have feps.,All birds have feps.,robin,bird,have,Robins,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Robins have blickets.,All birds have blickets.,robin,bird,have,Robins,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Robins have jabberwocks.,All birds have jabberwocks.,robin,bird,have,Robins,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Robins have toves.,All birds have toves.,robin,bird,have,Robins,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Sparrows can dax.,All birds can dax.,sparrow,bird,can,Sparrows,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
