preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-9.494153022766113,110104890,bert-base-uncased
A sparrow,is alive.,sparrow,bird,1,-9.120248317718506,110104890,bert-base-uncased
A bluejay,is alive.,bluejay,bird,1,-10.940160751342773,110104890,bert-base-uncased
A bluebird,is alive.,bluebird,bird,1,-10.1625337600708,110104890,bert-base-uncased
A canary,is alive.,canary,bird,1,-10.089583396911621,110104890,bert-base-uncased
A blackbird,is alive.,blackbird,bird,1,-9.609196662902832,110104890,bert-base-uncased
A dove,is alive.,dove,bird,1,-11.693117141723633,110104890,bert-base-uncased
A lark,is alive.,lark,bird,1,-9.4429931640625,110104890,bert-base-uncased
A swallow,is alive.,swallow,bird,1,-14.835805416107178,110104890,bert-base-uncased
A parakeet,is alive.,parakeet,bird,1,-9.452210426330566,110104890,bert-base-uncased
An oriole,is alive.,oriole,bird,1,-12.852360725402832,110104890,bert-base-uncased
A mockingbird,is alive.,mockingbird,bird,1,-7.983376979827881,110104890,bert-base-uncased
A redbird,is alive.,redbird,bird,1,-9.904587745666504,110104890,bert-base-uncased
A wren,is alive.,wren,bird,1,-12.074047088623047,110104890,bert-base-uncased
A finch,is alive.,finch,bird,1,-11.735238552093506,110104890,bert-base-uncased
A starling,is alive.,starling,bird,1,-9.500575065612793,110104890,bert-base-uncased
A cardinal,is alive.,cardinal,bird,1,-8.823178768157959,110104890,bert-base-uncased
An eagle,is alive.,eagle,bird,1,-10.982500076293945,110104890,bert-base-uncased
A hummingbird,is alive.,hummingbird,bird,1,-9.128417491912842,110104890,bert-base-uncased
A seagull,is alive.,seagull,bird,1,-10.10617446899414,110104890,bert-base-uncased
A woodpecker,is alive.,woodpecker,bird,1,-10.62363052368164,110104890,bert-base-uncased
A pigeon,is alive.,pigeon,bird,1,-9.89237117767334,110104890,bert-base-uncased
A thrush,is alive.,thrush,bird,1,-10.258560180664062,110104890,bert-base-uncased
A falcon,is alive.,falcon,bird,1,-10.449756622314453,110104890,bert-base-uncased
A crow,is alive.,crow,bird,1,-9.774675846099854,110104890,bert-base-uncased
A hawk,is alive.,hawk,bird,1,-10.554450988769531,110104890,bert-base-uncased
A raven,is alive.,raven,bird,1,-10.23512315750122,110104890,bert-base-uncased
A goldfinch,is alive.,goldfinch,bird,1,-9.694234371185303,110104890,bert-base-uncased
A parrot,is alive.,parrot,bird,1,-8.560592651367188,110104890,bert-base-uncased
A sandpiper,is alive.,sandpiper,bird,1,-11.156508445739746,110104890,bert-base-uncased
A pheasant,is alive.,pheasant,bird,1,-12.021923065185547,110104890,bert-base-uncased
A catbird,is alive.,catbird,bird,1,-9.974569320678711,110104890,bert-base-uncased
A crane,is alive.,crane,bird,1,-14.381067276000977,110104890,bert-base-uncased
An albatross,is alive.,albatross,bird,1,-10.884190559387207,110104890,bert-base-uncased
A condor,is alive.,condor,bird,1,-9.851664543151855,110104890,bert-base-uncased
A toucan,is alive.,toucan,bird,1,-10.964763641357422,110104890,bert-base-uncased
An owl,is alive.,owl,bird,1,-10.067034721374512,110104890,bert-base-uncased
A pelican,is alive.,pelican,bird,1,-11.233590126037598,110104890,bert-base-uncased
A goose,is alive.,goose,bird,1,-11.773542881011963,110104890,bert-base-uncased
A vulture,is alive.,vulture,bird,1,-10.377128601074219,110104890,bert-base-uncased
A stork,is alive.,stork,bird,1,-9.33019495010376,110104890,bert-base-uncased
A buzzard,is alive.,buzzard,bird,1,-10.701278686523438,110104890,bert-base-uncased
A swan,is alive.,swan,bird,1,-10.465250015258789,110104890,bert-base-uncased
A flamingo,is alive.,flamingo,bird,1,-12.301642417907715,110104890,bert-base-uncased
A duck,is alive.,duck,bird,1,-10.681496620178223,110104890,bert-base-uncased
A peacock,is alive.,peacock,bird,1,-9.495512008666992,110104890,bert-base-uncased
An egret,is alive.,egret,bird,1,-10.464787483215332,110104890,bert-base-uncased
A chicken,is alive.,chicken,bird,1,-11.969863891601562,110104890,bert-base-uncased
A turkey,is alive.,turkey,bird,1,-12.249961853027344,110104890,bert-base-uncased
An ostrich,is alive.,ostrich,bird,1,-9.741209030151367,110104890,bert-base-uncased
A titmouse,is alive.,titmouse,bird,1,-12.686164855957031,110104890,bert-base-uncased
An emu,is alive.,emu,bird,1,-12.063752174377441,110104890,bert-base-uncased
A penguin,is alive.,penguin,bird,1,-8.199434280395508,110104890,bert-base-uncased
A bat,is alive.,bat,bird,1,-10.442230224609375,110104890,bert-base-uncased
A robin,flies.,robin,bird,2,-14.815584182739258,110104890,bert-base-uncased
A sparrow,flies.,sparrow,bird,2,-8.996819496154785,110104890,bert-base-uncased
A bluejay,flies.,bluejay,bird,2,-11.879013061523438,110104890,bert-base-uncased
A bluebird,flies.,bluebird,bird,2,-8.091481685638428,110104890,bert-base-uncased
A canary,flies.,canary,bird,2,-10.277338981628418,110104890,bert-base-uncased
A blackbird,flies.,blackbird,bird,2,-6.880695819854736,110104890,bert-base-uncased
A dove,flies.,dove,bird,2,-7.326047420501709,110104890,bert-base-uncased
A lark,flies.,lark,bird,2,-6.280083656311035,110104890,bert-base-uncased
A swallow,flies.,swallow,bird,2,-12.543232917785645,110104890,bert-base-uncased
A parakeet,flies.,parakeet,bird,2,-10.570588111877441,110104890,bert-base-uncased
An oriole,flies.,oriole,bird,2,-10.216184616088867,110104890,bert-base-uncased
A mockingbird,flies.,mockingbird,bird,2,-6.160815238952637,110104890,bert-base-uncased
A redbird,flies.,redbird,bird,2,-6.122793674468994,110104890,bert-base-uncased
A wren,flies.,wren,bird,2,-18.89986228942871,110104890,bert-base-uncased
A finch,flies.,finch,bird,2,-10.457533836364746,110104890,bert-base-uncased
A starling,flies.,starling,bird,2,-9.27297306060791,110104890,bert-base-uncased
A cardinal,flies.,cardinal,bird,2,-15.516386985778809,110104890,bert-base-uncased
An eagle,flies.,eagle,bird,2,-7.909416198730469,110104890,bert-base-uncased
A hummingbird,flies.,hummingbird,bird,2,-8.081048011779785,110104890,bert-base-uncased
A seagull,flies.,seagull,bird,2,-8.320940971374512,110104890,bert-base-uncased
A woodpecker,flies.,woodpecker,bird,2,-10.060086250305176,110104890,bert-base-uncased
A pigeon,flies.,pigeon,bird,2,-5.129262447357178,110104890,bert-base-uncased
A thrush,flies.,thrush,bird,2,-9.14126968383789,110104890,bert-base-uncased
A falcon,flies.,falcon,bird,2,-10.041666030883789,110104890,bert-base-uncased
A crow,flies.,crow,bird,2,-3.0032734870910645,110104890,bert-base-uncased
A hawk,flies.,hawk,bird,2,-4.733256816864014,110104890,bert-base-uncased
A raven,flies.,raven,bird,2,-7.051632881164551,110104890,bert-base-uncased
A goldfinch,flies.,goldfinch,bird,2,-11.793156623840332,110104890,bert-base-uncased
A parrot,flies.,parrot,bird,2,-10.68864917755127,110104890,bert-base-uncased
A sandpiper,flies.,sandpiper,bird,2,-10.53797721862793,110104890,bert-base-uncased
A pheasant,flies.,pheasant,bird,2,-13.442251205444336,110104890,bert-base-uncased
A catbird,flies.,catbird,bird,2,-7.030449867248535,110104890,bert-base-uncased
A crane,flies.,crane,bird,2,-6.26387357711792,110104890,bert-base-uncased
An albatross,flies.,albatross,bird,2,-9.826613426208496,110104890,bert-base-uncased
A condor,flies.,condor,bird,2,-10.114418983459473,110104890,bert-base-uncased
A toucan,flies.,toucan,bird,2,-11.782047271728516,110104890,bert-base-uncased
An owl,flies.,owl,bird,2,-5.671995639801025,110104890,bert-base-uncased
A pelican,flies.,pelican,bird,2,-9.695585250854492,110104890,bert-base-uncased
A goose,flies.,goose,bird,2,-9.464587211608887,110104890,bert-base-uncased
