preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-5.175507545471191,0,5gram
A sparrow,is alive.,sparrow,bird,1,-6.221364676952362,0,5gram
A bluejay,is alive.,bluejay,bird,1,-6.335332453250885,0,5gram
A bluebird,is alive.,bluebird,bird,1,-5.785249054431915,0,5gram
A canary,is alive.,canary,bird,1,-6.7811930775642395,0,5gram
A blackbird,is alive.,blackbird,bird,1,-6.520932734012604,0,5gram
A dove,is alive.,dove,bird,1,-5.525524914264679,0,5gram
A lark,is alive.,lark,bird,1,-5.986301958560944,0,5gram
A swallow,is alive.,swallow,bird,1,-6.052376687526703,0,5gram
A parakeet,is alive.,parakeet,bird,1,-5.483861207962036,0,5gram
An oriole,is alive.,oriole,bird,1,-6.218374788761139,0,5gram
A mockingbird,is alive.,mockingbird,bird,1,-5.755926430225372,0,5gram
A redbird,is alive.,redbird,bird,1,-6.177884876728058,0,5gram
A wren,is alive.,wren,bird,1,-6.4360944628715515,0,5gram
A finch,is alive.,finch,bird,1,-5.116232812404633,0,5gram
A starling,is alive.,starling,bird,1,-6.1366689801216125,0,5gram
A cardinal,is alive.,cardinal,bird,1,-5.91703587770462,0,5gram
An eagle,is alive.,eagle,bird,1,-5.971520245075226,0,5gram
A hummingbird,is alive.,hummingbird,bird,1,-5.796137630939484,0,5gram
A seagull,is alive.,seagull,bird,1,-6.407375872135162,0,5gram
A woodpecker,is alive.,woodpecker,bird,1,-6.011870443820953,0,5gram
A pigeon,is alive.,pigeon,bird,1,-6.576132118701935,0,5gram
A thrush,is alive.,thrush,bird,1,-5.971126854419708,0,5gram
A falcon,is alive.,falcon,bird,1,-6.471543490886688,0,5gram
A crow,is alive.,crow,bird,1,-5.5575156807899475,0,5gram
A hawk,is alive.,hawk,bird,1,-6.012833774089813,0,5gram
A raven,is alive.,raven,bird,1,-5.802787244319916,0,5gram
A goldfinch,is alive.,goldfinch,bird,1,-5.902386009693146,0,5gram
A parrot,is alive.,parrot,bird,1,-5.913162469863892,0,5gram
A sandpiper,is alive.,sandpiper,bird,1,-5.829936921596527,0,5gram
A pheasant,is alive.,pheasant,bird,1,-6.515798985958099,0,5gram
A catbird,is alive.,catbird,bird,1,-5.268163025379181,0,5gram
A crane,is alive.,crane,bird,1,-6.113836109638214,0,5gram
An albatross,is alive.,albatross,bird,1,-5.284448713064194,0,5gram
A condor,is alive.,condor,bird,1,-5.670256733894348,0,5gram
A toucan,is alive.,toucan,bird,1,-5.866329848766327,0,5gram
An owl,is alive.,owl,bird,1,-6.450693905353546,0,5gram
A pelican,is alive.,pelican,bird,1,-5.913528263568878,0,5gram
A goose,is alive.,goose,bird,1,-6.288704335689545,0,5gram
A vulture,is alive.,vulture,bird,1,-5.651289403438568,0,5gram
A stork,is alive.,stork,bird,1,-6.449957311153412,0,5gram
A buzzard,is alive.,buzzard,bird,1,-5.2911598682403564,0,5gram
A swan,is alive.,swan,bird,1,-5.944496333599091,0,5gram
A flamingo,is alive.,flamingo,bird,1,-6.562215149402618,0,5gram
A duck,is alive.,duck,bird,1,-6.3456491231918335,0,5gram
A peacock,is alive.,peacock,bird,1,-5.81128990650177,0,5gram
An egret,is alive.,egret,bird,1,-6.003765285015106,0,5gram
A chicken,is alive.,chicken,bird,1,-6.130688011646271,0,5gram
A turkey,is alive.,turkey,bird,1,-6.588393867015839,0,5gram
An ostrich,is alive.,ostrich,bird,1,-6.308445751667023,0,5gram
A titmouse,is alive.,titmouse,bird,1,-5.933427155017853,0,5gram
An emu,is alive.,emu,bird,1,-5.796896517276764,0,5gram
A penguin,is alive.,penguin,bird,1,-5.91939502954483,0,5gram
A bat,is alive.,bat,bird,1,-6.101191461086273,0,5gram
A robin,flies.,robin,bird,2,-6.210833668708801,0,5gram
A sparrow,flies.,sparrow,bird,2,-6.834687352180481,0,5gram
A bluejay,flies.,bluejay,bird,2,-5.942227005958557,0,5gram
A bluebird,flies.,bluebird,bird,2,-5.665855526924133,0,5gram
A canary,flies.,canary,bird,2,-5.920382618904114,0,5gram
A blackbird,flies.,blackbird,bird,2,-4.475481748580933,0,5gram
A dove,flies.,dove,bird,2,-3.8295472860336304,0,5gram
A lark,flies.,lark,bird,2,-6.71131432056427,0,5gram
A swallow,flies.,swallow,bird,2,-5.9748207330703735,0,5gram
A parakeet,flies.,parakeet,bird,2,-6.618551850318909,0,5gram
An oriole,flies.,oriole,bird,2,-6.52768337726593,0,5gram
A mockingbird,flies.,mockingbird,bird,2,-6.480594277381897,0,5gram
A redbird,flies.,redbird,bird,2,-6.3895732164382935,0,5gram
A wren,flies.,wren,bird,2,-6.683790326118469,0,5gram
A finch,flies.,finch,bird,2,-6.59917414188385,0,5gram
A starling,flies.,starling,bird,2,-6.617418885231018,0,5gram
A cardinal,flies.,cardinal,bird,2,-7.125908970832825,0,5gram
An eagle,flies.,eagle,bird,2,-3.720534086227417,0,5gram
