preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-11.727799892425537,66985530,distilbert-base-uncased
A sparrow,is alive.,sparrow,bird,1,-12.659867763519287,66985530,distilbert-base-uncased
A bluejay,is alive.,bluejay,bird,1,-13.5419020652771,66985530,distilbert-base-uncased
A bluebird,is alive.,bluebird,bird,1,-12.323802471160889,66985530,distilbert-base-uncased
A canary,is alive.,canary,bird,1,-13.192281246185303,66985530,distilbert-base-uncased
A blackbird,is alive.,blackbird,bird,1,-12.050111293792725,66985530,distilbert-base-uncased
A dove,is alive.,dove,bird,1,-13.217079162597656,66985530,distilbert-base-uncased
A lark,is alive.,lark,bird,1,-13.472347259521484,66985530,distilbert-base-uncased
A swallow,is alive.,swallow,bird,1,-12.824074268341064,66985530,distilbert-base-uncased
A parakeet,is alive.,parakeet,bird,1,-12.198675155639648,66985530,distilbert-base-uncased
An oriole,is alive.,oriole,bird,1,-14.060868740081787,66985530,distilbert-base-uncased
A mockingbird,is alive.,mockingbird,bird,1,-11.186705112457275,66985530,distilbert-base-uncased
A redbird,is alive.,redbird,bird,1,-12.236447811126709,66985530,distilbert-base-uncased
A wren,is alive.,wren,bird,1,-14.726948261260986,66985530,distilbert-base-uncased
A finch,is alive.,finch,bird,1,-12.310742378234863,66985530,distilbert-base-uncased
A starling,is alive.,starling,bird,1,-11.54479694366455,66985530,distilbert-base-uncased
A cardinal,is alive.,cardinal,bird,1,-11.761134147644043,66985530,distilbert-base-uncased
An eagle,is alive.,eagle,bird,1,-13.248886585235596,66985530,distilbert-base-uncased
A hummingbird,is alive.,hummingbird,bird,1,-10.992913722991943,66985530,distilbert-base-uncased
A seagull,is alive.,seagull,bird,1,-11.641457557678223,66985530,distilbert-base-uncased
A woodpecker,is alive.,woodpecker,bird,1,-11.874725341796875,66985530,distilbert-base-uncased
A pigeon,is alive.,pigeon,bird,1,-12.082857131958008,66985530,distilbert-base-uncased
A thrush,is alive.,thrush,bird,1,-12.817010402679443,66985530,distilbert-base-uncased
A falcon,is alive.,falcon,bird,1,-12.650588035583496,66985530,distilbert-base-uncased
A crow,is alive.,crow,bird,1,-14.223767757415771,66985530,distilbert-base-uncased
A hawk,is alive.,hawk,bird,1,-13.748170375823975,66985530,distilbert-base-uncased
A raven,is alive.,raven,bird,1,-12.387843608856201,66985530,distilbert-base-uncased
A goldfinch,is alive.,goldfinch,bird,1,-12.62866735458374,66985530,distilbert-base-uncased
A parrot,is alive.,parrot,bird,1,-11.414471626281738,66985530,distilbert-base-uncased
A sandpiper,is alive.,sandpiper,bird,1,-12.780804634094238,66985530,distilbert-base-uncased
