preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-9.83119249343872,11812272,albert-base-v1
A sparrow,is alive.,sparrow,bird,1,-8.96744441986084,11812272,albert-base-v1
A bluejay,is alive.,bluejay,bird,1,-8.954533100128174,11812272,albert-base-v1
A bluebird,is alive.,bluebird,bird,1,-12.398397445678711,11812272,albert-base-v1
A canary,is alive.,canary,bird,1,-9.092546463012695,11812272,albert-base-v1
A blackbird,is alive.,blackbird,bird,1,-11.671330451965332,11812272,albert-base-v1
A dove,is alive.,dove,bird,1,-11.691950798034668,11812272,albert-base-v1
A lark,is alive.,lark,bird,1,-10.4294114112854,11812272,albert-base-v1
A swallow,is alive.,swallow,bird,1,-10.243086814880371,11812272,albert-base-v1
A parakeet,is alive.,parakeet,bird,1,-10.493048191070557,11812272,albert-base-v1
An oriole,is alive.,oriole,bird,1,-13.025078773498535,11812272,albert-base-v1
A mockingbird,is alive.,mockingbird,bird,1,-9.327458381652832,11812272,albert-base-v1
A redbird,is alive.,redbird,bird,1,-11.975362777709961,11812272,albert-base-v1
A wren,is alive.,wren,bird,1,-11.063621044158936,11812272,albert-base-v1
A finch,is alive.,finch,bird,1,-10.03081226348877,11812272,albert-base-v1
A starling,is alive.,starling,bird,1,-9.884368419647217,11812272,albert-base-v1
A cardinal,is alive.,cardinal,bird,1,-9.846029281616211,11812272,albert-base-v1
An eagle,is alive.,eagle,bird,1,-9.939075946807861,11812272,albert-base-v1
A hummingbird,is alive.,hummingbird,bird,1,-12.407194137573242,11812272,albert-base-v1
A seagull,is alive.,seagull,bird,1,-10.19867467880249,11812272,albert-base-v1
A woodpecker,is alive.,woodpecker,bird,1,-9.50139045715332,11812272,albert-base-v1
A pigeon,is alive.,pigeon,bird,1,-10.52595567703247,11812272,albert-base-v1
A thrush,is alive.,thrush,bird,1,-10.592957973480225,11812272,albert-base-v1
A falcon,is alive.,falcon,bird,1,-10.865868091583252,11812272,albert-base-v1
A crow,is alive.,crow,bird,1,-8.973758697509766,11812272,albert-base-v1
A hawk,is alive.,hawk,bird,1,-9.735674858093262,11812272,albert-base-v1
A raven,is alive.,raven,bird,1,-8.347296714782715,11812272,albert-base-v1
A goldfinch,is alive.,goldfinch,bird,1,-11.931228160858154,11812272,albert-base-v1
A parrot,is alive.,parrot,bird,1,-11.973945617675781,11812272,albert-base-v1
A sandpiper,is alive.,sandpiper,bird,1,-11.098527431488037,11812272,albert-base-v1
A pheasant,is alive.,pheasant,bird,1,-9.774260520935059,11812272,albert-base-v1
A catbird,is alive.,catbird,bird,1,-12.675763130187988,11812272,albert-base-v1
A crane,is alive.,crane,bird,1,-12.426935195922852,11812272,albert-base-v1
An albatross,is alive.,albatross,bird,1,-10.37852430343628,11812272,albert-base-v1
A condor,is alive.,condor,bird,1,-10.983819484710693,11812272,albert-base-v1
A toucan,is alive.,toucan,bird,1,-10.266910076141357,11812272,albert-base-v1
An owl,is alive.,owl,bird,1,-9.852558612823486,11812272,albert-base-v1
A pelican,is alive.,pelican,bird,1,-9.541899681091309,11812272,albert-base-v1
A goose,is alive.,goose,bird,1,-10.896759986877441,11812272,albert-base-v1
A vulture,is alive.,vulture,bird,1,-8.342859268188477,11812272,albert-base-v1
A stork,is alive.,stork,bird,1,-10.406355857849121,11812272,albert-base-v1
A buzzard,is alive.,buzzard,bird,1,-9.825356483459473,11812272,albert-base-v1
A swan,is alive.,swan,bird,1,-10.651584148406982,11812272,albert-base-v1
A flamingo,is alive.,flamingo,bird,1,-9.13772201538086,11812272,albert-base-v1
A duck,is alive.,duck,bird,1,-10.601037979125977,11812272,albert-base-v1
A peacock,is alive.,peacock,bird,1,-10.57237434387207,11812272,albert-base-v1
An egret,is alive.,egret,bird,1,-11.251622676849365,11812272,albert-base-v1
A chicken,is alive.,chicken,bird,1,-9.936999797821045,11812272,albert-base-v1
A turkey,is alive.,turkey,bird,1,-10.268642902374268,11812272,albert-base-v1
An ostrich,is alive.,ostrich,bird,1,-10.851635456085205,11812272,albert-base-v1
A titmouse,is alive.,titmouse,bird,1,-12.182687759399414,11812272,albert-base-v1
An emu,is alive.,emu,bird,1,-12.982954025268555,11812272,albert-base-v1
A penguin,is alive.,penguin,bird,1,-9.023813247680664,11812272,albert-base-v1
A bat,is alive.,bat,bird,1,-10.384006023406982,11812272,albert-base-v1
A robin,flies.,robin,bird,2,-10.07948637008667,11812272,albert-base-v1
A sparrow,flies.,sparrow,bird,2,-6.622776031494141,11812272,albert-base-v1
A bluejay,flies.,bluejay,bird,2,-9.89124584197998,11812272,albert-base-v1
A bluebird,flies.,bluebird,bird,2,-8.031333923339844,11812272,albert-base-v1
A canary,flies.,canary,bird,2,-8.890745162963867,11812272,albert-base-v1
A blackbird,flies.,blackbird,bird,2,-7.806344985961914,11812272,albert-base-v1
A dove,flies.,dove,bird,2,-8.930009365081787,11812272,albert-base-v1
A lark,flies.,lark,bird,2,-7.930386066436768,11812272,albert-base-v1
A swallow,flies.,swallow,bird,2,-10.228198051452637,11812272,albert-base-v1
A parakeet,flies.,parakeet,bird,2,-11.009635925292969,11812272,albert-base-v1
An oriole,flies.,oriole,bird,2,-10.52875804901123,11812272,albert-base-v1
A mockingbird,flies.,mockingbird,bird,2,-8.162997722625732,11812272,albert-base-v1
A redbird,flies.,redbird,bird,2,-7.900030612945557,11812272,albert-base-v1
