preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-11.773370742797852,59017392,albert-xlarge-v1
A sparrow,is alive.,sparrow,bird,1,-11.264993667602539,59017392,albert-xlarge-v1
A bluejay,is alive.,bluejay,bird,1,-13.907388687133789,59017392,albert-xlarge-v1
A bluebird,is alive.,bluebird,bird,1,-10.12039852142334,59017392,albert-xlarge-v1
A canary,is alive.,canary,bird,1,-11.301010131835938,59017392,albert-xlarge-v1
A blackbird,is alive.,blackbird,bird,1,-10.198469161987305,59017392,albert-xlarge-v1
A dove,is alive.,dove,bird,1,-8.890114784240723,59017392,albert-xlarge-v1
A lark,is alive.,lark,bird,1,-11.188698768615723,59017392,albert-xlarge-v1
A swallow,is alive.,swallow,bird,1,-14.241131782531738,59017392,albert-xlarge-v1
A parakeet,is alive.,parakeet,bird,1,-13.656547546386719,59017392,albert-xlarge-v1
An oriole,is alive.,oriole,bird,1,-16.82216739654541,59017392,albert-xlarge-v1
A mockingbird,is alive.,mockingbird,bird,1,-10.73671817779541,59017392,albert-xlarge-v1
A redbird,is alive.,redbird,bird,1,-10.706624031066895,59017392,albert-xlarge-v1
A wren,is alive.,wren,bird,1,-8.83834171295166,59017392,albert-xlarge-v1
A finch,is alive.,finch,bird,1,-12.960735321044922,59017392,albert-xlarge-v1
A starling,is alive.,starling,bird,1,-12.457891464233398,59017392,albert-xlarge-v1
A cardinal,is alive.,cardinal,bird,1,-18.856853485107422,59017392,albert-xlarge-v1
An eagle,is alive.,eagle,bird,1,-9.462167739868164,59017392,albert-xlarge-v1
A hummingbird,is alive.,hummingbird,bird,1,-11.061219215393066,59017392,albert-xlarge-v1
A seagull,is alive.,seagull,bird,1,-9.171496391296387,59017392,albert-xlarge-v1
A woodpecker,is alive.,woodpecker,bird,1,-10.296490669250488,59017392,albert-xlarge-v1
A pigeon,is alive.,pigeon,bird,1,-8.602280616760254,59017392,albert-xlarge-v1
A thrush,is alive.,thrush,bird,1,-14.53863525390625,59017392,albert-xlarge-v1
A falcon,is alive.,falcon,bird,1,-9.358680248260498,59017392,albert-xlarge-v1
A crow,is alive.,crow,bird,1,-12.29680061340332,59017392,albert-xlarge-v1
A hawk,is alive.,hawk,bird,1,-10.168538093566895,59017392,albert-xlarge-v1
A raven,is alive.,raven,bird,1,-9.80976390838623,59017392,albert-xlarge-v1
A goldfinch,is alive.,goldfinch,bird,1,-12.993301391601562,59017392,albert-xlarge-v1
A parrot,is alive.,parrot,bird,1,-11.038931846618652,59017392,albert-xlarge-v1
A sandpiper,is alive.,sandpiper,bird,1,-10.260207176208496,59017392,albert-xlarge-v1
A pheasant,is alive.,pheasant,bird,1,-11.320591926574707,59017392,albert-xlarge-v1
A catbird,is alive.,catbird,bird,1,-10.189044952392578,59017392,albert-xlarge-v1
A crane,is alive.,crane,bird,1,-16.44153881072998,59017392,albert-xlarge-v1
An albatross,is alive.,albatross,bird,1,-8.495609283447266,59017392,albert-xlarge-v1
A condor,is alive.,condor,bird,1,-10.055328369140625,59017392,albert-xlarge-v1
A toucan,is alive.,toucan,bird,1,-12.16071891784668,59017392,albert-xlarge-v1
An owl,is alive.,owl,bird,1,-10.460554122924805,59017392,albert-xlarge-v1
A pelican,is alive.,pelican,bird,1,-9.458671569824219,59017392,albert-xlarge-v1
A goose,is alive.,goose,bird,1,-10.574539184570312,59017392,albert-xlarge-v1
A vulture,is alive.,vulture,bird,1,-9.044137954711914,59017392,albert-xlarge-v1
A stork,is alive.,stork,bird,1,-9.886660099029541,59017392,albert-xlarge-v1
A buzzard,is alive.,buzzard,bird,1,-11.574692726135254,59017392,albert-xlarge-v1
A swan,is alive.,swan,bird,1,-8.952851295471191,59017392,albert-xlarge-v1
A flamingo,is alive.,flamingo,bird,1,-14.661468505859375,59017392,albert-xlarge-v1
A duck,is alive.,duck,bird,1,-10.120271682739258,59017392,albert-xlarge-v1
A peacock,is alive.,peacock,bird,1,-8.766375541687012,59017392,albert-xlarge-v1
An egret,is alive.,egret,bird,1,-13.396154403686523,59017392,albert-xlarge-v1
A chicken,is alive.,chicken,bird,1,-14.104829788208008,59017392,albert-xlarge-v1
A turkey,is alive.,turkey,bird,1,-15.598353385925293,59017392,albert-xlarge-v1
An ostrich,is alive.,ostrich,bird,1,-12.613872528076172,59017392,albert-xlarge-v1
A titmouse,is alive.,titmouse,bird,1,-16.55441379547119,59017392,albert-xlarge-v1
An emu,is alive.,emu,bird,1,-15.059134483337402,59017392,albert-xlarge-v1
A penguin,is alive.,penguin,bird,1,-10.781190872192383,59017392,albert-xlarge-v1
A bat,is alive.,bat,bird,1,-14.101533889770508,59017392,albert-xlarge-v1
A robin,flies.,robin,bird,2,-12.026588439941406,59017392,albert-xlarge-v1
A sparrow,flies.,sparrow,bird,2,-3.694446563720703,59017392,albert-xlarge-v1
A bluejay,flies.,bluejay,bird,2,-13.987149238586426,59017392,albert-xlarge-v1
A bluebird,flies.,bluebird,bird,2,-8.92560863494873,59017392,albert-xlarge-v1
