preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-7.044036388397217,33740602,google_electra-base-generator
A sparrow,is alive.,sparrow,bird,1,-6.483724594116211,33740602,google_electra-base-generator
A bluejay,is alive.,bluejay,bird,1,-7.190253734588623,33740602,google_electra-base-generator
A bluebird,is alive.,bluebird,bird,1,-5.621503829956055,33740602,google_electra-base-generator
A canary,is alive.,canary,bird,1,-6.196934700012207,33740602,google_electra-base-generator
A blackbird,is alive.,blackbird,bird,1,-5.737569808959961,33740602,google_electra-base-generator
A dove,is alive.,dove,bird,1,-6.219749450683594,33740602,google_electra-base-generator
A lark,is alive.,lark,bird,1,-5.507251739501953,33740602,google_electra-base-generator
A swallow,is alive.,swallow,bird,1,-8.575935363769531,33740602,google_electra-base-generator
A parakeet,is alive.,parakeet,bird,1,-9.71495246887207,33740602,google_electra-base-generator
An oriole,is alive.,oriole,bird,1,-8.731237411499023,33740602,google_electra-base-generator
A mockingbird,is alive.,mockingbird,bird,1,-4.795844078063965,33740602,google_electra-base-generator
A redbird,is alive.,redbird,bird,1,-5.6206817626953125,33740602,google_electra-base-generator
A wren,is alive.,wren,bird,1,-7.145672798156738,33740602,google_electra-base-generator
A finch,is alive.,finch,bird,1,-5.748696327209473,33740602,google_electra-base-generator
A starling,is alive.,starling,bird,1,-6.865007400512695,33740602,google_electra-base-generator
A cardinal,is alive.,cardinal,bird,1,-6.539690971374512,33740602,google_electra-base-generator
An eagle,is alive.,eagle,bird,1,-6.468226432800293,33740602,google_electra-base-generator
A hummingbird,is alive.,hummingbird,bird,1,-6.271237373352051,33740602,google_electra-base-generator
A seagull,is alive.,seagull,bird,1,-7.890348434448242,33740602,google_electra-base-generator
A woodpecker,is alive.,woodpecker,bird,1,-7.273723125457764,33740602,google_electra-base-generator
A pigeon,is alive.,pigeon,bird,1,-5.286003112792969,33740602,google_electra-base-generator
A thrush,is alive.,thrush,bird,1,-6.316941261291504,33740602,google_electra-base-generator
A falcon,is alive.,falcon,bird,1,-6.222524642944336,33740602,google_electra-base-generator
A crow,is alive.,crow,bird,1,-8.173053741455078,33740602,google_electra-base-generator
A hawk,is alive.,hawk,bird,1,-6.3988237380981445,33740602,google_electra-base-generator
A raven,is alive.,raven,bird,1,-5.515180587768555,33740602,google_electra-base-generator
A goldfinch,is alive.,goldfinch,bird,1,-8.479674339294434,33740602,google_electra-base-generator
A parrot,is alive.,parrot,bird,1,-5.4314985275268555,33740602,google_electra-base-generator
A sandpiper,is alive.,sandpiper,bird,1,-7.266975402832031,33740602,google_electra-base-generator
A pheasant,is alive.,pheasant,bird,1,-9.997054100036621,33740602,google_electra-base-generator
A catbird,is alive.,catbird,bird,1,-5.583417892456055,33740602,google_electra-base-generator
A crane,is alive.,crane,bird,1,-9.686689376831055,33740602,google_electra-base-generator
An albatross,is alive.,albatross,bird,1,-6.051792144775391,33740602,google_electra-base-generator
A condor,is alive.,condor,bird,1,-4.695478439331055,33740602,google_electra-base-generator
A toucan,is alive.,toucan,bird,1,-7.236639499664307,33740602,google_electra-base-generator
An owl,is alive.,owl,bird,1,-7.108318328857422,33740602,google_electra-base-generator
A pelican,is alive.,pelican,bird,1,-8.024964809417725,33740602,google_electra-base-generator
A goose,is alive.,goose,bird,1,-6.274066925048828,33740602,google_electra-base-generator
A vulture,is alive.,vulture,bird,1,-6.77323055267334,33740602,google_electra-base-generator
