preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-12.171028137207031,116536320,openai-gpt
A sparrow,is alive.,sparrow,bird,1,-12.91730546951294,116536320,openai-gpt
A bluejay,is alive.,bluejay,bird,1,-13.8719162940979,116536320,openai-gpt
A bluebird,is alive.,bluebird,bird,1,-12.630707740783691,116536320,openai-gpt
A canary,is alive.,canary,bird,1,-12.138036251068115,116536320,openai-gpt
A blackbird,is alive.,blackbird,bird,1,-12.792823314666748,116536320,openai-gpt
A dove,is alive.,dove,bird,1,-12.813763618469238,116536320,openai-gpt
A lark,is alive.,lark,bird,1,-17.200531482696533,116536320,openai-gpt
A swallow,is alive.,swallow,bird,1,-20.409719944000244,116536320,openai-gpt
A parakeet,is alive.,parakeet,bird,1,-14.180217266082764,116536320,openai-gpt
An oriole,is alive.,oriole,bird,1,-15.102282524108887,116536320,openai-gpt
A mockingbird,is alive.,mockingbird,bird,1,-13.487030506134033,116536320,openai-gpt
A redbird,is alive.,redbird,bird,1,-12.77033281326294,116536320,openai-gpt
A wren,is alive.,wren,bird,1,-12.339913368225098,116536320,openai-gpt
A finch,is alive.,finch,bird,1,-10.999994277954102,116536320,openai-gpt
A starling,is alive.,starling,bird,1,-12.802746772766113,116536320,openai-gpt
A cardinal,is alive.,cardinal,bird,1,-12.409272193908691,116536320,openai-gpt
An eagle,is alive.,eagle,bird,1,-13.48627519607544,116536320,openai-gpt
A hummingbird,is alive.,hummingbird,bird,1,-12.374669075012207,116536320,openai-gpt
A seagull,is alive.,seagull,bird,1,-13.775341987609863,116536320,openai-gpt
A woodpecker,is alive.,woodpecker,bird,1,-12.239529132843018,116536320,openai-gpt
A pigeon,is alive.,pigeon,bird,1,-12.887963771820068,116536320,openai-gpt
A thrush,is alive.,thrush,bird,1,-12.42173957824707,116536320,openai-gpt
A falcon,is alive.,falcon,bird,1,-13.529449939727783,116536320,openai-gpt
A crow,is alive.,crow,bird,1,-12.69728422164917,116536320,openai-gpt
A hawk,is alive.,hawk,bird,1,-13.399580001831055,116536320,openai-gpt
A raven,is alive.,raven,bird,1,-12.510473728179932,116536320,openai-gpt
A goldfinch,is alive.,goldfinch,bird,1,-12.123188972473145,116536320,openai-gpt
A parrot,is alive.,parrot,bird,1,-12.401482105255127,116536320,openai-gpt
A sandpiper,is alive.,sandpiper,bird,1,-13.343285083770752,116536320,openai-gpt
A pheasant,is alive.,pheasant,bird,1,-13.45319128036499,116536320,openai-gpt
A catbird,is alive.,catbird,bird,1,-12.556498050689697,116536320,openai-gpt
A crane,is alive.,crane,bird,1,-15.179064750671387,116536320,openai-gpt
An albatross,is alive.,albatross,bird,1,-14.07423734664917,116536320,openai-gpt
A condor,is alive.,condor,bird,1,-13.994659900665283,116536320,openai-gpt
A toucan,is alive.,toucan,bird,1,-12.799132347106934,116536320,openai-gpt
An owl,is alive.,owl,bird,1,-13.295209407806396,116536320,openai-gpt
A pelican,is alive.,pelican,bird,1,-12.79942512512207,116536320,openai-gpt
A goose,is alive.,goose,bird,1,-11.360595703125,116536320,openai-gpt
A vulture,is alive.,vulture,bird,1,-12.423033237457275,116536320,openai-gpt
A stork,is alive.,stork,bird,1,-12.129372596740723,116536320,openai-gpt
A buzzard,is alive.,buzzard,bird,1,-13.239769458770752,116536320,openai-gpt
A swan,is alive.,swan,bird,1,-13.594277381896973,116536320,openai-gpt
A flamingo,is alive.,flamingo,bird,1,-13.011451721191406,116536320,openai-gpt
A duck,is alive.,duck,bird,1,-12.332437992095947,116536320,openai-gpt
A peacock,is alive.,peacock,bird,1,-12.629300594329834,116536320,openai-gpt
An egret,is alive.,egret,bird,1,-11.985235691070557,116536320,openai-gpt
A chicken,is alive.,chicken,bird,1,-13.719426155090332,116536320,openai-gpt
A turkey,is alive.,turkey,bird,1,-14.317216396331787,116536320,openai-gpt
An ostrich,is alive.,ostrich,bird,1,-13.373778343200684,116536320,openai-gpt
A titmouse,is alive.,titmouse,bird,1,-12.274066925048828,116536320,openai-gpt
An emu,is alive.,emu,bird,1,-13.10550308227539,116536320,openai-gpt
A penguin,is alive.,penguin,bird,1,-13.971800804138184,116536320,openai-gpt
A bat,is alive.,bat,bird,1,-13.280036449432373,116536320,openai-gpt
A robin,flies.,robin,bird,2,-9.597015857696533,116536320,openai-gpt
A sparrow,flies.,sparrow,bird,2,-10.280015468597412,116536320,openai-gpt
A bluejay,flies.,bluejay,bird,2,-12.25307321548462,116536320,openai-gpt
A bluebird,flies.,bluebird,bird,2,-10.725526809692383,116536320,openai-gpt
A canary,flies.,canary,bird,2,-10.856918334960938,116536320,openai-gpt
A blackbird,flies.,blackbird,bird,2,-9.374111652374268,116536320,openai-gpt
A dove,flies.,dove,bird,2,-12.811455249786377,116536320,openai-gpt
A lark,flies.,lark,bird,2,-19.016716480255127,116536320,openai-gpt
A swallow,flies.,swallow,bird,2,-18.73847532272339,116536320,openai-gpt
A parakeet,flies.,parakeet,bird,2,-11.622464179992676,116536320,openai-gpt
An oriole,flies.,oriole,bird,2,-13.656468868255615,116536320,openai-gpt
A mockingbird,flies.,mockingbird,bird,2,-12.772140502929688,116536320,openai-gpt
A redbird,flies.,redbird,bird,2,-9.625767469406128,116536320,openai-gpt
A wren,flies.,wren,bird,2,-10.832948207855225,116536320,openai-gpt
A finch,flies.,finch,bird,2,-11.454501628875732,116536320,openai-gpt
A starling,flies.,starling,bird,2,-10.533524751663208,116536320,openai-gpt
A cardinal,flies.,cardinal,bird,2,-11.031419515609741,116536320,openai-gpt
An eagle,flies.,eagle,bird,2,-8.522084712982178,116536320,openai-gpt
A hummingbird,flies.,hummingbird,bird,2,-9.77453064918518,116536320,openai-gpt
A seagull,flies.,seagull,bird,2,-10.569442510604858,116536320,openai-gpt
A woodpecker,flies.,woodpecker,bird,2,-10.167598247528076,116536320,openai-gpt
A pigeon,flies.,pigeon,bird,2,-11.115326404571533,116536320,openai-gpt
A thrush,flies.,thrush,bird,2,-12.029038906097412,116536320,openai-gpt
A falcon,flies.,falcon,bird,2,-10.513525009155273,116536320,openai-gpt
A crow,flies.,crow,bird,2,-8.724625587463379,116536320,openai-gpt
A hawk,flies.,hawk,bird,2,-8.369017839431763,116536320,openai-gpt
A raven,flies.,raven,bird,2,-10.046485900878906,116536320,openai-gpt
A goldfinch,flies.,goldfinch,bird,2,-10.588871240615845,116536320,openai-gpt
A parrot,flies.,parrot,bird,2,-11.359901666641235,116536320,openai-gpt
A sandpiper,flies.,sandpiper,bird,2,-13.321388006210327,116536320,openai-gpt
A pheasant,flies.,pheasant,bird,2,-13.31998610496521,116536320,openai-gpt
A catbird,flies.,catbird,bird,2,-10.387211322784424,116536320,openai-gpt
A crane,flies.,crane,bird,2,-14.588495254516602,116536320,openai-gpt
An albatross,flies.,albatross,bird,2,-10.933998584747314,116536320,openai-gpt
A condor,flies.,condor,bird,2,-12.289473295211792,116536320,openai-gpt
A toucan,flies.,toucan,bird,2,-13.849331617355347,116536320,openai-gpt
An owl,flies.,owl,bird,2,-11.150150775909424,116536320,openai-gpt
A pelican,flies.,pelican,bird,2,-12.1545991897583,116536320,openai-gpt
A goose,flies.,goose,bird,2,-11.934031248092651,116536320,openai-gpt
A vulture,flies.,vulture,bird,2,-8.829139232635498,116536320,openai-gpt
A stork,flies.,stork,bird,2,-10.028388977050781,116536320,openai-gpt
A buzzard,flies.,buzzard,bird,2,-9.85226058959961,116536320,openai-gpt
A swan,flies.,swan,bird,2,-9.950776100158691,116536320,openai-gpt
A flamingo,flies.,flamingo,bird,2,-13.004469633102417,116536320,openai-gpt
A duck,flies.,duck,bird,2,-11.388784408569336,116536320,openai-gpt
A peacock,flies.,peacock,bird,2,-11.652830839157104,116536320,openai-gpt
An egret,flies.,egret,bird,2,-13.468722343444824,116536320,openai-gpt
A chicken,flies.,chicken,bird,2,-14.20158839225769,116536320,openai-gpt
A turkey,flies.,turkey,bird,2,-12.150774240493774,116536320,openai-gpt
An ostrich,flies.,ostrich,bird,2,-13.648049116134644,116536320,openai-gpt
A titmouse,flies.,titmouse,bird,2,-13.333476781845093,116536320,openai-gpt
An emu,flies.,emu,bird,2,-12.37926959991455,116536320,openai-gpt
A penguin,flies.,penguin,bird,2,-14.24676513671875,116536320,openai-gpt
A bat,flies.,bat,bird,2,-11.393499374389648,116536320,openai-gpt
A robin,has feathers.,robin,bird,3,-15.760721206665039,116536320,openai-gpt
A sparrow,has feathers.,sparrow,bird,3,-15.113751411437988,116536320,openai-gpt
A bluejay,has feathers.,bluejay,bird,3,-18.420573234558105,116536320,openai-gpt
A bluebird,has feathers.,bluebird,bird,3,-16.05222988128662,116536320,openai-gpt
A canary,has feathers.,canary,bird,3,-15.174086093902588,116536320,openai-gpt
A blackbird,has feathers.,blackbird,bird,3,-15.752113819122314,116536320,openai-gpt
A dove,has feathers.,dove,bird,3,-15.012958526611328,116536320,openai-gpt
A lark,has feathers.,lark,bird,3,-22.683348178863525,116536320,openai-gpt
A swallow,has feathers.,swallow,bird,3,-25.050562858581543,116536320,openai-gpt
A parakeet,has feathers.,parakeet,bird,3,-16.815651416778564,116536320,openai-gpt
An oriole,has feathers.,oriole,bird,3,-21.93918752670288,116536320,openai-gpt
A mockingbird,has feathers.,mockingbird,bird,3,-15.446043491363525,116536320,openai-gpt
A redbird,has feathers.,redbird,bird,3,-16.17019271850586,116536320,openai-gpt
A wren,has feathers.,wren,bird,3,-14.937795639038086,116536320,openai-gpt
A finch,has feathers.,finch,bird,3,-15.460672855377197,116536320,openai-gpt
A starling,has feathers.,starling,bird,3,-16.093249320983887,116536320,openai-gpt
A cardinal,has feathers.,cardinal,bird,3,-16.109447956085205,116536320,openai-gpt
An eagle,has feathers.,eagle,bird,3,-14.816153049468994,116536320,openai-gpt
A hummingbird,has feathers.,hummingbird,bird,3,-16.297651767730713,116536320,openai-gpt
A seagull,has feathers.,seagull,bird,3,-15.597558498382568,116536320,openai-gpt
A woodpecker,has feathers.,woodpecker,bird,3,-16.125539779663086,116536320,openai-gpt
A pigeon,has feathers.,pigeon,bird,3,-16.294608116149902,116536320,openai-gpt
A thrush,has feathers.,thrush,bird,3,-17.236595153808594,116536320,openai-gpt
A falcon,has feathers.,falcon,bird,3,-15.026143074035645,116536320,openai-gpt
A crow,has feathers.,crow,bird,3,-14.259826183319092,116536320,openai-gpt
A hawk,has feathers.,hawk,bird,3,-14.592423915863037,116536320,openai-gpt
A raven,has feathers.,raven,bird,3,-13.599133491516113,116536320,openai-gpt
A goldfinch,has feathers.,goldfinch,bird,3,-15.869582176208496,116536320,openai-gpt
A parrot,has feathers.,parrot,bird,3,-14.784126281738281,116536320,openai-gpt
A sandpiper,has feathers.,sandpiper,bird,3,-16.81081533432007,116536320,openai-gpt
A pheasant,has feathers.,pheasant,bird,3,-17.817463397979736,116536320,openai-gpt
A catbird,has feathers.,catbird,bird,3,-15.147509574890137,116536320,openai-gpt
A crane,has feathers.,crane,bird,3,-21.88456439971924,116536320,openai-gpt
An albatross,has feathers.,albatross,bird,3,-17.127275466918945,116536320,openai-gpt
A condor,has feathers.,condor,bird,3,-19.41184663772583,116536320,openai-gpt
A toucan,has feathers.,toucan,bird,3,-18.03385829925537,116536320,openai-gpt
An owl,has feathers.,owl,bird,3,-15.2436842918396,116536320,openai-gpt
A pelican,has feathers.,pelican,bird,3,-16.13462209701538,116536320,openai-gpt
A goose,has feathers.,goose,bird,3,-15.912235736846924,116536320,openai-gpt
A vulture,has feathers.,vulture,bird,3,-15.908525943756104,116536320,openai-gpt
A stork,has feathers.,stork,bird,3,-16.647719860076904,116536320,openai-gpt
A buzzard,has feathers.,buzzard,bird,3,-16.979414463043213,116536320,openai-gpt
A swan,has feathers.,swan,bird,3,-14.908974647521973,116536320,openai-gpt
A flamingo,has feathers.,flamingo,bird,3,-18.867701053619385,116536320,openai-gpt
A duck,has feathers.,duck,bird,3,-14.10013198852539,116536320,openai-gpt
A peacock,has feathers.,peacock,bird,3,-12.905654430389404,116536320,openai-gpt
An egret,has feathers.,egret,bird,3,-17.867682933807373,116536320,openai-gpt
A chicken,has feathers.,chicken,bird,3,-17.65495014190674,116536320,openai-gpt
A turkey,has feathers.,turkey,bird,3,-18.190022945404053,116536320,openai-gpt
An ostrich,has feathers.,ostrich,bird,3,-13.87954044342041,116536320,openai-gpt
A titmouse,has feathers.,titmouse,bird,3,-18.02513313293457,116536320,openai-gpt
An emu,has feathers.,emu,bird,3,-17.895309925079346,116536320,openai-gpt
A penguin,has feathers.,penguin,bird,3,-17.05351495742798,116536320,openai-gpt
A bat,has feathers.,bat,bird,3,-16.18551731109619,116536320,openai-gpt
A robin,has a beak.,robin,bird,4,-16.123311519622803,116536320,openai-gpt
A sparrow,has a beak.,sparrow,bird,4,-15.47608757019043,116536320,openai-gpt
A bluejay,has a beak.,bluejay,bird,4,-17.834006309509277,116536320,openai-gpt
A bluebird,has a beak.,bluebird,bird,4,-15.544507503509521,116536320,openai-gpt
A canary,has a beak.,canary,bird,4,-15.66506052017212,116536320,openai-gpt
A blackbird,has a beak.,blackbird,bird,4,-14.839061260223389,116536320,openai-gpt
A dove,has a beak.,dove,bird,4,-15.21140742301941,116536320,openai-gpt
A lark,has a beak.,lark,bird,4,-22.374701976776123,116536320,openai-gpt
A swallow,has a beak.,swallow,bird,4,-26.18634057044983,116536320,openai-gpt
A parakeet,has a beak.,parakeet,bird,4,-15.449884414672852,116536320,openai-gpt
An oriole,has a beak.,oriole,bird,4,-21.856765270233154,116536320,openai-gpt
A mockingbird,has a beak.,mockingbird,bird,4,-16.314700603485107,116536320,openai-gpt
A redbird,has a beak.,redbird,bird,4,-15.270549774169922,116536320,openai-gpt
A wren,has a beak.,wren,bird,4,-15.868426322937012,116536320,openai-gpt
A finch,has a beak.,finch,bird,4,-16.08625888824463,116536320,openai-gpt
A starling,has a beak.,starling,bird,4,-14.739068508148193,116536320,openai-gpt
A cardinal,has a beak.,cardinal,bird,4,-15.750716209411621,116536320,openai-gpt
An eagle,has a beak.,eagle,bird,4,-14.3150954246521,116536320,openai-gpt
A hummingbird,has a beak.,hummingbird,bird,4,-17.0474693775177,116536320,openai-gpt
A seagull,has a beak.,seagull,bird,4,-14.840198040008545,116536320,openai-gpt
A woodpecker,has a beak.,woodpecker,bird,4,-15.166109561920166,116536320,openai-gpt
A pigeon,has a beak.,pigeon,bird,4,-16.517207860946655,116536320,openai-gpt
A thrush,has a beak.,thrush,bird,4,-16.158849239349365,116536320,openai-gpt
A falcon,has a beak.,falcon,bird,4,-15.19252347946167,116536320,openai-gpt
A crow,has a beak.,crow,bird,4,-14.47670030593872,116536320,openai-gpt
A hawk,has a beak.,hawk,bird,4,-14.357386112213135,116536320,openai-gpt
A raven,has a beak.,raven,bird,4,-14.249632835388184,116536320,openai-gpt
A goldfinch,has a beak.,goldfinch,bird,4,-15.793087005615234,116536320,openai-gpt
A parrot,has a beak.,parrot,bird,4,-13.745508432388306,116536320,openai-gpt
A sandpiper,has a beak.,sandpiper,bird,4,-16.646206855773926,116536320,openai-gpt
A pheasant,has a beak.,pheasant,bird,4,-16.84377384185791,116536320,openai-gpt
A catbird,has a beak.,catbird,bird,4,-14.522868156433105,116536320,openai-gpt
A crane,has a beak.,crane,bird,4,-19.015788555145264,116536320,openai-gpt
An albatross,has a beak.,albatross,bird,4,-15.848128080368042,116536320,openai-gpt
A condor,has a beak.,condor,bird,4,-17.7296199798584,116536320,openai-gpt
A toucan,has a beak.,toucan,bird,4,-17.329702377319336,116536320,openai-gpt
An owl,has a beak.,owl,bird,4,-14.82196569442749,116536320,openai-gpt
A pelican,has a beak.,pelican,bird,4,-14.32946252822876,116536320,openai-gpt
A goose,has a beak.,goose,bird,4,-18.675397872924805,116536320,openai-gpt
A vulture,has a beak.,vulture,bird,4,-15.283528804779053,116536320,openai-gpt
A stork,has a beak.,stork,bird,4,-15.794160604476929,116536320,openai-gpt
A buzzard,has a beak.,buzzard,bird,4,-16.598799228668213,116536320,openai-gpt
A swan,has a beak.,swan,bird,4,-14.718641757965088,116536320,openai-gpt
A flamingo,has a beak.,flamingo,bird,4,-16.904209852218628,116536320,openai-gpt
A duck,has a beak.,duck,bird,4,-13.131215572357178,116536320,openai-gpt
A peacock,has a beak.,peacock,bird,4,-15.654660701751709,116536320,openai-gpt
An egret,has a beak.,egret,bird,4,-16.33766460418701,116536320,openai-gpt
A chicken,has a beak.,chicken,bird,4,-17.482624053955078,116536320,openai-gpt
A turkey,has a beak.,turkey,bird,4,-17.604877471923828,116536320,openai-gpt
An ostrich,has a beak.,ostrich,bird,4,-14.703129768371582,116536320,openai-gpt
A titmouse,has a beak.,titmouse,bird,4,-17.670417308807373,116536320,openai-gpt
An emu,has a beak.,emu,bird,4,-17.622782468795776,116536320,openai-gpt
A penguin,has a beak.,penguin,bird,4,-15.5334792137146,116536320,openai-gpt
A bat,has a beak.,bat,bird,4,-15.71894359588623,116536320,openai-gpt
A robin,has a bill.,robin,bird,5,-20.778167247772217,116536320,openai-gpt
A sparrow,has a bill.,sparrow,bird,5,-20.96434450149536,116536320,openai-gpt
A bluejay,has a bill.,bluejay,bird,5,-21.283666849136353,116536320,openai-gpt
A bluebird,has a bill.,bluebird,bird,5,-20.478766441345215,116536320,openai-gpt
A canary,has a bill.,canary,bird,5,-20.054741382598877,116536320,openai-gpt
A blackbird,has a bill.,blackbird,bird,5,-20.89019775390625,116536320,openai-gpt
A dove,has a bill.,dove,bird,5,-21.225443124771118,116536320,openai-gpt
A lark,has a bill.,lark,bird,5,-23.816526651382446,116536320,openai-gpt
A swallow,has a bill.,swallow,bird,5,-27.44338846206665,116536320,openai-gpt
A parakeet,has a bill.,parakeet,bird,5,-21.275352001190186,116536320,openai-gpt
An oriole,has a bill.,oriole,bird,5,-22.015291452407837,116536320,openai-gpt
A mockingbird,has a bill.,mockingbird,bird,5,-20.552011251449585,116536320,openai-gpt
A redbird,has a bill.,redbird,bird,5,-20.916816473007202,116536320,openai-gpt
A wren,has a bill.,wren,bird,5,-20.178931951522827,116536320,openai-gpt
A finch,has a bill.,finch,bird,5,-20.02228331565857,116536320,openai-gpt
A starling,has a bill.,starling,bird,5,-21.845234155654907,116536320,openai-gpt
A cardinal,has a bill.,cardinal,bird,5,-20.306328058242798,116536320,openai-gpt
An eagle,has a bill.,eagle,bird,5,-20.07739019393921,116536320,openai-gpt
A hummingbird,has a bill.,hummingbird,bird,5,-20.46273636817932,116536320,openai-gpt
A seagull,has a bill.,seagull,bird,5,-20.910270929336548,116536320,openai-gpt
A woodpecker,has a bill.,woodpecker,bird,5,-20.11197519302368,116536320,openai-gpt
A pigeon,has a bill.,pigeon,bird,5,-21.146031856536865,116536320,openai-gpt
A thrush,has a bill.,thrush,bird,5,-21.312629222869873,116536320,openai-gpt
A falcon,has a bill.,falcon,bird,5,-21.16097068786621,116536320,openai-gpt
A crow,has a bill.,crow,bird,5,-20.40143132209778,116536320,openai-gpt
A hawk,has a bill.,hawk,bird,5,-20.363266468048096,116536320,openai-gpt
A raven,has a bill.,raven,bird,5,-20.158013343811035,116536320,openai-gpt
A goldfinch,has a bill.,goldfinch,bird,5,-20.60173726081848,116536320,openai-gpt
A parrot,has a bill.,parrot,bird,5,-20.004387378692627,116536320,openai-gpt
A sandpiper,has a bill.,sandpiper,bird,5,-21.19873332977295,116536320,openai-gpt
A pheasant,has a bill.,pheasant,bird,5,-21.388270616531372,116536320,openai-gpt
A catbird,has a bill.,catbird,bird,5,-19.844069480895996,116536320,openai-gpt
A crane,has a bill.,crane,bird,5,-22.116289854049683,116536320,openai-gpt
An albatross,has a bill.,albatross,bird,5,-21.87592625617981,116536320,openai-gpt
A condor,has a bill.,condor,bird,5,-23.203397512435913,116536320,openai-gpt
A toucan,has a bill.,toucan,bird,5,-20.99124813079834,116536320,openai-gpt
An owl,has a bill.,owl,bird,5,-20.77725315093994,116536320,openai-gpt
A pelican,has a bill.,pelican,bird,5,-20.55631375312805,116536320,openai-gpt
A goose,has a bill.,goose,bird,5,-22.08486557006836,116536320,openai-gpt
A vulture,has a bill.,vulture,bird,5,-20.474361896514893,116536320,openai-gpt
A stork,has a bill.,stork,bird,5,-21.63749933242798,116536320,openai-gpt
A buzzard,has a bill.,buzzard,bird,5,-21.62143039703369,116536320,openai-gpt
A swan,has a bill.,swan,bird,5,-20.34269428253174,116536320,openai-gpt
A flamingo,has a bill.,flamingo,bird,5,-22.618021488189697,116536320,openai-gpt
A duck,has a bill.,duck,bird,5,-18.387750148773193,116536320,openai-gpt
A peacock,has a bill.,peacock,bird,5,-19.48264741897583,116536320,openai-gpt
An egret,has a bill.,egret,bird,5,-20.82128357887268,116536320,openai-gpt
A chicken,has a bill.,chicken,bird,5,-22.087281703948975,116536320,openai-gpt
A turkey,has a bill.,turkey,bird,5,-22.665032386779785,116536320,openai-gpt
An ostrich,has a bill.,ostrich,bird,5,-19.42743492126465,116536320,openai-gpt
A titmouse,has a bill.,titmouse,bird,5,-20.874611139297485,116536320,openai-gpt
An emu,has a bill.,emu,bird,5,-21.764675617218018,116536320,openai-gpt
A penguin,has a bill.,penguin,bird,5,-20.516575813293457,116536320,openai-gpt
A bat,has a bill.,bat,bird,5,-20.3977632522583,116536320,openai-gpt
A robin,has wings.,robin,bird,6,-11.881070375442505,116536320,openai-gpt
A sparrow,has wings.,sparrow,bird,6,-11.002159118652344,116536320,openai-gpt
A bluejay,has wings.,bluejay,bird,6,-13.768457412719727,116536320,openai-gpt
A bluebird,has wings.,bluebird,bird,6,-11.663485765457153,116536320,openai-gpt
A canary,has wings.,canary,bird,6,-11.74348258972168,116536320,openai-gpt
A blackbird,has wings.,blackbird,bird,6,-11.392292499542236,116536320,openai-gpt
A dove,has wings.,dove,bird,6,-11.243351697921753,116536320,openai-gpt
A lark,has wings.,lark,bird,6,-19.10453510284424,116536320,openai-gpt
A swallow,has wings.,swallow,bird,6,-23.07959270477295,116536320,openai-gpt
A parakeet,has wings.,parakeet,bird,6,-12.797903537750244,116536320,openai-gpt
An oriole,has wings.,oriole,bird,6,-19.150022983551025,116536320,openai-gpt
A mockingbird,has wings.,mockingbird,bird,6,-12.171109676361084,116536320,openai-gpt
A redbird,has wings.,redbird,bird,6,-12.204217910766602,116536320,openai-gpt
A wren,has wings.,wren,bird,6,-12.070342540740967,116536320,openai-gpt
A finch,has wings.,finch,bird,6,-11.66855001449585,116536320,openai-gpt
A starling,has wings.,starling,bird,6,-11.7270827293396,116536320,openai-gpt
A cardinal,has wings.,cardinal,bird,6,-11.585742950439453,116536320,openai-gpt
An eagle,has wings.,eagle,bird,6,-9.555338382720947,116536320,openai-gpt
A hummingbird,has wings.,hummingbird,bird,6,-10.69507622718811,116536320,openai-gpt
A seagull,has wings.,seagull,bird,6,-12.306516170501709,116536320,openai-gpt
A woodpecker,has wings.,woodpecker,bird,6,-11.788212776184082,116536320,openai-gpt
A pigeon,has wings.,pigeon,bird,6,-12.465261459350586,116536320,openai-gpt
A thrush,has wings.,thrush,bird,6,-12.470495223999023,116536320,openai-gpt
A falcon,has wings.,falcon,bird,6,-10.737586736679077,116536320,openai-gpt
A crow,has wings.,crow,bird,6,-10.477339744567871,116536320,openai-gpt
A hawk,has wings.,hawk,bird,6,-10.00019907951355,116536320,openai-gpt
A raven,has wings.,raven,bird,6,-9.779627323150635,116536320,openai-gpt
A goldfinch,has wings.,goldfinch,bird,6,-12.232616424560547,116536320,openai-gpt
A parrot,has wings.,parrot,bird,6,-11.310052394866943,116536320,openai-gpt
A sandpiper,has wings.,sandpiper,bird,6,-13.283219337463379,116536320,openai-gpt
A pheasant,has wings.,pheasant,bird,6,-14.341809749603271,116536320,openai-gpt
A catbird,has wings.,catbird,bird,6,-10.836183786392212,116536320,openai-gpt
A crane,has wings.,crane,bird,6,-16.27341651916504,116536320,openai-gpt
An albatross,has wings.,albatross,bird,6,-13.373397827148438,116536320,openai-gpt
A condor,has wings.,condor,bird,6,-13.492105960845947,116536320,openai-gpt
A toucan,has wings.,toucan,bird,6,-13.939608097076416,116536320,openai-gpt
An owl,has wings.,owl,bird,6,-10.785694360733032,116536320,openai-gpt
A pelican,has wings.,pelican,bird,6,-11.695469617843628,116536320,openai-gpt
A goose,has wings.,goose,bird,6,-12.766878604888916,116536320,openai-gpt
A vulture,has wings.,vulture,bird,6,-11.174620866775513,116536320,openai-gpt
A stork,has wings.,stork,bird,6,-11.974788665771484,116536320,openai-gpt
A buzzard,has wings.,buzzard,bird,6,-12.18140697479248,116536320,openai-gpt
A swan,has wings.,swan,bird,6,-10.339192390441895,116536320,openai-gpt
A flamingo,has wings.,flamingo,bird,6,-14.69400691986084,116536320,openai-gpt
A duck,has wings.,duck,bird,6,-10.491275310516357,116536320,openai-gpt
A peacock,has wings.,peacock,bird,6,-10.015992164611816,116536320,openai-gpt
An egret,has wings.,egret,bird,6,-13.463789939880371,116536320,openai-gpt
A chicken,has wings.,chicken,bird,6,-13.638171672821045,116536320,openai-gpt
