preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-14.045452117919922,82760793,distilroberta-base
A sparrow,is alive.,sparrow,bird,1,-10.952149391174316,82760793,distilroberta-base
A bluejay,is alive.,bluejay,bird,1,-10.780657768249512,82760793,distilroberta-base
A bluebird,is alive.,bluebird,bird,1,-10.103700637817383,82760793,distilroberta-base
A canary,is alive.,canary,bird,1,-13.383962154388428,82760793,distilroberta-base
A blackbird,is alive.,blackbird,bird,1,-9.735149383544922,82760793,distilroberta-base
A dove,is alive.,dove,bird,1,-11.173029899597168,82760793,distilroberta-base
A lark,is alive.,lark,bird,1,-11.324451446533203,82760793,distilroberta-base
A swallow,is alive.,swallow,bird,1,-12.586565017700195,82760793,distilroberta-base
A parakeet,is alive.,parakeet,bird,1,-12.251229763031006,82760793,distilroberta-base
An oriole,is alive.,oriole,bird,1,-13.834944248199463,82760793,distilroberta-base
A mockingbird,is alive.,mockingbird,bird,1,-10.152961730957031,82760793,distilroberta-base
A redbird,is alive.,redbird,bird,1,-10.158113479614258,82760793,distilroberta-base
A wren,is alive.,wren,bird,1,-13.31713056564331,82760793,distilroberta-base
A finch,is alive.,finch,bird,1,-18.453627586364746,82760793,distilroberta-base
A starling,is alive.,starling,bird,1,-16.16124153137207,82760793,distilroberta-base
A cardinal,is alive.,cardinal,bird,1,-10.170878410339355,82760793,distilroberta-base
An eagle,is alive.,eagle,bird,1,-10.908182144165039,82760793,distilroberta-base
A hummingbird,is alive.,hummingbird,bird,1,-9.737310409545898,82760793,distilroberta-base
A seagull,is alive.,seagull,bird,1,-11.784383773803711,82760793,distilroberta-base
A woodpecker,is alive.,woodpecker,bird,1,-12.023847103118896,82760793,distilroberta-base
A pigeon,is alive.,pigeon,bird,1,-10.66708755493164,82760793,distilroberta-base
A thrush,is alive.,thrush,bird,1,-12.064676284790039,82760793,distilroberta-base
A falcon,is alive.,falcon,bird,1,-11.796171188354492,82760793,distilroberta-base
A crow,is alive.,crow,bird,1,-11.152195930480957,82760793,distilroberta-base
A hawk,is alive.,hawk,bird,1,-11.57651662826538,82760793,distilroberta-base
A raven,is alive.,raven,bird,1,-11.660675525665283,82760793,distilroberta-base
A goldfinch,is alive.,goldfinch,bird,1,-13.90169095993042,82760793,distilroberta-base
A parrot,is alive.,parrot,bird,1,-10.919734954833984,82760793,distilroberta-base
A sandpiper,is alive.,sandpiper,bird,1,-11.776737213134766,82760793,distilroberta-base
A pheasant,is alive.,pheasant,bird,1,-10.711813926696777,82760793,distilroberta-base
A catbird,is alive.,catbird,bird,1,-9.862260818481445,82760793,distilroberta-base
A crane,is alive.,crane,bird,1,-14.878466606140137,82760793,distilroberta-base
An albatross,is alive.,albatross,bird,1,-10.03001880645752,82760793,distilroberta-base
