preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-7.214033126831055,13546682,google_electra-small-generator
A sparrow,is alive.,sparrow,bird,1,-6.778271198272705,13546682,google_electra-small-generator
A bluejay,is alive.,bluejay,bird,1,-9.450667381286621,13546682,google_electra-small-generator
A bluebird,is alive.,bluebird,bird,1,-6.3862690925598145,13546682,google_electra-small-generator
A canary,is alive.,canary,bird,1,-6.537529945373535,13546682,google_electra-small-generator
A blackbird,is alive.,blackbird,bird,1,-6.664524555206299,13546682,google_electra-small-generator
A dove,is alive.,dove,bird,1,-7.967770099639893,13546682,google_electra-small-generator
A lark,is alive.,lark,bird,1,-7.935017108917236,13546682,google_electra-small-generator
A swallow,is alive.,swallow,bird,1,-9.07534408569336,13546682,google_electra-small-generator
A parakeet,is alive.,parakeet,bird,1,-11.280306816101074,13546682,google_electra-small-generator
An oriole,is alive.,oriole,bird,1,-9.719522476196289,13546682,google_electra-small-generator
A mockingbird,is alive.,mockingbird,bird,1,-5.662672996520996,13546682,google_electra-small-generator
A redbird,is alive.,redbird,bird,1,-6.998616695404053,13546682,google_electra-small-generator
A wren,is alive.,wren,bird,1,-7.843638896942139,13546682,google_electra-small-generator
A finch,is alive.,finch,bird,1,-6.192327499389648,13546682,google_electra-small-generator
A starling,is alive.,starling,bird,1,-7.721682548522949,13546682,google_electra-small-generator
A cardinal,is alive.,cardinal,bird,1,-8.32844066619873,13546682,google_electra-small-generator
An eagle,is alive.,eagle,bird,1,-7.02405309677124,13546682,google_electra-small-generator
A hummingbird,is alive.,hummingbird,bird,1,-5.96211051940918,13546682,google_electra-small-generator
A seagull,is alive.,seagull,bird,1,-9.588264465332031,13546682,google_electra-small-generator
A woodpecker,is alive.,woodpecker,bird,1,-8.914375305175781,13546682,google_electra-small-generator
A pigeon,is alive.,pigeon,bird,1,-6.4065022468566895,13546682,google_electra-small-generator
A thrush,is alive.,thrush,bird,1,-9.239916801452637,13546682,google_electra-small-generator
A falcon,is alive.,falcon,bird,1,-7.73771858215332,13546682,google_electra-small-generator
A crow,is alive.,crow,bird,1,-7.356056213378906,13546682,google_electra-small-generator
A hawk,is alive.,hawk,bird,1,-6.3339433670043945,13546682,google_electra-small-generator
A raven,is alive.,raven,bird,1,-4.713319778442383,13546682,google_electra-small-generator
A goldfinch,is alive.,goldfinch,bird,1,-11.86888313293457,13546682,google_electra-small-generator
A parrot,is alive.,parrot,bird,1,-7.219026565551758,13546682,google_electra-small-generator
A sandpiper,is alive.,sandpiper,bird,1,-12.351993560791016,13546682,google_electra-small-generator
A pheasant,is alive.,pheasant,bird,1,-10.843812942504883,13546682,google_electra-small-generator
A catbird,is alive.,catbird,bird,1,-6.246545791625977,13546682,google_electra-small-generator
A crane,is alive.,crane,bird,1,-10.71612548828125,13546682,google_electra-small-generator
An albatross,is alive.,albatross,bird,1,-7.109060287475586,13546682,google_electra-small-generator
A condor,is alive.,condor,bird,1,-7.736878395080566,13546682,google_electra-small-generator
A toucan,is alive.,toucan,bird,1,-7.935223579406738,13546682,google_electra-small-generator
An owl,is alive.,owl,bird,1,-6.26814603805542,13546682,google_electra-small-generator
A pelican,is alive.,pelican,bird,1,-11.342939376831055,13546682,google_electra-small-generator
A goose,is alive.,goose,bird,1,-8.048222064971924,13546682,google_electra-small-generator
A vulture,is alive.,vulture,bird,1,-5.773449897766113,13546682,google_electra-small-generator
A stork,is alive.,stork,bird,1,-8.528824806213379,13546682,google_electra-small-generator
A buzzard,is alive.,buzzard,bird,1,-9.228551864624023,13546682,google_electra-small-generator
A swan,is alive.,swan,bird,1,-6.911109924316406,13546682,google_electra-small-generator
A flamingo,is alive.,flamingo,bird,1,-6.651741981506348,13546682,google_electra-small-generator
A duck,is alive.,duck,bird,1,-7.503828525543213,13546682,google_electra-small-generator
A peacock,is alive.,peacock,bird,1,-7.209018707275391,13546682,google_electra-small-generator
An egret,is alive.,egret,bird,1,-10.10683536529541,13546682,google_electra-small-generator
A chicken,is alive.,chicken,bird,1,-7.673834800720215,13546682,google_electra-small-generator
A turkey,is alive.,turkey,bird,1,-6.458139896392822,13546682,google_electra-small-generator
An ostrich,is alive.,ostrich,bird,1,-9.011150360107422,13546682,google_electra-small-generator
A titmouse,is alive.,titmouse,bird,1,-8.310610294342041,13546682,google_electra-small-generator
An emu,is alive.,emu,bird,1,-10.36679744720459,13546682,google_electra-small-generator
A penguin,is alive.,penguin,bird,1,-6.996445655822754,13546682,google_electra-small-generator
A bat,is alive.,bat,bird,1,-7.39339017868042,13546682,google_electra-small-generator
A robin,flies.,robin,bird,2,-7.694063186645508,13546682,google_electra-small-generator
A sparrow,flies.,sparrow,bird,2,-5.227252006530762,13546682,google_electra-small-generator
A bluejay,flies.,bluejay,bird,2,-13.621162414550781,13546682,google_electra-small-generator
A bluebird,flies.,bluebird,bird,2,-7.081540107727051,13546682,google_electra-small-generator
A canary,flies.,canary,bird,2,-7.371142387390137,13546682,google_electra-small-generator
A blackbird,flies.,blackbird,bird,2,-7.076047897338867,13546682,google_electra-small-generator
A dove,flies.,dove,bird,2,-6.752782821655273,13546682,google_electra-small-generator
A lark,flies.,lark,bird,2,-5.8455400466918945,13546682,google_electra-small-generator
A swallow,flies.,swallow,bird,2,-8.633641242980957,13546682,google_electra-small-generator
A parakeet,flies.,parakeet,bird,2,-11.852967262268066,13546682,google_electra-small-generator
An oriole,flies.,oriole,bird,2,-10.983405113220215,13546682,google_electra-small-generator
A mockingbird,flies.,mockingbird,bird,2,-6.378779411315918,13546682,google_electra-small-generator
A redbird,flies.,redbird,bird,2,-7.1829071044921875,13546682,google_electra-small-generator
A wren,flies.,wren,bird,2,-18.13104248046875,13546682,google_electra-small-generator
A finch,flies.,finch,bird,2,-8.630509376525879,13546682,google_electra-small-generator
A starling,flies.,starling,bird,2,-12.49986743927002,13546682,google_electra-small-generator
A cardinal,flies.,cardinal,bird,2,-10.801409721374512,13546682,google_electra-small-generator
An eagle,flies.,eagle,bird,2,-6.566106796264648,13546682,google_electra-small-generator
A hummingbird,flies.,hummingbird,bird,2,-6.141950607299805,13546682,google_electra-small-generator
A seagull,flies.,seagull,bird,2,-10.316781997680664,13546682,google_electra-small-generator
A woodpecker,flies.,woodpecker,bird,2,-10.525390625,13546682,google_electra-small-generator
A pigeon,flies.,pigeon,bird,2,-6.097687721252441,13546682,google_electra-small-generator
A thrush,flies.,thrush,bird,2,-13.728050231933594,13546682,google_electra-small-generator
A falcon,flies.,falcon,bird,2,-7.761016845703125,13546682,google_electra-small-generator
A crow,flies.,crow,bird,2,-5.479351997375488,13546682,google_electra-small-generator
A hawk,flies.,hawk,bird,2,-4.107511520385742,13546682,google_electra-small-generator
A raven,flies.,raven,bird,2,-6.149016380310059,13546682,google_electra-small-generator
A goldfinch,flies.,goldfinch,bird,2,-12.944931030273438,13546682,google_electra-small-generator
A parrot,flies.,parrot,bird,2,-5.469881057739258,13546682,google_electra-small-generator
A sandpiper,flies.,sandpiper,bird,2,-7.165125846862793,13546682,google_electra-small-generator
A pheasant,flies.,pheasant,bird,2,-9.822300910949707,13546682,google_electra-small-generator
A catbird,flies.,catbird,bird,2,-5.582676887512207,13546682,google_electra-small-generator
A crane,flies.,crane,bird,2,-8.483458518981934,13546682,google_electra-small-generator
An albatross,flies.,albatross,bird,2,-13.372296333312988,13546682,google_electra-small-generator
A condor,flies.,condor,bird,2,-7.187548637390137,13546682,google_electra-small-generator
A toucan,flies.,toucan,bird,2,-11.557291984558105,13546682,google_electra-small-generator
An owl,flies.,owl,bird,2,-4.8560285568237305,13546682,google_electra-small-generator
A pelican,flies.,pelican,bird,2,-11.641693115234375,13546682,google_electra-small-generator
A goose,flies.,goose,bird,2,-9.948436737060547,13546682,google_electra-small-generator
A vulture,flies.,vulture,bird,2,-4.976421356201172,13546682,google_electra-small-generator
A stork,flies.,stork,bird,2,-11.136488914489746,13546682,google_electra-small-generator
A buzzard,flies.,buzzard,bird,2,-11.98196029663086,13546682,google_electra-small-generator
A swan,flies.,swan,bird,2,-6.9497175216674805,13546682,google_electra-small-generator
A flamingo,flies.,flamingo,bird,2,-10.394993782043457,13546682,google_electra-small-generator
A duck,flies.,duck,bird,2,-8.507637023925781,13546682,google_electra-small-generator
A peacock,flies.,peacock,bird,2,-7.034943580627441,13546682,google_electra-small-generator
An egret,flies.,egret,bird,2,-13.034177780151367,13546682,google_electra-small-generator
A chicken,flies.,chicken,bird,2,-11.815892219543457,13546682,google_electra-small-generator
A turkey,flies.,turkey,bird,2,-9.571577072143555,13546682,google_electra-small-generator
An ostrich,flies.,ostrich,bird,2,-11.408380508422852,13546682,google_electra-small-generator
A titmouse,flies.,titmouse,bird,2,-14.100052833557129,13546682,google_electra-small-generator
An emu,flies.,emu,bird,2,-14.949012756347656,13546682,google_electra-small-generator
A penguin,flies.,penguin,bird,2,-8.849542617797852,13546682,google_electra-small-generator
A bat,flies.,bat,bird,2,-7.713930130004883,13546682,google_electra-small-generator
A robin,has feathers.,robin,bird,3,-10.828864097595215,13546682,google_electra-small-generator
A sparrow,has feathers.,sparrow,bird,3,-9.859490394592285,13546682,google_electra-small-generator
A bluejay,has feathers.,bluejay,bird,3,-16.118760108947754,13546682,google_electra-small-generator
A bluebird,has feathers.,bluebird,bird,3,-10.104542255401611,13546682,google_electra-small-generator
A canary,has feathers.,canary,bird,3,-10.442824363708496,13546682,google_electra-small-generator
A blackbird,has feathers.,blackbird,bird,3,-10.352628707885742,13546682,google_electra-small-generator
A dove,has feathers.,dove,bird,3,-12.232308387756348,13546682,google_electra-small-generator
A lark,has feathers.,lark,bird,3,-12.695390701293945,13546682,google_electra-small-generator
A swallow,has feathers.,swallow,bird,3,-19.852115631103516,13546682,google_electra-small-generator
A parakeet,has feathers.,parakeet,bird,3,-16.754695892333984,13546682,google_electra-small-generator
An oriole,has feathers.,oriole,bird,3,-15.00124454498291,13546682,google_electra-small-generator
