preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-11.682588577270508,1557612800,gpt2-xl
A sparrow,is alive.,sparrow,bird,1,-11.4596529006958,1557612800,gpt2-xl
A bluejay,is alive.,bluejay,bird,1,-12.417155265808105,1557612800,gpt2-xl
A bluebird,is alive.,bluebird,bird,1,-11.71753978729248,1557612800,gpt2-xl
A canary,is alive.,canary,bird,1,-12.198864936828613,1557612800,gpt2-xl
A blackbird,is alive.,blackbird,bird,1,-11.526732921600342,1557612800,gpt2-xl
A dove,is alive.,dove,bird,1,-10.393592834472656,1557612800,gpt2-xl
A lark,is alive.,lark,bird,1,-14.610276699066162,1557612800,gpt2-xl
A swallow,is alive.,swallow,bird,1,-11.680777549743652,1557612800,gpt2-xl
A parakeet,is alive.,parakeet,bird,1,-11.060805797576904,1557612800,gpt2-xl
An oriole,is alive.,oriole,bird,1,-11.808212757110596,1557612800,gpt2-xl
A mockingbird,is alive.,mockingbird,bird,1,-11.923807144165039,1557612800,gpt2-xl
A redbird,is alive.,redbird,bird,1,-11.619296073913574,1557612800,gpt2-xl
A wren,is alive.,wren,bird,1,-11.014113426208496,1557612800,gpt2-xl
A finch,is alive.,finch,bird,1,-12.0330171585083,1557612800,gpt2-xl
A starling,is alive.,starling,bird,1,-12.061399459838867,1557612800,gpt2-xl
A cardinal,is alive.,cardinal,bird,1,-14.136426448822021,1557612800,gpt2-xl
An eagle,is alive.,eagle,bird,1,-13.385526657104492,1557612800,gpt2-xl
A hummingbird,is alive.,hummingbird,bird,1,-11.686158180236816,1557612800,gpt2-xl
A seagull,is alive.,seagull,bird,1,-13.02515697479248,1557612800,gpt2-xl
A woodpecker,is alive.,woodpecker,bird,1,-12.31697130203247,1557612800,gpt2-xl
A pigeon,is alive.,pigeon,bird,1,-11.037975311279297,1557612800,gpt2-xl
A thrush,is alive.,thrush,bird,1,-11.982192039489746,1557612800,gpt2-xl
A falcon,is alive.,falcon,bird,1,-11.411972522735596,1557612800,gpt2-xl
A crow,is alive.,crow,bird,1,-10.854649543762207,1557612800,gpt2-xl
A hawk,is alive.,hawk,bird,1,-12.648257732391357,1557612800,gpt2-xl
