preamble,stimulus,item,category,feature,score,params,model
A robin,is alive.,robin,bird,1,-6.478080749511719,51295290,google_electra-large-generator
A sparrow,is alive.,sparrow,bird,1,-6.912908554077148,51295290,google_electra-large-generator
A bluejay,is alive.,bluejay,bird,1,-8.62836217880249,51295290,google_electra-large-generator
A bluebird,is alive.,bluebird,bird,1,-6.713038444519043,51295290,google_electra-large-generator
A canary,is alive.,canary,bird,1,-6.3056135177612305,51295290,google_electra-large-generator
A blackbird,is alive.,blackbird,bird,1,-6.959137916564941,51295290,google_electra-large-generator
A dove,is alive.,dove,bird,1,-9.052387237548828,51295290,google_electra-large-generator
A lark,is alive.,lark,bird,1,-8.11516284942627,51295290,google_electra-large-generator
A swallow,is alive.,swallow,bird,1,-11.689043045043945,51295290,google_electra-large-generator
A parakeet,is alive.,parakeet,bird,1,-11.9488525390625,51295290,google_electra-large-generator
An oriole,is alive.,oriole,bird,1,-10.827914237976074,51295290,google_electra-large-generator
A mockingbird,is alive.,mockingbird,bird,1,-6.22453498840332,51295290,google_electra-large-generator
A redbird,is alive.,redbird,bird,1,-6.755246162414551,51295290,google_electra-large-generator
A wren,is alive.,wren,bird,1,-11.730583190917969,51295290,google_electra-large-generator
A finch,is alive.,finch,bird,1,-6.9167070388793945,51295290,google_electra-large-generator
A starling,is alive.,starling,bird,1,-7.411887168884277,51295290,google_electra-large-generator
A cardinal,is alive.,cardinal,bird,1,-7.225638389587402,51295290,google_electra-large-generator
An eagle,is alive.,eagle,bird,1,-6.495119094848633,51295290,google_electra-large-generator
A hummingbird,is alive.,hummingbird,bird,1,-7.080070495605469,51295290,google_electra-large-generator
A seagull,is alive.,seagull,bird,1,-8.441946506500244,51295290,google_electra-large-generator
A woodpecker,is alive.,woodpecker,bird,1,-9.409049034118652,51295290,google_electra-large-generator
A pigeon,is alive.,pigeon,bird,1,-6.6987762451171875,51295290,google_electra-large-generator
A thrush,is alive.,thrush,bird,1,-7.503201484680176,51295290,google_electra-large-generator
A falcon,is alive.,falcon,bird,1,-7.803462028503418,51295290,google_electra-large-generator
A crow,is alive.,crow,bird,1,-7.392926216125488,51295290,google_electra-large-generator
A hawk,is alive.,hawk,bird,1,-6.911005973815918,51295290,google_electra-large-generator
A raven,is alive.,raven,bird,1,-7.65164852142334,51295290,google_electra-large-generator
A goldfinch,is alive.,goldfinch,bird,1,-9.677421569824219,51295290,google_electra-large-generator
A parrot,is alive.,parrot,bird,1,-6.981620788574219,51295290,google_electra-large-generator
A sandpiper,is alive.,sandpiper,bird,1,-10.56562328338623,51295290,google_electra-large-generator
A pheasant,is alive.,pheasant,bird,1,-11.38422966003418,51295290,google_electra-large-generator
A catbird,is alive.,catbird,bird,1,-6.889950752258301,51295290,google_electra-large-generator
A crane,is alive.,crane,bird,1,-11.617873191833496,51295290,google_electra-large-generator
An albatross,is alive.,albatross,bird,1,-6.880706310272217,51295290,google_electra-large-generator
A condor,is alive.,condor,bird,1,-6.695523262023926,51295290,google_electra-large-generator
A toucan,is alive.,toucan,bird,1,-11.410478591918945,51295290,google_electra-large-generator
An owl,is alive.,owl,bird,1,-7.421114921569824,51295290,google_electra-large-generator
A pelican,is alive.,pelican,bird,1,-10.770263671875,51295290,google_electra-large-generator
A goose,is alive.,goose,bird,1,-6.677519798278809,51295290,google_electra-large-generator
A vulture,is alive.,vulture,bird,1,-7.032387733459473,51295290,google_electra-large-generator
A stork,is alive.,stork,bird,1,-10.169221878051758,51295290,google_electra-large-generator
A buzzard,is alive.,buzzard,bird,1,-7.721188545227051,51295290,google_electra-large-generator
A swan,is alive.,swan,bird,1,-17.804981231689453,51295290,google_electra-large-generator
A flamingo,is alive.,flamingo,bird,1,-8.701282978057861,51295290,google_electra-large-generator
A duck,is alive.,duck,bird,1,-6.69554328918457,51295290,google_electra-large-generator
A peacock,is alive.,peacock,bird,1,-7.76887845993042,51295290,google_electra-large-generator
An egret,is alive.,egret,bird,1,-9.38573932647705,51295290,google_electra-large-generator
A chicken,is alive.,chicken,bird,1,-8.288719654083252,51295290,google_electra-large-generator
A turkey,is alive.,turkey,bird,1,-6.7373809814453125,51295290,google_electra-large-generator
An ostrich,is alive.,ostrich,bird,1,-6.908007621765137,51295290,google_electra-large-generator
A titmouse,is alive.,titmouse,bird,1,-11.317770004272461,51295290,google_electra-large-generator
An emu,is alive.,emu,bird,1,-8.8078932762146,51295290,google_electra-large-generator
A penguin,is alive.,penguin,bird,1,-6.952383995056152,51295290,google_electra-large-generator
A bat,is alive.,bat,bird,1,-7.532515048980713,51295290,google_electra-large-generator
A robin,flies.,robin,bird,2,-8.269157409667969,51295290,google_electra-large-generator
A sparrow,flies.,sparrow,bird,2,-4.217958450317383,51295290,google_electra-large-generator
A bluejay,flies.,bluejay,bird,2,-7.159389972686768,51295290,google_electra-large-generator
A bluebird,flies.,bluebird,bird,2,-5.625405311584473,51295290,google_electra-large-generator
A canary,flies.,canary,bird,2,-5.909763336181641,51295290,google_electra-large-generator
A blackbird,flies.,blackbird,bird,2,-5.587101936340332,51295290,google_electra-large-generator
A dove,flies.,dove,bird,2,-7.15017032623291,51295290,google_electra-large-generator
A lark,flies.,lark,bird,2,-7.125185489654541,51295290,google_electra-large-generator
A swallow,flies.,swallow,bird,2,-6.811188697814941,51295290,google_electra-large-generator
A parakeet,flies.,parakeet,bird,2,-7.602226734161377,51295290,google_electra-large-generator
An oriole,flies.,oriole,bird,2,-8.416193008422852,51295290,google_electra-large-generator
A mockingbird,flies.,mockingbird,bird,2,-8.046144962310791,51295290,google_electra-large-generator
A redbird,flies.,redbird,bird,2,-6.218928813934326,51295290,google_electra-large-generator
A wren,flies.,wren,bird,2,-11.77280044555664,51295290,google_electra-large-generator
A finch,flies.,finch,bird,2,-6.542628288269043,51295290,google_electra-large-generator
A starling,flies.,starling,bird,2,-5.231496810913086,51295290,google_electra-large-generator
A cardinal,flies.,cardinal,bird,2,-10.774648666381836,51295290,google_electra-large-generator
An eagle,flies.,eagle,bird,2,-4.497544288635254,51295290,google_electra-large-generator
A hummingbird,flies.,hummingbird,bird,2,-4.794873237609863,51295290,google_electra-large-generator
A seagull,flies.,seagull,bird,2,-4.598215103149414,51295290,google_electra-large-generator
A woodpecker,flies.,woodpecker,bird,2,-8.4846830368042,51295290,google_electra-large-generator
A pigeon,flies.,pigeon,bird,2,-4.618154525756836,51295290,google_electra-large-generator
A thrush,flies.,thrush,bird,2,-6.455799102783203,51295290,google_electra-large-generator
A falcon,flies.,falcon,bird,2,-3.8355789184570312,51295290,google_electra-large-generator
A crow,flies.,crow,bird,2,-3.205998420715332,51295290,google_electra-large-generator
A hawk,flies.,hawk,bird,2,-4.001105308532715,51295290,google_electra-large-generator
A raven,flies.,raven,bird,2,-4.36971378326416,51295290,google_electra-large-generator
A goldfinch,flies.,goldfinch,bird,2,-10.903247833251953,51295290,google_electra-large-generator
A parrot,flies.,parrot,bird,2,-5.211485862731934,51295290,google_electra-large-generator
A sandpiper,flies.,sandpiper,bird,2,-5.973264217376709,51295290,google_electra-large-generator
A pheasant,flies.,pheasant,bird,2,-7.968579292297363,51295290,google_electra-large-generator
A catbird,flies.,catbird,bird,2,-6.374245643615723,51295290,google_electra-large-generator
A crane,flies.,crane,bird,2,-5.2509002685546875,51295290,google_electra-large-generator
An albatross,flies.,albatross,bird,2,-5.3133087158203125,51295290,google_electra-large-generator
A condor,flies.,condor,bird,2,-5.062915802001953,51295290,google_electra-large-generator
A toucan,flies.,toucan,bird,2,-9.40333080291748,51295290,google_electra-large-generator
An owl,flies.,owl,bird,2,-4.929459571838379,51295290,google_electra-large-generator
A pelican,flies.,pelican,bird,2,-9.350996971130371,51295290,google_electra-large-generator
A goose,flies.,goose,bird,2,-6.232931137084961,51295290,google_electra-large-generator
A vulture,flies.,vulture,bird,2,-4.181475639343262,51295290,google_electra-large-generator
A stork,flies.,stork,bird,2,-6.853155136108398,51295290,google_electra-large-generator
A buzzard,flies.,buzzard,bird,2,-6.200016498565674,51295290,google_electra-large-generator
A swan,flies.,swan,bird,2,-15.837331771850586,51295290,google_electra-large-generator
A flamingo,flies.,flamingo,bird,2,-5.218355178833008,51295290,google_electra-large-generator
A duck,flies.,duck,bird,2,-6.97125768661499,51295290,google_electra-large-generator
A peacock,flies.,peacock,bird,2,-9.127260208129883,51295290,google_electra-large-generator
An egret,flies.,egret,bird,2,-7.603755950927734,51295290,google_electra-large-generator
A chicken,flies.,chicken,bird,2,-11.19664192199707,51295290,google_electra-large-generator
A turkey,flies.,turkey,bird,2,-7.042781829833984,51295290,google_electra-large-generator
An ostrich,flies.,ostrich,bird,2,-4.9534196853637695,51295290,google_electra-large-generator
A titmouse,flies.,titmouse,bird,2,-10.884642601013184,51295290,google_electra-large-generator
An emu,flies.,emu,bird,2,-10.186650276184082,51295290,google_electra-large-generator
A penguin,flies.,penguin,bird,2,-5.875833511352539,51295290,google_electra-large-generator
A bat,flies.,bat,bird,2,-4.713740348815918,51295290,google_electra-large-generator
A robin,has feathers.,robin,bird,3,-6.834328651428223,51295290,google_electra-large-generator
A sparrow,has feathers.,sparrow,bird,3,-6.0899248123168945,51295290,google_electra-large-generator
A bluejay,has feathers.,bluejay,bird,3,-10.938776969909668,51295290,google_electra-large-generator
A bluebird,has feathers.,bluebird,bird,3,-7.252544403076172,51295290,google_electra-large-generator
A canary,has feathers.,canary,bird,3,-7.773467063903809,51295290,google_electra-large-generator
A blackbird,has feathers.,blackbird,bird,3,-8.491012573242188,51295290,google_electra-large-generator
A dove,has feathers.,dove,bird,3,-9.870070457458496,51295290,google_electra-large-generator
A lark,has feathers.,lark,bird,3,-11.060280799865723,51295290,google_electra-large-generator
A swallow,has feathers.,swallow,bird,3,-16.267179489135742,51295290,google_electra-large-generator
A parakeet,has feathers.,parakeet,bird,3,-7.854005813598633,51295290,google_electra-large-generator
An oriole,has feathers.,oriole,bird,3,-13.246920585632324,51295290,google_electra-large-generator
A mockingbird,has feathers.,mockingbird,bird,3,-7.399148941040039,51295290,google_electra-large-generator
A redbird,has feathers.,redbird,bird,3,-8.331476211547852,51295290,google_electra-large-generator
A wren,has feathers.,wren,bird,3,-10.837621688842773,51295290,google_electra-large-generator
A finch,has feathers.,finch,bird,3,-8.519205093383789,51295290,google_electra-large-generator
A starling,has feathers.,starling,bird,3,-10.616591930389404,51295290,google_electra-large-generator
A cardinal,has feathers.,cardinal,bird,3,-12.712615013122559,51295290,google_electra-large-generator
An eagle,has feathers.,eagle,bird,3,-4.669400215148926,51295290,google_electra-large-generator
A hummingbird,has feathers.,hummingbird,bird,3,-8.302868843078613,51295290,google_electra-large-generator
A seagull,has feathers.,seagull,bird,3,-8.767495155334473,51295290,google_electra-large-generator
A woodpecker,has feathers.,woodpecker,bird,3,-8.656819343566895,51295290,google_electra-large-generator
A pigeon,has feathers.,pigeon,bird,3,-7.777351379394531,51295290,google_electra-large-generator
A thrush,has feathers.,thrush,bird,3,-12.25436782836914,51295290,google_electra-large-generator
A falcon,has feathers.,falcon,bird,3,-7.419010162353516,51295290,google_electra-large-generator
A crow,has feathers.,crow,bird,3,-8.183126449584961,51295290,google_electra-large-generator
A hawk,has feathers.,hawk,bird,3,-5.904230117797852,51295290,google_electra-large-generator
A raven,has feathers.,raven,bird,3,-8.588598251342773,51295290,google_electra-large-generator
A goldfinch,has feathers.,goldfinch,bird,3,-10.721806049346924,51295290,google_electra-large-generator
A parrot,has feathers.,parrot,bird,3,-6.772192001342773,51295290,google_electra-large-generator
A sandpiper,has feathers.,sandpiper,bird,3,-7.81223201751709,51295290,google_electra-large-generator
A pheasant,has feathers.,pheasant,bird,3,-11.933176040649414,51295290,google_electra-large-generator
A catbird,has feathers.,catbird,bird,3,-7.272158622741699,51295290,google_electra-large-generator
A crane,has feathers.,crane,bird,3,-13.51982593536377,51295290,google_electra-large-generator
An albatross,has feathers.,albatross,bird,3,-11.298201560974121,51295290,google_electra-large-generator
A condor,has feathers.,condor,bird,3,-7.616603851318359,51295290,google_electra-large-generator
A toucan,has feathers.,toucan,bird,3,-14.006823539733887,51295290,google_electra-large-generator
An owl,has feathers.,owl,bird,3,-8.53164005279541,51295290,google_electra-large-generator
A pelican,has feathers.,pelican,bird,3,-8.522380828857422,51295290,google_electra-large-generator
