Num	Category	Concept	In McRae	McRae label
1	appliance	blender	yes	blender
2	appliance	camera	no	
3	appliance	coffee machine	no	
4	appliance	coffee pot	no	
5	appliance	dishwasher	yes	dishwasher
6	appliance	fridge	yes	fridge
7	appliance	kettle	yes	kettle
8	appliance	kitchen scales	no	
9	appliance	microwave	yes	microwave
10	appliance	oven	yes	oven
11	appliance	radio	yes	radio
12	appliance	stove	yes	stove
13	appliance	television	no	
14	appliance	toaster	yes	toaster
15	appliance	typewriter	yes	typewriter
16	appliance	washing machine	no	
17	bird	budgie	yes	budgie
18	bird	buzzard	yes	buzzard
19	bird	canary	yes	canary
20	bird	chicken	yes	chicken
21	bird	cockerel	yes	rooster
22	bird	crane (bird)	no	
23	bird	dove	yes	dove
24	bird	duck	yes	duck
25	bird	eagle	yes	eagle
26	bird	emu	yes	emu
27	bird	falcon	yes	falcon
28	bird	flamingo	yes	flamingo
29	bird	goose	yes	goose
30	bird	hawk	yes	hawk
31	bird	heron	no	
32	bird	hummingbird	no	
33	bird	kingfisher	no	
34	bird	magpie	no	
35	bird	nightingale	yes	nightingale
36	bird	ostrich	yes	ostrich
37	bird	owl	yes	owl
38	bird	parakeet	yes	parakeet
39	bird	partridge	yes	partridge
40	bird	peacock	yes	peacock
41	bird	pelican	yes	pelican
42	bird	penguin	yes	penguin
43	bird	pigeon	yes	pigeon
44	bird	raven	yes	raven
45	bird	robin	yes	robin
46	bird	seagull	yes	seagull
47	bird	sparrow	yes	sparrow
48	bird	starling	yes	starling
49	bird	swan	yes	swan
50	bird	turkey	yes	turkey
51	bird	woodpecker	yes	woodpecker
52	bird	wren	no	
53	body part	arm	no	
54	body part	bone	no	
55	body part	ear	no	
56	body part	eye	no	
57	body part	finger	no	
58	body part	foot	no	
59	body part	hair	no	
60	body part	heart	no	
61	body part	leg	no	
62	body part	lips	no	
63	body part	nose	no	
64	body part	thumb	no	
65	body part	toe	no	
66	body part	tongue	no	
67	building	bridge	yes	bridge
68	building	castle	no	
69	building	pyramid	yes	pyramid
70	clothing	apron	yes	apron
71	clothing	armour	yes	armour
72	clothing	belt	yes	belt
73	clothing	bikini	no	
74	clothing	blouse	yes	blouse
75	clothing	bra	yes	bra
76	clothing	cap	yes	cap (hat)
77	clothing	cape	yes	cape
78	clothing	cloak	yes	cloak
79	clothing	coat	yes	coat
80	clothing	dress	yes	dress
81	clothing	dressing gown	no	
82	clothing	earmuffs	yes	earmuffs
83	clothing	gloves	yes	gloves
84	clothing	gown	yes	gown
85	clothing	helmet	yes	helmet
86	clothing	jacket	yes	jacket
87	clothing	jeans	yes	jeans
88	clothing	knickers	no	
89	clothing	leotard	yes	leotards
90	clothing	mittens	yes	mittens
91	clothing	parka	yes	parka
92	clothing	pyjamas	yes	pajamas
93	clothing	robe	yes	robe
94	clothing	scarf	yes	scarf
95	clothing	shawl	yes	shawl
96	clothing	shirt	yes	shirt
97	clothing	skirt	yes	skirt
98	clothing	sock	yes	socks
99	clothing	stockings	no	
100	clothing	suit	no	
101	clothing	sweater	yes	sweater
102	clothing	swimsuit	yes	swimsuit
103	clothing	tights	no	
104	clothing	trousers	yes	trousers
105	clothing	veil	yes	veil
106	clothing	wetsuit	no	
107	container	ashtray	yes	ashtray
108	container	bag	yes	bag
109	container	barrel	yes	barrel
110	container	basin	no	
111	container	basket	yes	basket
112	container	bath	yes	bathtub
113	container	bin	yes	bin (waste)
114	container	bottle	yes	bottle
115	container	bowl	yes	bowl
116	container	box	yes	box
117	container	bucket	yes	bucket
118	container	cage	yes	cage
119	container	cup	yes	cup
120	container	hutch	no	
121	container	jar	yes	jar
122	container	jug	no	
123	container	mug	yes	mug
124	container	satchel	no	
125	container	sink	yes	sink
126	container	wallet	no	
127	drink	beer	no	
128	drink	brandy	no	
129	drink	champagne	no	
130	drink	cider	no	
131	drink	coffee	no	
132	drink	gin	no	
133	drink	lemonade	no	
134	drink	tea	no	
135	drink	whisky	no	
136	drink	wine	no	
137	drug & cosmetic	aspirin	no	
138	drug & cosmetic	codeine	no	
139	drug & cosmetic	ibuprofen	no	
140	drug & cosmetic	lipstick	no	
141	drug & cosmetic	nail polish	no	
